method,dim,noise,pearson,n
spc_hop,3,0.05,-0.10926779000860697,50
spc_hop,3,0.1,-0.01765888565909305,50
spc_hop,3,0.2,-0.11513145612602506,50
spc_hop,4,0.01,,50
spc_hop,4,0.05,,50
spc_hop,4,0.1,,50
spc_hop,4,0.2,,50
spc_hop,5,0.01,,50
spc_hop,5,0.05,,50
spc_hop,5,0.1,,50
spc_hop,5,0.2,,50
spc_hop,6,0.01,,50
spc_hop,6,0.05,,50
spc_hop,6,0.1,,50
spc_hop,6,0.2,,50
successor_entropy,2,0.01,0.7162503490408959,50
successor_entropy,2,0.05,0.6203930546453654,50
successor_entropy,2,0.1,0.8103303953207555,50
successor_entropy,2,0.2,0.4033408285037993,50
successor_entropy,3,0.01,0.6241504795073528,50
successor_entropy,3,0.05,0.6472813705193645,50
successor_entropy,3,0.1,0.7016878852085675,50
successor_entropy,3,0.2,0.6664682368096245,50
successor_entropy,4,0.01,0.3598659279765898,50
successor_entropy,4,0.05,0.37508142421404567,50
successor_entropy,4,0.1,0.5183621608986011,50
successor_entropy,4,0.2,0.4686421973942631,50
successor_entropy,5,0.01,0.586659041502709,50
successor_entropy,5,0.05,0.2683004791497425,50
successor_entropy,5,0.1,0.5337154654154692,50
successor_entropy,5,0.2,0.289194305003534,50
successor_entropy,6,0.01,0.447123281475396,50
successor_entropy,6,0.05,0.5756669421230689,50
successor_entropy,6,0.1,0.5121119438911002,50
successor_entropy,6,0.2,0.39403318851358193,50
successor_orc,2,0.01,-0.17938917448321967,50
successor_orc,2,0.05,-0.5295715272633236,50
successor_orc,2,0.1,-0.45266742057902876,50
successor_orc,2,0.2,-0.2318671041736506,50
successor_orc,3,0.01,-0.075232117239389,50
successor_orc,3,0.05,-0.40558783063633175,50
successor_orc,3,0.1,-0.482793801775587,50
successor_orc,3,0.2,-0.17775461074976498,50
successor_orc,4,0.01,-0.0465672793063686,50
successor_orc,4,0.05,-0.41301443117593756,50
successor_orc,4,0.1,-0.6223956424006782,50
successor_orc,4,0.2,-0.26164969870325255,50
successor_orc,5,0.01,-0.026935030776633617,50
successor_orc,5,0.05,-0.08340880003135541,50
successor_orc,5,0.1,-0.3202188660413543,50
successor_orc,5,0.2,-0.286093416399918,50
successor_orc,6,0.01,0.00584762939377171,50
successor_orc,6,0.05,-0.10577773929743975,50
successor_orc,6,0.1,-0.08543096203091236,50
successor_orc,6,0.2,-0.2138304466783083,50
