profile,d,wseed,noise,gamma_c,r_sent_bin,r_sent_knn,r_td,t_td,r_fbsent,r_tdaug,r_a,r_b,r_ceiling,r_td3,r_td3_2x,r_sent2x,r_ceil2x
nk2,3,0,ar1,0.9333,0.652067068516285,0.5886318222299871,0.5542601643538139,42.4,0.5011064517335113,0.6595523060455052,0.5715490927187694,0.6691838362326877,0.7860434959995489,0.6588724641559334,0.7018984760261293,0.6535052955640595,0.9145480726684946
nk2,5,0,ar1,0.8889,0.4956490213605315,0.4115176217290109,0.3930678107592309,37.9,0.3017445153545977,0.4933701835300048,0.4375328998491955,0.4808734284382463,0.6825331262870673,0.4955343118863562,0.6341397963887478,0.4955164939262654,0.7530515249878078
nk3,4,0,ar1,0.9111,0.3746694667934101,0.3102920533121566,0.3297446014093524,36.6,0.4323556233002295,0.3750622281287812,0.3646005570060344,0.3990267055124105,0.6832745689830632,0.3747541582701401,0.6140318841169926,0.3554642531276077,0.6700258121187717
nk2,3,1,clean,0.9333,0.7750014433040859,0.8834120027802297,0.5090216207749426,43.2,0.4904988416721728,0.7296251181653848,0.5938438684004035,0.7222506346100922,0.9122468842496378,0.7312122016670253,0.7990004176684713,0.9152624043298304,0.9152624043298304
nk2,5,1,clean,0.8889,0.5870367395495396,0.6984657445306851,0.4560797478345443,38.5,0.5877384873421136,0.627158719432443,0.5847815611150872,0.6775662006127605,0.7730363714606707,0.6292703068008446,0.6089039478017957,0.7564734676777547,0.7564734676777547
nk3,4,1,clean,0.9111,0.7160600645236905,0.7081946403111726,0.5458815825530285,38.5,0.8044266291109984,0.6700673727653408,0.6724414199707808,0.6560245300464986,0.6688240954836953,0.6696797203645277,0.8293934980709154,0.7271929426951927,0.7271929426951927
nk2,3,1,iso05,0.9333,0.8282159863978209,0.8553260125748143,0.5854252025070438,42.4,0.6770172249683393,0.7615322667854216,0.6164271353683891,0.7780259905231535,0.9122468842496378,0.7486202700820015,0.8516264920233837,0.9323560405061956,0.9152624043298304
nk2,5,1,iso05,0.8889,0.4617645613365301,0.766341700646051,0.4328211577973174,38.1,0.5471401916046224,0.7452981419318692,0.5138972156562074,0.7885023877994175,0.7730363714606707,0.7074376895569219,0.7196570029659997,0.6721974928508718,0.7564734676777547
nk3,4,1,iso05,0.9111,0.6555290435085755,0.6659388610496793,0.6135743803917801,37.9,0.7649713560073537,0.6954902969478558,0.6837073947127154,0.7003389730193476,0.6688240954836953,0.6880560806036244,0.8088461906299338,0.6811355914440415,0.7271929426951927
nk2,3,1,iso15,0.9333,0.6235775833318948,0.6566505473761661,0.6647449168982889,42.6,0.3898314667309696,0.6754809620255106,0.6722342304467317,0.6964009091111328,0.9122468842496378,0.6811189122774824,0.6212305417164731,0.4581530238463991,0.9152624043298304
nk2,5,1,iso15,0.8889,0.3834291953299268,0.4525804204686836,0.6420676602021638,37.8,0.2923102950175381,0.626673866136193,0.6392203737201723,0.5962033805087465,0.7730363714606707,0.6391150242161128,0.455783352003224,0.3004323186732868,0.7564734676777547
nk3,4,1,iso15,0.9111,0.5425370436806923,0.5416954530820811,0.5926851439482985,37.7,0.60296604758832,0.6134378044948927,0.6033386162596601,0.6040272299062494,0.6688240954836953,0.6035331330740265,0.5887443630771102,0.3332088132359289,0.7271929426951927
nk2,3,1,hd64,0.9333,0.5585532311064362,0.4683262592272246,0.3192176850799537,40.2,-0.1596423254195492,0.4570649693915666,0.5564649514587912,0.305649579732149,0.9122468842496378,0.6414423000092799,0.6745124732925329,0.4580779516087491,0.9152624043298304
nk2,5,1,hd64,0.8889,0.031825693447256,0.0534634649293201,0.1177076363441355,37.4,0.5364730403078752,0.415590833019979,0.4384271676364027,0.1136127377217295,0.7730363714606707,0.4892013599380074,0.5729853930152102,0.3719580508334876,0.7564734676777547
nk3,4,1,hd64,0.9111,0.0660071593963744,0.0166516729247271,0.4183928178323411,37.0,-0.0891714374629182,0.201978434843563,0.4683708329567037,0.173426915964413,0.6688240954836953,0.3904831153564737,0.5787122371515605,0.0920347791367044,0.7271929426951927
