profile,d,wseed,noise,gamma_c,r_sent_bin,r_sent_knn,r_td,t_td,r_fbsent
nk3,4,0,ar1,0.9111,0.3746694667934101,0.3102920533121566,0.3297446014093524,36.6,0.4323556233002295
nk2,3,1,clean,0.9333,0.7750014433040859,0.8834120027802297,0.5090216207749426,43.2,0.4904988416721728
nk2,5,1,clean,0.8889,0.5870367395495396,0.6984657445306851,0.4560797478345443,38.5,0.5877384873421136
nk3,4,1,clean,0.9111,0.7160600645236905,0.7081946403111726,0.5458815825530285,38.5,0.8044266291109984
nk2,3,1,iso05,0.9333,0.8282159863978209,0.8553260125748143,0.5854252025070438,42.4,0.6770172249683393
nk2,5,1,iso05,0.8889,0.4617645613365301,0.766341700646051,0.4328211577973174,38.1,0.5471401916046224
nk3,4,1,iso05,0.9111,0.6555290435085755,0.6659388610496793,0.6135743803917801,37.9,0.7649713560073537
nk2,3,1,iso15,0.9333,0.6235775833318948,0.6566505473761661,0.6647449168982889,42.6,0.3898314667309696
nk2,5,1,iso15,0.8889,0.3834291953299268,0.4525804204686836,0.6420676602021638,37.8,0.2923102950175381
nk3,4,1,iso15,0.9111,0.5425370436806923,0.5416954530820811,0.5926851439482985,37.7,0.60296604758832
nk2,3,1,hd64,0.9333,0.5585532311064362,0.4683262592272246,0.3192176850799537,40.2,-0.1596423254195492
nk2,5,1,hd64,0.8889,0.031825693447256,0.0534634649293201,0.1177076363441355,37.4,0.5364730403078752
nk3,4,1,hd64,0.9111,0.0660071593963744,0.0166516729247271,0.4183928178323411,37.0,-0.0891714374629182
