profile,d,wseed,noise,r_td3,r_td3_2x,r_sent2x,r_ceil2x,t
nk2,5,0,clean,0.6676850883155294,0.4504031399509794,0.7530515249878078,0.7530515249878078,158.5
nk3,4,1,iso15,0.6035331330740265,0.5887443630771102,0.3332088132359289,0.7271929426951927,151.2
nk2,5,0,iso05,0.6754828015632175,0.6614824632118705,0.6557030771482124,0.7530515249878078,159.6
nk3,4,1,hd64,0.3904831153564737,0.5787122371515605,0.0920347791367044,0.7271929426951927,161.4
nk2,5,0,iso15,0.5819040372306865,0.540923329404112,0.5310510953711092,0.7530515249878078,158.5
nk3,4,1,hetero,0.5109899225201187,0.4506614315927819,0.4247421449032902,0.7271929426951927,151.4
nk2,5,0,hd64,0.5437824124117555,0.5533594450679793,0.2685556320434812,0.7530515249878078,163.2
nk3,4,1,ar1,0.5904880960140644,0.5368461696635635,0.2627380302406907,0.7271929426951927,151.4
nk2,5,0,hetero,0.4704015702410763,0.4185564563946228,0.6015752343924399,0.7530515249878078,158.6
nk3,5,0,clean,0.6359352067394435,0.7156026133494644,0.5740795875460479,0.5740795875460479,153.8
nk2,5,0,ar1,0.4955343118863562,0.6341397963887478,0.4955164939262654,0.7530515249878078,158.5
nk3,5,0,iso05,0.6487723639595147,0.7245928132689834,0.5729933204966027,0.5740795875460479,153.0
nk2,3,0,hd64,0.4971052926732338,0.6600266969143901,0.5368621753442243,0.9145480726684946,166.7
nk2,5,1,ar1,0.4414642943515129,0.4915655789798019,0.4489267740827718,0.7564734676777547,156.5
nk3,5,1,iso05,0.7747422769662409,0.7235686867271424,0.54897905202806,0.5689562225756377,156.2
nk2,5,1,clean,0.6292703068008446,0.6089039478017957,0.7564734676777547,0.7564734676777547,158.5
nk3,5,0,iso15,0.5652006977380171,0.5459016762302016,0.3423848395620529,0.5740795875460479,151.3
nk2,5,1,iso05,0.7074376895569219,0.7196570029659997,0.6721974928508718,0.7564734676777547,159.7
nk3,5,0,hd64,0.3644207218765515,0.4541816540535278,0.2951096589194654,0.5740795875460479,160.4
nk2,3,0,hetero,0.4712970714758234,0.5249413502710301,0.5467662745209241,0.9145480726684946,160.3
nk3,3,0,clean,0.8367100233435112,0.8313533075039481,0.916018673178032,0.916018673178032,153.1
nk3,5,1,iso15,0.4429498719395585,0.3499180513366828,0.4121713315939503,0.5689562225756377,152.8
nk2,3,0,ar1,0.6588724641559334,0.7018984760261293,0.6535052955640595,0.9145480726684946,161.6
nk3,3,0,iso05,0.8240964642775543,0.8613669892686892,0.8814721637085328,0.916018673178032,156.3
nk3,5,1,hd64,0.4541207113800869,0.4591662038691798,0.0969102280822894,0.5689562225756377,161.6
nk2,3,1,clean,0.7312122016670253,0.7990004176684713,0.9152624043298304,0.9152624043298304,161.7
nk3,3,0,iso15,0.7193523313729882,0.6207940852192346,0.5540378840532572,0.916018673178032,153.3
nk3,5,1,hetero,0.3790129879306549,0.1471812054545129,0.3363202620667599,0.5689562225756377,155.1
nk2,3,1,iso05,0.7486202700820015,0.8516264920233837,0.9323560405061956,0.9152624043298304,162.5
nk3,3,0,hd64,0.5741160153674578,0.4715716388330992,0.3952870335784161,0.916018673178032,162.0
nk3,5,1,ar1,0.4500246595031539,0.361560881089251,0.2527293887085304,0.5689562225756377,155.0
nk2,3,1,iso15,0.6811189122774824,0.6212305417164731,0.4581530238463991,0.9152624043298304,160.0
nk3,3,0,hetero,0.5984069727590483,0.6100857372739517,0.5269447136895623,0.916018673178032,153.8
nk2,3,1,hd64,0.6414423000092799,0.6745124732925329,0.4580779516087491,0.9152624043298304,166.4
nk3,3,0,ar1,0.6506677442428157,0.5877486719261587,0.6078869517705421,0.916018673178032,155.9
