instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32,ent_t64,ent_t128
494,adaptive_k50,,,3,0.1,-1.6689192913019415,0.7772656679153442,6.97134256362915,7.562386989593506,7.824530124664307,7.948581218719482,7.990164279937744,7.985689640045166,7.981945991516113,7.981704235076904
494,adaptive_k100,,,3,0.1,-1.6689192913019415,0.9415137767791748,7.417190551757812,7.771493434906006,7.934272766113281,7.994048595428467,7.99385929107666,7.989794254302978,7.989509105682373,7.98950719833374
494,cak_160,1.0284804330556705,,3,0.1,-1.6689192913019415,0.1330049633979797,2.454286575317383,3.241806030273437,4.074136257171631,4.95510721206665,5.855863094329834,6.704001903533936,7.337884426116943,7.684686183929443
494,cak_320,1.3669997739937063,,3,0.1,-1.6689192913019415,0.2088313400745391,3.364532470703125,4.261163234710693,5.199502944946289,6.149405002593994,6.975379943847656,7.507670879364014,7.767471313476562,7.881618499755859
494,cak_640,1.8460418821077624,,3,0.1,-1.6689192913019415,0.295404314994812,4.285504341125488,5.268208980560303,6.246399402618408,7.060014247894287,7.557626247406006,7.794905185699463,7.896458625793457,7.931420803070068
633,adaptive_k50,,,4,0.2,-15.94121826097334,1.2523565292358398,7.582075595855713,7.8613433837890625,7.970237731933594,7.998641490936279,7.991319179534912,7.977425575256348,7.97197961807251,7.971629619598389
633,adaptive_k100,,,4,0.2,-15.94121826097334,1.356332778930664,7.7302703857421875,7.933163642883301,7.9958176612854,7.999329566955566,7.987794399261475,7.980502605438232,7.979613780975342,7.979605197906494
633,cak_160,0.7208234628909068,,4,0.2,-15.94121826097334,0.1608497202396392,1.8105388879776,2.6967217922210693,3.7390925884246826,4.857092380523682,5.936675548553467,6.815344333648682,7.361541748046875,7.645535469055176
633,cak_320,0.8887636583008391,,4,0.2,-15.94121826097334,0.3018392026424408,2.949043035507202,4.131923198699951,5.340562343597412,6.39423942565918,7.1254096031188965,7.524033546447754,7.7331695556640625,7.8468918800354
633,cak_640,1.1165470105191193,,4,0.2,-15.94121826097334,0.465983510017395,4.166351795196533,5.437793731689453,6.490846157073975,7.184079170227051,7.55066442489624,7.738751411437988,7.8353400230407715,7.880368232727051
757,adaptive_k50,,,5,0.2,-29.417968211109795,1.5347051620483398,7.669404029846191,7.935021877288818,8.004129409790039,7.996013164520264,7.991509437561035,7.990625858306885,7.99053955078125,7.990538120269775
757,adaptive_k100,,,5,0.2,-29.417968211109795,1.627622127532959,7.7945146560668945,7.979983806610107,8.004351615905762,7.998412609100342,7.997040748596191,7.996814250946045,7.996808052062988,7.996808052062988
757,cak_160,0.6126231261984952,,5,0.2,-29.417968211109795,0.1572742760181427,1.6174389123916626,2.2713589668273926,3.116872549057007,4.182751655578613,5.363603591918945,6.381545066833496,7.0520339012146,7.468614101409912
757,cak_320,0.7293491528900651,,5,0.2,-29.417968211109795,0.3267092704772949,2.6235058307647705,3.683826446533203,4.896585464477539,6.041184425354004,6.862469673156738,7.363208770751953,7.669406890869141,7.846343994140625
757,cak_640,0.8818710690605256,,5,0.2,-29.417968211109795,0.5083005428314209,3.8649089336395264,5.146730899810791,6.255298614501953,7.004771709442139,7.452642917633057,7.716428279876709,7.855475902557373,7.909907817840576
881,adaptive_k50,,,6,0.2,-26.701955637154743,1.8111300468444824,7.610520362854004,7.882237434387207,7.976420879364014,7.974381923675537,7.9668869972229,7.967148780822754,7.967223644256592,7.96722412109375
881,adaptive_k100,,,6,0.2,-26.701955637154743,1.936108350753784,7.725877285003662,7.935006618499756,7.984610080718994,7.982609748840332,7.98336935043335,7.983838558197021,7.983858585357666,7.983858585357666
881,cak_160,0.5430095043028363,,6,0.2,-26.701955637154743,0.106084793806076,0.8989866375923157,1.4872851371765137,2.331929922103882,3.4256386756896973,4.655815124511719,5.78558874130249,6.623742580413818,7.178804874420166
881,cak_320,0.6325469603280912,,6,0.2,-26.701955637154743,0.3113958239555359,1.9940537214279173,3.071711301803589,4.338209629058838,5.558804988861084,6.497449398040772,7.1132354736328125,7.484152317047119,7.697906494140625
881,cak_640,0.7528498322115255,,6,0.2,-26.701955637154743,0.6123140454292297,3.435007810592652,4.788856029510498,5.976482391357422,6.809231758117676,7.31222677230835,7.591846466064453,7.756367683410644,7.859323024749756
371,adaptive_k50,,,2,0.1,-16.934696980264345,0.4413477778434753,6.24690580368042,6.9840087890625,7.547008037567139,7.830940246582031,7.943875312805176,7.984742164611816,7.995611667633057,7.998188018798828
371,adaptive_k100,,,2,0.1,-16.934696980264345,0.5864709615707397,6.9315032958984375,7.518418788909912,7.8146071434021,7.933412075042725,7.980627536773682,7.996150493621826,7.9998908042907715,7.999693393707275
371,cak_160,1.4893224702778805,,2,0.1,-16.934696980264345,0.0809627175331115,2.4371652603149414,3.089446783065796,3.775763750076294,4.552488803863525,5.440598011016846,6.34881067276001,7.101094722747803,7.572398662567139
371,cak_320,2.1651043953720643,,2,0.1,-16.934696980264345,0.1354423016309738,3.3453290462493896,4.1508636474609375,5.016406536102295,5.92010498046875,6.751911163330078,7.378637790679932,7.714547157287598,7.859778881072998
371,cak_640,3.378743685140501,,2,0.1,-16.934696980264345,0.2280057668685913,4.575604438781738,5.475529670715332,6.334300994873047,7.075323581695557,7.57525634765625,7.813310146331787,7.912718296051025,7.9458160400390625
510,adaptive_k50,,,3,0.2,9.530164910380307,0.7871906757354736,7.011307716369629,7.628551006317139,7.911328315734863,7.994327545166016,7.996043682098389,7.992628574371338,7.992372035980225,7.992371559143066
510,adaptive_k100,,,3,0.2,9.530164910380307,0.9149119853973388,7.394434452056885,7.827420234680176,7.980467319488525,8.002252578735352,7.998780250549316,7.99813175201416,7.998123168945312,7.998123168945312
510,cak_160,0.8586068497543068,,3,0.2,9.530164910380307,0.1099453270435333,1.7333691120147705,2.599775075912476,3.6476311683654794,4.767824649810791,5.774021625518799,6.598544597625732,7.212433815002441,7.584696292877197
510,cak_320,1.1062629019140953,,3,0.2,9.530164910380307,0.2008730769157409,2.8980743885040283,4.033195495605469,5.151608943939209,6.09893274307251,6.86522388458252,7.393131256103516,7.687452793121338,7.835694789886475
510,cak_640,1.450311906334057,,3,0.2,9.530164910380307,0.3106225728988647,4.042537212371826,5.170888423919678,6.133495330810547,6.910588264465332,7.430190563201904,7.708210945129394,7.838444709777832,7.882358074188232
634,adaptive_k50,,,4,0.2,-5.665571274105821,1.205405831336975,7.584534645080566,7.897332668304443,7.9892258644104,7.995697021484375,7.99536657333374,7.995728969573975,7.995749950408935,7.995748996734619
634,adaptive_k100,,,4,0.2,-5.665571274105821,1.3157145977020264,7.760560512542725,7.961058139801025,7.997961521148682,7.999377727508545,8.000030517578125,8.000114440917969,8.000114440917969,8.000114440917969
