instance,n_traj,err,dim,noise,ks_true,coverage,kappa_km,kappa_km_sd,frac_km,frac_km_sd,entcak_km_t2,entcak_km_t2_sd,entcak_km_t4,entcak_km_t4_sd,entcak_km_t8,entcak_km_t8_sd
876,25,,6,0.2,-71.87814112792898,0.279,0.5099330434946888,0.0777420963915492,0.01875,0.0324759526419164,0.1659511323086917,0.1144507306865987,0.276130729354918,0.1851787672995968,0.4392007458955049,0.2833043301452941
428,10,,3,0.01,-4.470633486317453,0.121,0.964248183574816,0.0182292497350768,0.165625,0.1661548129757305,0.7084136381745338,0.2696571734391371,0.9950189590454102,0.349236439174118,1.3334946632385254,0.4601137696337429
490,10,,3,0.1,-20.614923975239662,0.117,0.9298848786840236,0.0345030186246028,0.009375,0.0162379763209582,1.5699797868728638,0.7077511987796882,2.023120611906052,0.7403832894618253,2.440415531396866,0.6713145826476676
552,10,,4,0.01,-11.163127979587726,0.115,0.9554998347521568,0.0207704932101926,0.25,0.4330127018922193,0.9837193191051484,0.3133209815112567,1.3766443729400637,0.3609765958589832,1.8287688791751864,0.4096311218576087
614,10,,4,0.1,-12.13766082906188,0.114,0.985431294377224,0.0119615581903176,0.01875,0.0324759526419164,0.1751184854656458,0.1150635169148262,0.2654494494199753,0.1563073737329609,0.3825844451785087,0.1970451489049862
691,10,,5,0.05,-16.171144702457998,0.123,0.9949858995446558,0.0027303370255311,0.01875,0.0324759526419164,0.524585045495769,0.4554570787660695,0.7820077875512652,0.6286237715942701,1.098083925433457,0.8063964940650756
753,10,,5,0.2,-27.36167081917381,0.121,0.9959685983305072,0.0006616544487849,0.0,0.0,0.0883267680183053,0.0631895716825676,0.1497034700587391,0.1000851515628311,0.2461265977472067,0.1488527259789109
815,10,,6,0.05,-81.15612396422729,0.129,0.9924539819202404,0.0044004347553534,0.0,0.0,0.1559327784925699,0.0705494485081415,0.2699181027710438,0.1155693874937567,0.4532700553536415,0.1780574047642472
877,10,,6,0.2,-36.88598049578116,0.136,0.9847037043064892,0.0154132030767965,0.0,0.0,0.1822623475454747,0.1944720532492286,0.277331811375916,0.2721957144498723,0.4063614849001169,0.358165725331756
428,25,,3,0.01,-4.470633486317453,0.273,0.3891236304908769,0.2000152417051717,0.071875,0.0495093109929839,2.5544909834861755,0.4409460243485742,3.14451515674591,0.5372996256455851,3.772015333175659,0.5545329578977197
490,25,,3,0.1,-20.614923975239662,0.26,0.67241029440511,0.1441679529247903,0.0,0.0,1.8008601367473602,0.7155172666465363,2.311738818883896,0.7160604995221845,2.8398202061653137,0.6626284627674996
552,25,,4,0.01,-11.163127979587726,0.267,0.7684275930076203,0.1288230166207652,0.0,0.0,1.5953786969184875,0.3578869395171617,2.05494225025177,0.4181738131660169,2.5692757964134216,0.4943205898396082
614,25,,4,0.1,-12.13766082906188,0.262,0.8927278585619626,0.0796228216842016,0.0,0.0,1.6527758240699768,0.1383002535683192,2.092503696680069,0.1513938227632484,2.510081946849823,0.1445394730606841
691,25,,5,0.05,-16.171144702457998,0.299,0.634326234532405,0.2237340633610867,0.00625,0.0108253175473054,0.2583453468978405,0.1163306096728625,0.4279713369905948,0.1912350044961344,0.6855150200426579,0.3049823574799646
753,25,,5,0.2,-27.36167081917381,0.291,0.8309054789483894,0.113246735454673,0.0,0.0,0.1736792335286736,0.1071759766672778,0.2718908032402396,0.1472692045500413,0.4275778830051422,0.2111545763914864
815,25,,6,0.05,-81.15612396422729,0.297,0.8671264969042536,0.1015958197815906,0.0375,0.0649519052838328,0.179442673921585,0.0930996569506395,0.2944540213793516,0.1451198879198106,0.4587506391108036,0.2077309310157435
877,25,,6,0.2,-36.88598049578116,0.288,0.91600954393872,0.0429405729132204,0.0,0.0,1.0818336755037308,0.1152070922379289,1.5539328753948212,0.157217412920473,2.109145939350128,0.1973962232813745
429,10,,3,0.01,-16.296502183721266,0.115,0.9009940517733084,0.0544671739876828,0.015625,0.0270632938682637,1.6481430605053902,0.7729792393859157,2.092163503170013,0.9079993673953276,2.553768441081047,1.0273515395320691
491,10,,3,0.1,-13.136520272342572,0.114,0.9307020546078154,0.0296493277782119,0.425,0.4380353866983807,1.7634664475917816,0.3330116454050698,2.257690817117691,0.3289155995775812,2.742906391620636,0.2936221060389036
553,10,,4,0.01,-14.479569337189464,0.121,0.961256030617561,0.0384367233727246,0.15625,0.2564023937095752,0.7387225404381752,0.6916851905405612,1.0123847518116236,0.930687189475506,1.3344271890819073,1.196342082229562
630,10,,4,0.2,-3.558579726048665,0.122,0.9345900599014616,0.0232718422044087,0.021875,0.0378886114155691,0.6691237464547157,0.2174421143619811,0.9653024151921272,0.3103816270001275,1.3164328634738922,0.4186871557045427
692,10,,5,0.05,-29.278471998111137,0.122,0.99763808922947,0.0014355484930221,0.015625,0.0270632938682637,0.3922495092083409,0.2617356198991631,0.6280219084392229,0.4158768472024339,0.9397625401961704,0.6177781268838489
