instance,n_traj,err,name,dim,noise,ks_true,coverage,n_visited,eval_dist,kappa_plus,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8
644,50,,d4-c1-n0.2-m14,4,0.2,53.48846762686056,0.496,1487,0.5233,0.5277085031431545,0.0,3.82720947265625,4.556715965270996,5.290208339691162
672,25,,d5-c1-n0.01-m12,5,0.01,4.810311591502766,0.294,881,0.0,0.5497147328909144,0.0125,3.6910324096679688,4.743358135223389,5.541638851165772
700,10,,d5-c1-n0.05-m10,5,0.05,-62.894655678803616,0.123,369,1.0176,0.4949999811683276,0.85,1.7144546508789062,2.199712038040161,2.6955230236053467
727,250,,d5-c1-n0.1-m7,5,0.1,-20.20522058544134,0.957,2871,0.0,-0.2902014105377866,0.0625,5.359456062316895,6.377413749694824,7.027735233306885
755,100,,d5-c1-n0.2-m5,5,0.2,-34.37732560792047,0.72,2160,0.0,-0.9113021455191131,1.0,4.710324287414551,5.745068073272705,6.547471523284912
783,50,,d6-c1-n0.01-m3,6,0.01,-42.99969305482514,0.498,1494,0.0,-0.2380967994955817,1.0,4.153096675872803,5.316341400146484,6.157210350036621
811,25,,d6-c1-n0.05-m1,6,0.05,-48.29800862013458,0.28,841,0.6718,0.2901422934781884,1.0,2.5379464626312256,3.519421339035034,4.473556041717529
824,10,,d6-c1-n0.05-m14,6,0.05,-23.73030057471971,0.127,381,0.4624,0.8097468805901662,0.9125,1.850868582725525,2.595757007598877,3.3699071407318115
851,250,,d6-c1-n0.1-m11,6,0.1,-9.528899156859143,0.956,2868,0.0,0.1142591722627144,0.05,4.536115646362305,5.778018474578857,6.690734386444092
879,100,,d6-c1-n0.2-m9,6,0.2,-34.01810499140309,0.736,2208,0.0,-0.521632288108503,1.0,4.765592098236084,5.905632972717285,6.659181118011475
302,10,,d2-c1-n0.01-m2,2,0.01,2.435305785100224,0.108,325,0.191,-1.7253545445764753,0.0,3.0647523403167725,3.39862060546875,3.5985848903656006
314,250,,d2-c1-n0.01-m14,2,0.01,-2.853722380261491,0.927,2782,0.0,-0.0015613123157528,0.0,5.586526393890381,6.291058540344238,6.966233730316162
342,100,,d2-c1-n0.05-m12,2,0.05,-19.350068753652508,0.698,2093,0.0373,-0.0188335598598572,0.05,5.25676155090332,5.926937580108643,6.56856632232666
370,50,,d2-c1-n0.1-m10,2,0.1,-7.72404280863429,0.445,1335,0.1485,0.0590615573384811,0.4375,4.906766414642334,5.479840755462647,6.017659187316895
398,25,,d2-c1-n0.2-m8,2,0.2,-3.912962490843667,0.278,833,0.1868,0.2294128520388778,0.0625,4.259537696838379,4.908114433288574,5.427146911621094
426,10,,d3-c1-n0.01-m6,3,0.01,-3.8235642778157457,0.124,373,0.2132,0.5713959276820582,0.975,2.867391347885132,3.4453835487365723,4.135324954986572
453,250,,d3-c1-n0.05-m3,3,0.05,16.800746756883633,0.945,2834,0.0,0.2329524926296683,0.0625,5.3437347412109375,6.229848384857178,6.88495397567749
481,100,,d3-c1-n0.1-m1,3,0.1,-5.728772538116581,0.706,2117,0.0,0.0224129495886684,0.4875,5.062916278839111,6.057769298553467,6.868424415588379
494,50,,d3-c1-n0.1-m14,3,0.1,-1.6689192913019415,0.47,1410,0.1808,0.107554235302034,0.725,4.045551300048828,5.041989803314209,6.012425899505615
522,25,,d3-c1-n0.2-m12,3,0.2,-18.867196080469053,0.28,841,0.4533,0.4417427960094006,0.0,3.4982755184173584,3.836691379547119,4.111186027526856
550,10,,d4-c1-n0.01-m10,4,0.01,78.43052538097425,0.116,347,0.201,0.7474884887756756,0.0375,2.745671272277832,3.441259384155273,4.036080360412598
577,250,,d4-c1-n0.05-m7,4,0.05,-4.587718319365236,0.96,2881,0.0,0.1155444175756605,0.1,5.527191162109375,6.598983287811279,7.264157295227051
605,100,,d4-c1-n0.1-m5,4,0.1,-15.198491523550626,0.715,2146,0.2821,0.0934136158580976,0.1375,5.135417461395264,6.008403301239014,6.704186916351318
633,50,,d4-c1-n0.2-m3,4,0.2,-15.94121826097334,0.473,1419,0.3029,0.129375177692216,0.4375,4.254833221435547,5.353617191314697,6.235332489013672
661,25,,d5-c1-n0.01-m1,5,0.01,2.5245450099361197,0.293,879,0.5449,0.0703196916604532,1.0,3.4636361598968506,4.383547306060791,5.153432369232178
674,10,,d5-c1-n0.01-m14,5,0.01,-25.2216018569094,0.12,361,0.0,0.8077391004720671,0.7375,2.24975323677063,3.0004379749298096,3.7603759765625
701,250,,d5-c1-n0.05-m11,5,0.05,-12.478273660639108,0.959,2878,0.0,-0.021557114855805,0.05,5.381532192230225,6.509871959686279,7.1537041664123535
729,100,,d5-c1-n0.1-m9,5,0.1,12.657273566920678,0.709,2127,0.4287,0.3490029859587378,0.0125,4.6981120109558105,5.711656093597412,6.362905502319336
757,50,,d5-c1-n0.2-m7,5,0.2,-29.417968211109795,0.502,1507,0.0,-0.169366812318238,1.0,4.491530895233154,5.549839973449707,6.274689674377441
785,25,,d6-c1-n0.01-m5,6,0.01,-25.903753117337263,0.272,817,0.6755,-0.036340405925994,0.725,2.700856924057007,3.646283864974976,4.5134100914001465
813,10,,d6-c1-n0.05-m3,6,0.05,-23.29512109554493,0.12,360,0.6925,0.913807329008163,1.0,1.8737154006958008,2.6884753704071045,3.528605699539185
840,250,,d6-c1-n0.1-m0,6,0.1,-39.57480106909405,0.95,2851,0.0,-0.3761561732617743,1.0,5.018702983856201,6.270736217498779,7.051474094390869
853,100,,d6-c1-n0.1-m13,6,0.1,-28.91830997833552,0.734,2202,0.0,-0.2867422840250049,1.0,4.904858589172363,6.024819850921631,6.778741359710693
881,50,,d6-c1-n0.2-m11,6,0.2,-26.701955637154743,0.495,1485,0.0,-0.7900294111249536,1.0,4.135734081268311,5.18142032623291,5.969676017761231
302,25,,d2-c1-n0.01-m2,2,0.01,2.435305785100224,0.251,752,0.3415,0.6209367014592568,0.0,3.8097875118255615,4.141183376312256,4.504953861236572
330,10,,d2-c1-n0.05-m0,2,0.05,0.1641133119551789,0.098,294,0.1276,0.6565966420501241,0.0,3.099642276763916,3.46461033821106,3.653022050857544
342,250,,d2-c1-n0.05-m12,2,0.05,-19.350068753652508,0.923,2770,0.0,-0.0413656064875433,0.0125,5.679256916046143,6.330970764160156,6.896925449371338
370,100,,d2-c1-n0.1-m10,2,0.1,-7.72404280863429,0.708,2124,0.0,0.0544570544712786,0.0125,5.089956760406494,5.813041687011719,6.502549648284912
398,50,,d2-c1-n0.2-m8,2,0.2,-3.912962490843667,0.456,1369,0.1439,0.0349223753559261,0.125,4.639665603637695,5.35107421875,5.911909103393555
426,25,,d3-c1-n0.01-m6,3,0.01,-3.8235642778157457,0.246,737,0.1906,0.1145708848312031,0.1125,3.847403764724731,4.476927280426025,4.984740734100342
454,10,,d3-c1-n0.05-m4,3,0.05,-4.99685320061184,0.119,357,0.1259,-0.1039647299742461,0.425,2.724251508712769,3.219853639602661,3.6744191646575928
481,250,,d3-c1-n0.1-m1,3,0.1,-5.728772538116581,0.955,2864,0.0,0.0023503838263796,0.3875,5.520486354827881,6.456363677978516,7.187338352203369
494,100,,d3-c1-n0.1-m14,3,0.1,-1.6689192913019415,0.729,2187,0.0,-0.2832520923774247,0.35,5.137757301330566,6.066482067108154,6.821422576904297
522,50,,d3-c1-n0.2-m12,3,0.2,-18.867196080469053,0.479,1437,0.0,0.1013597160072105,0.0,4.866584777832031,5.644713878631592,6.15675687789917
550,25,,d4-c1-n0.01-m10,4,0.01,78.43052538097425,0.274,822,0.1669,0.7310674457042466,0.0,3.2417397499084477,4.188622951507568,5.031493186950684
578,10,,d4-c1-n0.05-m8,4,0.05,-22.05882557409797,0.12,361,0.3839,0.5140220910326473,0.5,2.1277284622192383,2.6876296997070312,3.328586339950561
605,250,,d4-c1-n0.1-m5,4,0.1,-15.198491523550626,0.962,2887,0.0,-0.4103671013384418,0.325,5.595958232879639,6.592512607574463,7.269543647766113
633,100,,d4-c1-n0.2-m3,4,0.2,-15.94121826097334,0.733,2199,0.0,-0.0164052371807893,0.625,5.225753307342529,6.213008880615234,6.87787389755249
661,50,,d5-c1-n0.01-m1,5,0.01,2.5245450099361197,0.466,1398,0.4367,0.2408448630144086,0.7,4.08710241317749,5.067495822906494,5.765594005584717
674,25,,d5-c1-n0.01-m14,5,0.01,-25.2216018569094,0.294,883,0.6413,0.4752620575618631,0.175,3.2131001949310303,4.1551690101623535,5.001802921295166
702,10,,d5-c1-n0.05-m12,5,0.05,-8.094765280509788,0.129,388,0.8017,0.7013896841934121,1.0,2.309370279312134,2.787750720977783,3.3112027645111084
729,250,,d5-c1-n0.1-m9,5,0.1,12.657273566920678,0.961,2882,0.0,0.0177142269234684,0.025,5.24007511138916,6.307713985443115,6.932255744934082
757,100,,d5-c1-n0.2-m7,5,0.2,-29.417968211109795,0.717,2151,0.5316,0.0781482346276589,1.0,4.734668254852295,5.786701202392578,6.599425792694092
785,50,,d6-c1-n0.01-m5,6,0.01,-25.903753117337263,0.506,1518,0.4347,-0.1805237293228262,1.0,4.001651287078857,4.929969310760498,5.723803520202637
813,25,,d6-c1-n0.05-m3,6,0.05,-23.29512109554493,0.293,879,0.5476,0.2681571709301709,0.75,2.601346492767334,3.50830078125,4.420070171356201
841,10,,d6-c1-n0.1-m1,6,0.1,-28.27057085781108,0.133,399,0.7593,0.744671631076423,1.0,1.6922715902328491,2.3255484104156494,3.0146026611328125
