seed,T,N,gamma,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
1,50,10,0.5,4.808800523226666,0.040733082897498774,0.02151566187891547,0.03153271666652363,
1,50,10,0.8,3.3951905577306234,0.05367575928846682,0.04081619070404767,0.013156489659210777,
1,50,10,0.9,2.628011475866994,0.0577964580250991,0.048676669669167415,-0.00879679111577885,
1,50,20,0.2,5.96224665643372,-0.0009797051200877028,-0.02146206536551634,0.007510594448264315,
1,50,20,0.5,4.764599375804106,0.020604293661177574,0.010351303087825772,0.013239421777105718,
1,50,20,0.8,3.3562791485552297,0.021198100079731164,0.01538836284709071,0.010128615871541596,
1,50,20,0.9,2.588624122967276,0.02235624997011568,0.016476485619121406,0.003423248718389685,
1,50,50,0.2,5.966360853833092,-0.009001694967601516,-0.013296583824145955,-0.0017258283649226203,
1,50,50,0.5,4.741524795390793,-0.006966803652603087,-0.012797947699486925,0.009618536425681862,
1,50,50,0.8,3.3265976351075075,-0.006949086428223398,-0.00858557464639366,0.014872762973936034,
1,50,50,0.9,2.5517055798223853,-0.006668855561097323,-0.007475220368805092,0.016802975315172837,
1,50,100,0.2,5.986868344035018,-0.02547283194707847,-0.036082359020589753,-0.023901801894638953,
1,50,100,0.5,4.7627296845495515,-0.023016492462221858,-0.028822354205588555,-0.013951597026507327,
1,50,100,0.8,3.3578191833478943,-0.02595434139639622,-0.029723776430944107,0.0025001699851737507,
1,50,100,0.9,2.5689350983604573,-0.028052746515864226,-0.03135570033892508,0.017683537415601427,
2,20,10,0.2,5.914858943770393,-0.024838433262195064,-0.030021384005346,0.0045013730225091295,
2,20,10,0.5,4.808450764294771,-0.03579917728844593,-0.03745519236379809,-0.01895968006385034,
2,20,10,0.8,3.6457886677135405,-0.039674652160966876,-0.04118566329641583,-0.05675301073737241,
2,20,10,0.9,3.034458906021252,-0.03863554689136364,-0.03975825393956348,-0.09555186059439402,
2,20,20,0.2,6.114256363067927,-0.038536415828988674,-0.04276687669171917,-0.019633034398782077,
2,20,20,0.5,4.990768411481877,-0.041142124157460436,-0.0372375708093927,-0.041827135342383207,
2,20,20,0.8,3.8025095122425623,-0.005737122500060171,-0.026875007218751804,-0.06512712075036474,
2,20,20,0.9,3.169195740684164,-0.005669745842372989,-0.023782235945558988,-0.09764751100843524,
2,20,50,0.2,6.02363937627419,-0.04927456350259546,-0.06042661510665377,-0.017380955530444712,
2,20,50,0.5,4.816917196916698,-0.047658112317766295,-0.05793782348445587,-0.015227162404289908,
2,20,50,0.8,3.4142753340521095,-0.045921747942490515,-0.055394682348670586,0.004254946619480403,
2,20,50,0.9,2.6320496920155647,-0.04301354126640359,-0.05365468041367011,0.023559187710811978,
2,20,100,0.2,5.961456742745475,-0.03368726873662938,-0.05899102924775731,0.031059948708702465,
2,20,100,0.5,4.74280195050927,-0.036275976274176815,-0.05197247799311949,0.00010920516522699986,
2,20,100,0.8,3.0966155939512228,-0.0188183328693692,-0.013150213787553445,-0.04793210333982613,
2,20,100,0.9,2.407516631845386,-0.016140204317719006,-0.010324754581188644,-0.06922890351891568,
