seed,T,N,gamma,temperature,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
0,50,20,0.9,1.0,7.529437875982267,0.18085350164155295,0.2106601951650488,0.14998651278204184,
0,50,20,0.9,2.0,4.171542163940301,0.10307640921851946,0.12182912604865334,0.13697083884722122,
0,50,20,0.9,5.0,1.0822329704973557,-0.16637074188225756,-0.2329744782436195,-0.022543952291515058,
0,50,50,0.2,0.1,2.5545478647220623,0.18869716217942603,0.32263792465948116,0.06958864110124581,
0,50,50,0.2,0.3,1.824317425865125,0.235567284394896,0.38281532520383127,0.13625002576057368,
0,50,50,0.2,0.5,1.834889528974193,0.2494846020120405,0.359962619990655,0.1661732998677924,
0,50,50,0.2,1.0,2.1191592405264075,0.18824326840434358,0.1994590580143588,0.13010314152970165,
0,50,50,0.2,2.0,2.615464285365761,0.02817486055008972,-0.1129177557294389,-0.03550895399613398,
0,50,50,0.2,5.0,3.813436375393747,-0.027700066048098087,-0.18534082415470884,-0.11630999567308437,
0,50,50,0.5,0.1,6.843961940692638,0.169335090989302,0.2691743241445214,-0.0984808603243448,
0,50,50,0.5,0.3,3.5673714629305753,0.19876871373896998,0.35640572548508354,-0.033204517645826985,
0,50,50,0.5,0.5,2.467337015053239,0.22048074254843092,0.3751073407768352,0.02500772877284712,
0,50,50,0.5,1.0,1.5865705659567346,0.24254212613751802,0.31295134385519274,0.13566934414759205,
0,50,50,0.5,2.0,1.370947414403633,0.16196529846608218,0.1141640836694555,0.16031518005893036,
0,50,50,0.5,5.0,1.8758901336450176,0.0186259885224047,-0.19986783511685965,0.045540911168831376,
0,50,50,0.8,0.1,14.769930801778601,0.13948106264482518,0.17018569704642425,-0.03966243653868557,
0,50,50,0.8,0.3,10.737591424758879,0.18789536804713125,0.3030019501141133,-0.0441037573689489,
0,50,50,0.8,0.5,8.538429649677255,0.21578453987112306,0.34930514582628647,-0.02392757768913152,
0,50,50,0.8,1.0,5.580368938512906,0.2652149664098291,0.36607994715726677,0.05348786434566101,
0,50,50,0.8,2.0,3.006021912531759,0.26956602977469,0.30476300219075053,0.16259120947053018,
0,50,50,0.8,5.0,0.9963090014346175,0.07490406335668524,-0.054054870783988275,0.17274148456586003,
0,50,50,0.9,0.1,17.972790138674856,0.12215529285996432,0.14209489805658038,0.03756903873155168,
0,50,50,0.9,0.3,14.935083640723555,0.17658149035566145,0.2394824608706152,0.05519758398061428,
0,50,50,0.9,0.5,13.04736969831858,0.21209771821998868,0.3064872616218154,0.07050611169381348,
0,50,50,0.9,1.0,10.081054402861042,0.2635980765700968,0.3496872613029481,0.11867243322231052,
0,50,50,0.9,2.0,6.822171396503071,0.2801047712847558,0.3223307494535614,0.17588236901192178,
0,50,50,0.9,5.0,2.444158263393202,0.1086625287718022,0.07039199515079278,0.13228281509634335,
0,50,100,0.2,0.1,2.2575671556638546,0.006332334655856371,0.13161306740326684,0.06628695339984138,
0,50,100,0.2,0.3,1.5516187014366856,0.02100949212661112,0.2127716271929068,0.11977985079817097,
0,50,100,0.2,0.5,1.5979799519807225,0.04888995111363183,0.2506034156508539,0.15243971108672785,
0,50,100,0.2,1.0,1.940429052229691,0.10714521203698911,0.21737184784296193,0.133767493125944,
0,50,100,0.2,2.0,2.4906907950714396,0.30440283877043317,0.1648215217671885,-0.0048374527749022005,
0,50,100,0.2,5.0,3.7340483836211775,0.3157462220385869,0.07500184125046032,-0.08037295631389371,
0,50,100,0.5,0.1,6.636904120639972,0.052837442328237644,0.1506626656656664,-0.20617571818879787,
0,50,100,0.5,0.3,3.2997713617287365,0.06355004548615617,0.22437098242688475,-0.1551651820489215,
0,50,100,0.5,0.5,2.1814296065093224,0.09204320175636074,0.2773209468302367,-0.07606221873509089,
0,50,100,0.5,1.0,1.3351541326524499,0.1514605508094621,0.3188868587217147,0.06446293367452273,
0,50,100,0.5,2.0,1.187952023854189,0.2881783164588143,0.2937855089463772,0.18186994875705925,
0,50,100,0.5,5.0,1.75641757944131,0.4069134808721876,0.08470908249080243,0.15840990567262792,
0,50,100,0.8,0.1,14.635109132820974,0.14990069011881413,0.183656451232984,-0.08925058047044415,
0,50,100,0.8,0.3,10.88574627884804,0.18057140194413404,0.2935220743805186,-0.10536672049493569,
0,50,100,0.8,0.5,8.677252781790168,0.20734310297595002,0.3522697825674457,-0.08396336716387037,
0,50,100,0.8,1.0,5.639902171933409,0.2944654603433204,0.44704390876097716,0.013127094978572257,
0,50,100,0.8,2.0,2.966201808607244,0.40892191803883715,0.5013417767734474,0.19710812455842663,
0,50,100,0.8,5.0,0.8994819939860859,0.44613652788176483,0.33749380237345056,0.41095054963009847,
0,50,100,0.9,0.1,17.986657482249814,0.14775113163743042,0.14132918633229657,0.04290603676083262,
0,50,100,0.9,0.3,15.353058023079903,0.20531214979614787,0.27739705084926275,0.05667455123630083,
0,50,100,0.9,0.5,13.5992249878744,0.2395549768989966,0.3447055896763974,0.07617116346322853,
0,50,100,0.9,1.0,10.72075823693958,0.32850135035834327,0.44384247896061974,0.15190409471506114,
0,50,100,0.9,2.0,7.435142290206802,0.43238251004603084,0.540051888012972,0.278261234444519,
0,50,100,0.9,5.0,2.9032771031781452,0.4961454528268831,0.4862266260566565,0.4542909861591014,
1,20,10,0.2,0.1,9.17162580060145,0.18227821434028113,0.2079264699816175,0.08845271439917132,
1,20,10,0.2,0.3,4.349026826911905,0.19015622088896117,0.20226668656667166,0.06869812802442848,
1,20,10,0.2,0.5,3.457712002659332,0.1631295152842825,0.1645717656429414,0.043482042041014204,
1,20,10,0.2,1.0,3.066015213624837,0.07776686915780645,0.05960859140214784,0.008969648729331604,
1,20,10,0.2,2.0,3.24670668182409,-0.1164538134054009,-0.15611300102825024,-0.020511368129974075,
1,20,10,0.2,5.0,4.2226919924447195,-0.2188769608757744,-0.27689506543143766,-0.06470971819508367,
1,20,10,0.5,0.1,13.082854891574181,0.19767573129055482,0.22813314153328537,0.050316026029750216,
1,20,10,0.5,0.3,6.3793107161869465,0.21165080432906697,0.23974969493742374,0.06654895606340408,
1,20,10,0.5,0.5,4.274801595308012,0.19782845377596897,0.21907767676941917,0.05885360042325744,
1,20,10,0.5,1.0,2.641289751118141,0.140449579778628,0.13721552980388246,0.02530746632129345,
1,20,10,0.5,2.0,2.07808905013653,0.015923948163868662,-0.013476921374284188,-0.02378734169119498,
1,20,10,0.5,5.0,2.446456832216538,-0.2225114768034822,-0.27000064050016015,-0.09327268962776283,
1,20,10,0.8,0.1,17.866669571622094,0.16152010800008912,0.1988395952098988,0.042839636324767595,
1,20,10,0.8,0.3,12.020057807842564,0.1861361562645119,0.20931556865738551,0.07018291923971261,
1,20,10,0.8,0.5,8.916119736538658,0.19109231069554722,0.20980615495153873,0.07531754166138332,
1,20,10,0.8,1.0,5.1769791487175825,0.18199862679188472,0.18757374639343657,0.06737407534667096,
1,20,10,0.8,2.0,2.499096335587854,0.11701645670750971,0.09948588687147172,0.03060715669372761,
1,20,10,0.8,5.0,1.1231485381900925,-0.0999322446176039,-0.13359508539877135,-0.07774894786355878,
1,20,10,0.9,0.1,19.03449194250778,0.15536555025020485,0.1894478888619722,0.08300545792028921,
1,20,10,0.9,0.3,14.727572320792333,0.16748322004411526,0.1891740307935077,0.09558035198613819,
1,20,10,0.9,0.5,11.977757809299414,0.1776027100754155,0.1930924592731148,0.10405896591284328,
1,20,10,0.9,1.0,8.029065950428754,0.18526409716261377,0.1914573726861397,0.1081197679458327,
1,20,10,0.9,2.0,4.253393755988025,0.14359739299600194,0.13099422574855643,0.07874069392729688,
