instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,t_auto,ent_t2,wspread_t2,ent_t4,wspread_t4,ent_auto,wspread_auto,ent_t8,wspread_t8,ent_t16,wspread_t16,ent_t32,wspread_t32,ent_t64,wspread_t64,ent_t128,wspread_t128,mu_kappa_plus,mu_frac,mu_ent_t2,mu_ent_t4,mu_ent_t8,mu_ent_t16,mu_ent_t32,mu_ent_t64,mu_ent_t128,mu_ent_auto,mu_wspread_t2,mu_wspread_t4,mu_wspread_t8,mu_wspread_t16,mu_wspread_t32,mu_wspread_t64,mu_wspread_t128,mu_wspread_auto,sd_kappa_plus,sd_frac,sd_ent_t2,sd_ent_t4,sd_ent_t8,sd_ent_t16,sd_ent_t32,sd_ent_t64,sd_ent_t128,sd_ent_auto,sd_wspread_t2,sd_wspread_t4,sd_wspread_t8,sd_wspread_t16,sd_wspread_t32,sd_wspread_t64,sd_wspread_t128,sd_wspread_auto,z_plus,z_frac,S_diff
125,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,-0.085470224339612,1.0,1,7.322402954101562,0.9272643327713012,7.578468322753906,1.104625582695007,6.363653182983398,0.6688620448112488,7.591401100158691,1.1547423601150513,7.594334602355957,1.1621248722076416,7.594519138336182,1.16363263130188,7.594519138336182,1.1637204885482788,7.594519138336182,1.1637208461761477,0.10307559745691662,0.9845833333333334,6.5884238084157305,7.3631558577219645,7.586440722147624,7.593521912892659,7.593982807795206,7.593981409072876,7.593981583913167,7.499821774164835,0.7218379120031992,0.951287712653478,1.1507926344871522,1.1634159644444784,1.1666137456893921,1.1668194572130839,1.1668203075726826,1.0748205562432607,0.0729677896994548,0.019332429130659076,0.22224460106668986,0.05611323320058187,0.0023746510630121634,0.0006621228856503066,0.0006328443386471162,0.0006325617443121128,0.0006326533994349717,0.23886004501335753,0.06498323138638587,0.0414496439519679,0.005577086256512363,0.007071399596794457,0.007772142780186858,0.007826975686112878,0.007827255356561938,0.09554937232369816,-2.5839596152374256,0.7974510891762443,-3.38141070441367
189,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.1533718214838708,1.0,1,7.536079406738281,1.3829106092453003,7.590480327606201,1.4717563390731812,7.244728088378906,1.1845271587371826,7.596832275390625,1.5003012418746948,7.596795558929443,1.5049949884414673,7.596787929534912,1.505151391029358,7.596787452697754,1.505151629447937,7.596787452697754,1.505151629447937,0.2888645288180819,1.0,7.261055564880371,7.543686564763387,7.598183250427246,7.598578580220541,7.59857652982076,7.598576418558756,7.598576498031616,7.566277122497558,1.0604363679885864,1.2267317255338033,1.306274457772573,1.3101527214050293,1.310331658522288,1.3103320598602295,1.3103320558865865,1.2723702510197958,0.036398824889933575,0.0,0.08224470612942905,0.017135132226578587,0.0002671239359308475,0.00021311370570180208,0.00021330472803268504,0.00021342637601588554,0.00021353311999278488,0.08600045179236539,0.04596000088110804,0.018551884607954486,0.010914391851839352,0.011527111810909188,0.011561573246612295,0.011561638331946974,0.011561625934022312,0.06151026209657907,-3.7224472972390608,0.0,-3.7224472972390608
253,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5493060594335091,0.0,1,7.510087013244629,1.2532655000686646,7.59871768951416,1.359600305557251,6.9878692626953125,1.038197040557861,7.600899696350098,1.3780672550201416,7.600900173187256,1.3785312175750732,7.600900173187256,1.378531575202942,7.600900173187256,1.378531575202942,7.600900173187256,1.378531575202942,0.4403097779431379,1.0,7.422912724812826,7.574405018488566,7.600260670979818,7.60026528040568,7.600265153249105,7.600265200932821,7.600265216827393,7.584985478719076,1.2756821473439535,1.4022701819737753,1.4515195568402608,1.4522100289662678,1.4522134780883789,1.4522134820620218,1.452213474114736,1.4295558333396912,0.03220084053120525,0.0,0.042862761925491794,0.008366964102597666,5.6241520468225686e-05,5.3225429701332736e-05,5.311501178254995e-05,5.3331789474364796e-05,5.3354147929997236e-05,0.05148956989064449,0.035866186952500316,0.015285040741980801,0.013259049927531023,0.013386073729952767,0.013386800366060072,0.013386802938062312,0.013386841153958242,0.04629096860565518,3.3848893287349084,-1000.0,1003.3848893287349
332,colosseum,,d2-c1-n0.05-m2,2,0.05,2.0,,1.728836197424718,3000,-0.0502231673934149,0.0,6,5.661448001861572,0.280142605304718,6.119304180145264,0.3499743938446045,4.8671650886535645,0.1889123171567917,6.433867931365967,0.4079489409923553,7.1138529777526855,0.5781604647636414,7.596322536468506,0.7802008986473083,7.863019466400146,0.9812268614768982,7.965342998504639,1.1413315534591677,0.00745966836540488,0.0175,4.7184529304504395,5.405885696411133,6.129505825042725,6.757111072540283,7.420674180984497,7.867435391743978,7.995563507080078,5.94357164700826,0.11357763136426605,0.16290358006954186,0.23548698971668877,0.32413673599561055,0.4590859125057856,0.618761396408081,0.7389630575974783,0.21684303556879359,0.029911808688745024,0.07424911470504386,0.213340304236494,0.19421191277486807,0.04837636384812571,0.03660504308152141,0.020322182664204366,0.0061370420124274945,0.0013069541078949958,0.3525321548433269,0.016450531875050405,0.01950430495913267,0.007498285608818061,0.011041957355698153,0.009984528324740862,0.007428415598367628,0.004142533979046067,0.03142864242822728,-1.9284302182811237,-0.2356930458971681,-1.6927371723839557
456,colosseum,,d3-c1-n0.05-m6,3,0.05,6.0,,-10.086395056679647,3000,0.0024034764453549,0.0625,1,6.152166366577148,0.5544525980949402,7.082566738128662,0.8046407699584961,5.0449652671813965,0.3663318157196045,7.603158473968506,1.0589104890823364,7.853287696838379,1.272687911987305,7.959949016571045,1.4559801816940308,7.98675537109375,1.5829156637191772,7.99224042892456,1.6472797393798828,-0.13339043664545883,0.9383333333333332,5.136056645711263,6.189835246404012,7.822046756744385,7.993940289815267,7.996312808990479,7.9971816380818685,7.997324577967325,7.012419668833415,0.2902417947848638,0.4188876370588938,0.7961489280064901,0.9460454225540161,0.9918826321760813,0.9971494396527608,0.9980318148930868,0.5658234606186548,0.05156161832448258,0.051688445539586986,0.3203776561509491,0.2930968534743693,0.01878286628091085,0.003053160831848788,0.0011357725128522994,0.0009340775530700714,0.0009344729853804281,0.5049236650735075,0.04019742336922137,0.05218424040213493,0.013666652405024439,0.006424069327017411,0.004524623152588631,0.004497207239933444,0.004565322159608477,0.07619648033971005,2.633623953310554,-16.944470358710106,19.57809431202066
580,colosseum,,d4-c1-n0.05-m10,4,0.05,10.0,,1.430710029764047,3000,-0.2934561946605689,0.05,1,7.235013008117676,1.0940479040145874,7.548103332519531,1.285241723060608,6.580239772796631,0.8593719601631165,7.752484798431396,1.4505289793014526,7.905513763427734,1.63857102394104,7.984158992767334,1.8548271656036377,7.991868495941162,2.024785280227661,7.986071109771728,2.0823283195495605,-0.09327934569536739,0.98125,6.623758840560913,7.607644446690878,7.987826379140218,7.996613852183024,7.997879552841186,7.997888708114624,7.997888644536336,7.862358967463176,0.6488878508408864,0.8850186705589295,1.1458001971244811,1.1625288685162862,1.1670963724454244,1.167632790406545,1.1676392873128256,1.0391868809858957,0.10507114599649368,0.029680409770384428,0.2833542440887241,0.09981276393037414,0.004317434154063882,0.0006733622908757165,0.0005800111668616397,0.0005827193633471459,0.0005827837140186508,0.3368333254991482,0.06716674922429508,0.05286233710315227,0.0048018531717315014,0.004784261946243383,0.005479753579451938,0.0055938599564309965,0.005595472211453702,0.10755941764647378,-1.9051552837529875,-31.375914524240013,29.470759240487027
704,colosseum,,d5-c1-n0.05-m14,5,0.05,14.0,,-31.099208931298197,3000,-0.3666485627545838,1.0,1,7.577285766601562,1.4913818836212158,7.837029457092285,1.736039400100708,7.124873638153076,1.2439740896224976,7.966723918914795,2.0124671459198,7.990696907043457,2.2938098907470703,7.963028907775879,2.4886882305145264,7.947056770324707,2.5558226108551025,7.943587779998779,2.56810998916626,0.15121377023799723,1.0,7.528799978892009,7.9228909333546955,8.00171496073405,8.00295877456665,8.002961540222168,8.002961349487304,8.002961540222168,7.9534319877624515,1.0121387223402658,1.2022242347399394,1.3039064486821492,1.3100288788477579,1.3105241457621257,1.3105271935462952,1.3105271935462952,1.261769046386083,0.061370690979241846,0.0,0.1152943632729713,0.02374175180234136,0.0004600756957061345,0.0003236991081926892,0.00032625752584404077,0.0003261076114777571,0.00032609637858624325,0.1256946883740975,0.052552074113906694,0.0227854516299719,0.008995479525143674,0.010052980767564135,0.010147355368281062,0.010148005627540346,0.010148024406148872,0.07299298160706069,-8.438267921209228,0.0,-8.438267921209228
843,colosseum,,d6-c1-n0.1-m3,6,0.1,3.0,,-67.23454284811166,3000,-0.6373731991052358,1.0,1,7.774679660797119,1.8039417266845703,7.950370788574219,2.088249683380127,7.424365520477295,1.5321577787399292,7.999720096588135,2.416707992553711,7.961650371551514,2.690880537033081,7.933604717254639,2.797355890274048,7.930794715881348,2.8091723918914795,7.930795192718506,2.809636354446411,0.2241901802541967,1.0,7.781835110982259,7.96975679397583,8.005357042948406,8.005385208129884,8.005385144551594,8.00538501739502,8.005385080973307,7.987244129180908,1.2500988721847535,1.3894911289215088,1.4476956923802693,1.449016014734904,1.4490297238032024,1.4490297238032024,1.4490297238032024,1.422569994131724,0.07050366417352924,0.0,0.05458504258025387,0.010910686843674106,7.363100635980363e-05,7.857313694211739e-05,7.863599006767263e-05,7.859237326050944e-05,7.83468698292855e-05,0.05570520080560021,0.03801235010157325,0.012972275386232454,0.009663893336470905,0.009868587559645252,0.009870764413916851,0.009870752377890772,0.009870799036498361,0.048873924206392486,-12.220122024280668,0.0,-12.220122024280668
62,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0947349748070736,1.0,1,6.058978080749512,0.4555524885654449,7.057991027832031,0.6641654968261719,4.893368721008301,0.3019733428955078,7.530566692352295,0.8681683540344238,7.591053009033203,0.9746206402778624,7.59066915512085,0.9959036111831664,7.591500282287598,0.998457133769989,7.591560363769531,0.9988653063774108,-0.01156080209928355,0.995,5.1686320304870605,6.227100769678752,7.531568145751953,7.589186414082845,7.590623235702514,7.591772079467773,7.591827646891276,6.956223996480306,0.33722349603970847,0.48830176492532096,0.8724543193976084,0.975250635544459,0.9959937512874604,0.9991088291009267,0.9996510068575541,0.6520294060309728,0.03955325840848126,0.010170952554312156,0.30069388702915845,0.25233246199745163,0.0071425432580279075,0.003252121645372905,0.0011712480738223332,0.0010017532827617105,0.000998377174299341,0.5057585800912503,0.042519810856234394,0.05418003122441466,0.011110008557179363,0.005495595031110267,0.00524670316975197,0.0054793187999186335,0.005559338456662759,0.09155093194290902,-2.1028399695625413,0.49159604012508795,-2.5944360096876293
126,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0323032807168002,1.0,1,7.425575256347656,1.085581660270691,7.57936954498291,1.2560375928878784,6.738658905029297,0.8198915719985962,7.589257717132568,1.3103004693984983,7.590298652648926,1.3211859464645386,7.590117931365967,1.322909951210022,7.590104103088379,1.3229765892028809,7.590104103088379,1.3229767084121704,0.10307559745691662,0.9845833333333334,6.5884238084157305,7.3631558577219645,7.586440722147624,7.593521912892659,7.593982807795206,7.593981409072876,7.593981583913167,7.499821774164835,0.7218379120031992,0.951287712653478,1.1507926344871522,1.1634159644444784,1.1666137456893921,1.1668194572130839,1.1668203075726826,1.0748205562432607,0.0729677896994548,0.019332429130659076,0.22224460106668986,0.05611323320058187,0.0023746510630121634,0.0006621228856503066,0.0006328443386471162,0.0006325617443121128,0.0006326533994349717,0.23886004501335753,0.06498323138638587,0.0414496439519679,0.005577086256512363,0.007071399596794457,0.007772142780186858,0.007826975686112878,0.007827255356561938,0.09554937232369816,-0.9699117519061319,0.7974510891762443,-1.767362841082376
190,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4641689562060982,0.0,1,7.36250638961792,1.1527938842773438,7.583192348480225,1.3155583143234253,6.645489692687988,0.91390460729599,7.600781917572021,1.3690356016159058,7.600887298583984,1.3734296560287476,7.600887298583984,1.3734581470489502,7.600887298583984,1.3734581470489502,7.600887298583984,1.3734581470489502,0.2888645288180819,1.0,7.261055564880371,7.543686564763387,7.598183250427246,7.598578580220541,7.59857652982076,7.598576418558756,7.598576498031616,7.566277122497558,1.0604363679885864,1.2267317255338033,1.306274457772573,1.3101527214050293,1.310331658522288,1.3103320598602295,1.3103320558865865,1.2723702510197958,0.036398824889933575,0.0,0.08224470612942905,0.017135132226578587,0.0002671239359308475,0.00021311370570180208,0.00021330472803268504,0.00021342637601588554,0.00021353311999278488,0.08600045179236539,0.04596000088110804,0.018551884607954486,0.010914391851839352,0.011527111810909188,0.011561573246612295,0.011561638331946974,0.011561625934022312,0.06151026209657907,4.816211180391661,-1000.0,1004.8162111803916
254,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4803001802697248,1.0,1,7.5659685134887695,1.3909106254577637,7.5982489585876465,1.4405090808868408,7.3822784423828125,1.249419093132019,7.600306987762451,1.4520854949951172,7.600311279296875,1.4528528451919556,7.600310802459717,1.452856183052063,7.600311279296875,1.452856183052063,7.600311279296875,1.4528563022613523,0.4403097779431379,1.0,7.422912724812826,7.574405018488566,7.600260670979818,7.60026528040568,7.600265153249105,7.600265200932821,7.600265216827393,7.584985478719076,1.2756821473439535,1.4022701819737753,1.4515195568402608,1.4522100289662678,1.4522134780883789,1.4522134820620218,1.452213474114736,1.4295558333396912,0.03220084053120525,0.0,0.042862761925491794,0.008366964102597666,5.6241520468225686e-05,5.3225429701332736e-05,5.311501178254995e-05,5.3331789474364796e-05,5.3354147929997236e-05,0.05148956989064449,0.035866186952500316,0.015285040741980801,0.013259049927531023,0.013386073729952767,0.013386800366060072,0.013386802938062312,0.013386841153958242,0.04629096860565518,1.241905542429333,0.0,1.241905542429333
333,colosseum,,d2-c1-n0.05-m3,2,0.05,3.0,,-0.0201398711714281,3000,-0.0134514075163056,0.0,4,5.895434856414795,0.2524498105049133,5.895434856414795,0.2524498105049133,5.109546661376953,0.1753912419080734,6.62481164932251,0.3571650385856628,7.296144008636475,0.4995742738246918,7.784989833831787,0.6758332252502441,7.976795196533203,0.832370400428772,7.999267578125,0.9089301228523254,0.00745966836540488,0.0175,4.7184529304504395,5.405885696411133,6.129505825042725,6.757111072540283,7.420674180984497,7.867435391743978,7.995563507080078,5.94357164700826,0.11357763136426605,0.16290358006954186,0.23548698971668877,0.32413673599561055,0.4590859125057856,0.618761396408081,0.7389630575974783,0.21684303556879359,0.029911808688745024,0.07424911470504386,0.213340304236494,0.19421191277486807,0.04837636384812571,0.03660504308152141,0.020322182664204366,0.0061370420124274945,0.0013069541078949958,0.3525321548433269,0.016450531875050405,0.01950430495913267,0.007498285608818061,0.011041957355698153,0.009984528324740862,0.007428415598367628,0.004142533979046067,0.03142864242822728,-0.6990909877535668,-0.2356930458971681,-0.4633979418563987
457,colosseum,,d3-c1-n0.05-m7,3,0.05,7.0,,-16.176625387033255,3000,-0.1373055750878987,0.6375,1,6.535142421722412,0.6668784618377686,7.234550476074219,0.8866294026374817,5.53388786315918,0.4749054908752441,7.629533290863037,1.0962181091308594,7.848056793212891,1.2950842380523682,7.941921234130859,1.4802073240280151,7.972375392913818,1.6193780899047852,7.98091459274292,1.711950659751892,-0.13339043664545883,0.9383333333333332,5.136056645711263,6.189835246404012,7.822046756744385,7.993940289815267,7.996312808990479,7.9971816380818685,7.997324577967325,7.012419668833415,0.2902417947848638,0.4188876370588938,0.7961489280064901,0.9460454225540161,0.9918826321760813,0.9971494396527608,0.9980318148930868,0.5658234606186548,0.05156161832448258,0.051688445539586986,0.3203776561509491,0.2930968534743693,0.01878286628091085,0.003053160831848788,0.0011357725128522994,0.0009340775530700714,0.0009344729853804281,0.5049236650735075,0.04019742336922137,0.05218424040213493,0.013666652405024439,0.006424069327017411,0.004524623152588631,0.004497207239933444,0.004565322159608477,0.07619648033971005,-0.0759312560323748,-5.82012730684524,5.7441960508128656
