anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
523,0.62375736,0.6520385600696302,1.0000001,3,sphere,3,6.0
1573,0.7095867,0.787686111200817,1.0,3,sphere,3,6.0
1737,0.68110806,1.2233521437785049,1.0,3,sphere,3,6.0
854,0.52266204,0.8751266580175568,1.0,3,sphere,3,6.0
1467,0.68099385,0.5732959633529291,1.0,3,sphere,3,6.0
1294,0.30979344,0.47563484066351314,1.0,3,sphere,3,6.0
1225,0.81112784,0.8940746836881335,1.0,3,sphere,3,6.0
1708,0.14282736,0.48083622833763784,1.0,3,sphere,3,6.0
1366,0.0041922587,0.43973745503283035,1.0,3,sphere,3,6.0
225,0.05945106,0.4810982752629766,1.0,3,sphere,3,6.0
1166,0.007225188,0.19615755741862204,1.0,3,sphere,3,6.0
169,0.62062126,1.0698992724663614,1.0,3,sphere,3,6.0
638,0.5149494,0.7761318750155461,1.0,3,sphere,3,6.0
356,0.022767847,0.44628754603253884,1.0,3,sphere,3,6.0
654,0.7165343,0.9541007401243669,1.0,3,sphere,3,6.0
567,0.85978436,0.8148883303811908,1.0,3,sphere,3,6.0
1298,0.46285316,0.65260668543494,1.0,3,sphere,3,6.0
352,0.033117715,0.17600615690856614,1.0,3,sphere,3,6.0
1589,0.21372665,0.9388294439544868,1.0,3,sphere,3,6.0
1390,0.767439,0.7219308967869351,0.99999994,3,sphere,3,6.0
901,0.9040588,1.4528303952864803,1.0000001,3,saddle,1,-8.0
537,0.7023446,0.8192941707161184,1.0,3,saddle,1,-8.0
762,0.072247446,1.032097403603587,1.0,3,saddle,1,-8.0
898,0.52128524,1.144000999694744,1.0,3,saddle,1,-8.0
247,0.012351827,0.978050049235229,1.0,3,saddle,1,-8.0
833,0.92975205,1.365278207040847,1.0,3,saddle,1,-8.0
523,0.09342557,0.5906065164953493,1.0,3,saddle,1,-8.0
1663,0.3134365,1.1215693364863342,1.0,3,saddle,1,-8.0
54,0.77553445,1.374460487338701,1.0,3,saddle,1,-8.0
245,0.09183169,1.215449369587751,1.0,3,saddle,1,-8.0
1635,1.1621053,1.3988677529367326,1.0,3,saddle,1,-8.0
68,0.7312841,1.4855882341116113,1.0,3,saddle,1,-8.0
1806,0.701505,1.491712238901988,1.0,3,saddle,1,-8.0
807,0.7540951,1.116063889181535,1.0,3,saddle,1,-8.0
169,0.6755881,1.1786951740142722,0.99999994,3,saddle,1,-8.0
652,0.73421407,1.3131593919011113,1.0,3,saddle,1,-8.0
1003,0.1756908,1.3418429897840582,1.0,3,saddle,1,-8.0
283,0.33665895,1.3583897887658116,1.0,3,saddle,1,-8.0
612,1.4180917,1.680193253438126,1.0,3,saddle,1,-8.0
1569,0.8042393,1.174705997090347,1.0,3,saddle,1,-8.0
1716,0.7672523,1.0076541531691667,1.0,3,saddle,1,-8.0
1967,0.36402234,1.7683936494530916,0.99999994,3,saddle,1,-8.0
266,0.4677219,1.3640630005724634,1.0,3,saddle,1,-8.0
802,0.24322313,0.9797646708899912,1.0,3,saddle,1,-8.0
1620,0.8639745,1.071275418430876,1.0000001,3,saddle,1,-8.0
1625,0.3675191,1.1454911499350924,1.0,3,saddle,1,-8.0
506,1.4094175,1.297065090704318,1.0,3,saddle,1,-8.0
489,0.9173056,1.3422605900086881,1.0,3,saddle,1,-8.0
1495,0.053408198,0.5660655486893369,1.0,3,saddle,1,-8.0
406,0.17357212,0.7383296131127512,1.0,3,saddle,1,-8.0
1002,0.6300313,1.5457024553767695,1.0,3,saddle,1,-8.0
1067,0.05182258,0.97190266657125,1.0,3,saddle,1,-8.0
