n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
60,12,0.3,-5.7295384203961195,-1.842235872735504,1174,
60,12,0.5,-5.939963673814192,-1.842235872735504,1174,
60,13,0.2,-5.474194661332975,6.623965019732538,1273,
60,13,0.3,-5.656728144620969,6.623965019732538,1273,
60,13,0.5,-5.886127091727665,6.623965019732538,1273,
60,14,0.2,-5.530176249612657,-2.71842316244986,1221,
60,14,0.3,-5.707012180809502,-2.71842316244986,1221,
60,14,0.5,-5.926456907164552,-2.71842316244986,1221,
60,15,0.2,-5.602686044059281,-5.040171363309043,1228,
60,15,0.3,-5.763004866795741,-5.040171363309043,1228,
60,15,0.5,-5.955641425781995,-5.040171363309043,1228,
60,16,0.2,-5.5662161403734345,-0.42067983431734857,1266,
60,16,0.3,-5.737201667509938,-0.42067983431734857,1266,
60,16,0.5,-5.948544276080802,-0.42067983431734857,1266,
60,17,0.2,-6.006671574380663,-3.8680885251115953,1296,
60,17,0.3,-6.169021431678607,-3.8680885251115953,1296,
60,17,0.5,-6.366571013574247,-3.8680885251115953,1296,
60,18,0.2,-5.42908112693379,-0.45945178926591107,1179,
60,18,0.3,-5.614944678833163,-0.45945178926591107,1179,
60,18,0.5,-5.843353737806041,-0.45945178926591107,1179,
60,19,0.2,-5.958610872258962,3.3638746890594096,1178,
60,19,0.3,-6.135421941154881,3.3638746890594096,1178,
60,19,0.5,-6.350307564986379,3.3638746890594096,1178,
100,0,0.2,-5.476584271701325,-4.590010406490113,1605,
100,0,0.3,-5.656149849342037,-4.590010406490113,1605,
100,0,0.5,-5.878062506702459,-4.590010406490113,1605,
100,1,0.2,-5.16894526595733,13.603673931000143,1588,
100,1,0.3,-5.366583274353662,13.603673931000143,1588,
100,1,0.5,-5.616083297381173,13.603673931000143,1588,
100,2,0.2,-5.612911379293213,13.891764839771986,1622,
100,2,0.3,-5.7916874041833655,13.891764839771986,1622,
100,2,0.5,-6.012359678818765,13.891764839771986,1622,
100,3,0.2,-5.676925406599074,2.573541816232177,1633,
100,3,0.3,-5.865447340607278,2.573541816232177,1633,
100,3,0.5,-6.090531554312627,2.573541816232177,1633,
100,4,0.2,-5.61259738599273,-2.5507815394602606,1604,
100,4,0.3,-5.794212518041568,-2.5507815394602606,1604,
100,4,0.5,-6.011862430043351,-2.5507815394602606,1604,
100,5,0.2,-5.835103530287743,-1.4499377757973766,1600,
100,5,0.3,-5.9885308614373205,-1.4499377757973766,1600,
100,5,0.5,-6.171974940299988,-1.4499377757973766,1600,
100,6,0.2,-5.851147390632296,-13.507217146494897,1602,
100,6,0.3,-6.024952512853005,-13.507217146494897,1602,
100,6,0.5,-6.235405551955643,-13.507217146494897,1602,
100,7,0.2,-5.878507525746415,1.344101513481964,1640,
100,7,0.3,-6.0449504814496855,1.344101513481964,1640,
100,7,0.5,-6.246872286389514,1.344101513481964,1640,
100,8,0.2,-5.973798020760317,8.476333094564682,1598,
100,8,0.3,-6.121568051387133,8.476333094564682,1598,
100,8,0.5,-6.3011580999562975,8.476333094564682,1598,
100,9,0.2,-5.132433896385044,-1.0306529025359887,1593,
100,9,0.3,-5.328300891548152,-1.0306529025359887,1593,
100,9,0.5,-5.573408191187608,-1.0306529025359887,1593,
100,10,0.2,-5.7372227455106914,8.175660436251281,1656,
100,10,0.3,-5.9161701000830975,8.175660436251281,1656,
100,10,0.5,-6.135925869434928,8.175660436251281,1656,
100,11,0.2,-5.258220911927395,14.726218324067672,1587,
100,11,0.3,-5.450944460031741,14.726218324067672,1587,
100,11,0.5,-5.689384953811924,14.726218324067672,1587,
100,12,0.2,-5.1242422524270985,-1.842235872735504,1605,
100,12,0.3,-5.319465345459935,-1.842235872735504,1605,
100,12,0.5,-5.567460921694557,-1.842235872735504,1605,
100,13,0.2,-6.016776607457157,6.623965019732538,1627,
100,13,0.3,-6.195075509294675,6.623965019732538,1627,
100,13,0.5,-6.407398825565144,6.623965019732538,1627,
100,14,0.2,-6.126474071811664,-2.71842316244986,1605,
100,14,0.3,-6.2544933345830325,-2.71842316244986,1605,
100,14,0.5,-6.4098889279588365,-2.71842316244986,1605,
100,15,0.2,-5.274651906964776,-5.040171363309043,1598,
100,15,0.3,-5.464342654124368,-5.040171363309043,1598,
100,15,0.5,-5.698783656085686,-5.040171363309043,1598,
100,16,0.2,-5.554780877869705,-0.42067983431734857,1624,
100,16,0.3,-5.750145567755394,-0.42067983431734857,1624,
100,16,0.5,-5.993531751515243,-0.42067983431734857,1624,
100,17,0.2,-5.261883769402137,-3.8680885251115953,1625,
100,17,0.3,-5.454726267594557,-3.8680885251115953,1625,
100,17,0.5,-5.695059040949895,-3.8680885251115953,1625,
100,18,0.2,-5.675506827368218,-0.45945178926591107,1591,
100,18,0.3,-5.858480826029607,-0.45945178926591107,1591,
100,18,0.5,-6.086669925471509,-0.45945178926591107,1591,
100,19,0.2,-5.243472783594504,3.3638746890594096,1563,
100,19,0.3,-5.436442608567895,3.3638746890594096,1563,
100,19,0.5,-5.673981577787198,3.3638746890594096,1563,
