dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
colosseum,successor_entropy,300,30,0,d2-c1-n0.0-m0,-5.495756849907992,0.1312088055756028,-2.1778967158079077,
colosseum,successor_orc,300,30,0,d2-c1-n0.0-m0,-39.08340058392983,309.04237630341083,-2.1778967158079077,
colosseum,laziness_knn_t3,300,30,1,d2-c1-n0.0-m1,-3.444738841271615,0.22938982757860185,-0.020934326069427023,
colosseum,successor_entropy,300,30,1,d2-c1-n0.0-m1,-5.4670345976546,0.12165067799288279,-0.020934326069427023,
colosseum,successor_orc,300,30,1,d2-c1-n0.0-m1,-51.806661242586166,249.9573160161562,-0.020934326069427023,
colosseum,laziness_knn_t3,300,30,2,d2-c1-n0.0-m2,-3.460541494654422,0.21561540047164537,-2.848483161188812,
colosseum,successor_entropy,300,30,2,d2-c1-n0.0-m2,-5.458595232350203,0.09647403377340591,-2.848483161188812,
colosseum,successor_orc,300,30,2,d2-c1-n0.0-m2,-435.3732327138479,4276.317311424652,-2.848483161188812,
colosseum,laziness_knn_t3,300,80,0,d2-c1-n0.0-m0,-3.51246680578681,0.222334553476195,-0.4180728669375986,
colosseum,successor_entropy,300,80,0,d2-c1-n0.0-m0,-5.506104192636119,0.1206124664632036,-0.4180728669375986,
colosseum,successor_orc,300,80,0,d2-c1-n0.0-m0,-21.038988239614483,58.614500129608466,-0.4180728669375986,
colosseum,laziness_knn_t3,300,80,1,d2-c1-n0.0-m1,-3.5134091401504257,0.19724786663789354,-2.2559617233994858,
colosseum,successor_entropy,300,80,1,d2-c1-n0.0-m1,-5.486081126584845,0.09675972129977668,-2.2559617233994858,
colosseum,successor_orc,300,80,1,d2-c1-n0.0-m1,-23.614056904209296,102.47595338726039,-2.2559617233994858,
colosseum,laziness_knn_t3,300,80,2,d2-c1-n0.0-m2,-3.5060816009839377,0.22873907934994978,-0.41317146015537787,
colosseum,successor_entropy,300,80,2,d2-c1-n0.0-m2,-5.45672990322113,0.10380680845921961,-0.41317146015537787,
colosseum,successor_orc,300,80,2,d2-c1-n0.0-m2,-47.06836592392099,151.38893603644675,-0.41317146015537787,
colosseum,laziness_knn_t3,600,30,0,d2-c1-n0.0-m0,-3.3941127978265286,0.20245083831382676,-7.450456579649115,
colosseum,successor_entropy,600,30,0,d2-c1-n0.0-m0,-6.192401076853275,0.09867885274613267,-7.450456579649115,
colosseum,successor_orc,600,30,0,d2-c1-n0.0-m0,-36.37969577418281,227.51217145989273,-7.450456579649115,
colosseum,laziness_knn_t3,600,30,1,d2-c1-n0.0-m1,-3.3412411736999132,0.25963960716030987,-12.141052342688111,
colosseum,successor_entropy,600,30,1,d2-c1-n0.0-m1,-6.115823760490299,0.06930803900157914,-12.141052342688111,
colosseum,successor_orc,600,30,1,d2-c1-n0.0-m1,-12.769151535966875,78.02756011810743,-12.141052342688111,
colosseum,laziness_knn_t3,600,30,2,d2-c1-n0.0-m2,-3.3458912259415734,0.2459643386842005,-3.610067761322385,
colosseum,successor_entropy,600,30,2,d2-c1-n0.0-m2,-6.09498208987562,0.0935371321734829,-3.610067761322385,
colosseum,successor_orc,600,30,2,d2-c1-n0.0-m2,-5.872045247858319,16.2337141826099,-3.610067761322385,
colosseum,laziness_knn_t3,600,80,0,d2-c1-n0.0-m0,-3.5153994599246783,0.21295339300486615,-12.75341520414168,
colosseum,successor_entropy,600,80,0,d2-c1-n0.0-m0,-6.1546911237673765,0.08292751364243803,-12.75341520414168,
colosseum,successor_orc,600,80,0,d2-c1-n0.0-m0,-16.469738895805335,66.59830753525436,-12.75341520414168,
colosseum,laziness_knn_t3,600,80,1,d2-c1-n0.0-m1,-3.5329627206451013,0.21562994890807338,1.8789558705482132,
colosseum,successor_entropy,600,80,1,d2-c1-n0.0-m1,-6.187866783679876,0.09328875432266148,1.8789558705482132,
colosseum,successor_orc,600,80,1,d2-c1-n0.0-m1,-20.23415222081491,135.4060073805528,1.8789558705482132,
colosseum,laziness_knn_t3,600,80,2,d2-c1-n0.0-m2,-3.529671178117014,0.21072126773270758,-1.489229922532346,
colosseum,successor_entropy,600,80,2,d2-c1-n0.0-m2,-6.099014298152362,0.11420591973183644,-1.489229922532346,
colosseum,successor_orc,600,80,2,d2-c1-n0.0-m2,-13.452370638722417,50.07379747229043,-1.489229922532346,
