dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness_adaptive_t5,500,100,15,2-Sphere-7,-4.094447770118713,0.14052652940455307,2.0,1.0
sadspheres,successor_entropy,500,100,15,2-Sphere-7,-5.617474129676819,0.14944879892504617,2.0,1.0
sadspheres,successor_orc,500,100,15,2-Sphere-7,-16.723039495052536,136.89521949099895,2.0,1.0
sadspheres,laziness_knn_t3,500,100,16,2-Saddle-8,-3.5855094041824342,0.20751130323344708,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,16,2-Saddle-8,-4.006533666133881,0.23755907471541104,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,16,2-Saddle-8,-4.557646217346192,0.26207119727741773,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,16,2-Saddle-8,-3.966078042984009,0.23172724047151513,-8.0,0.0
sadspheres,successor_entropy,500,100,16,2-Saddle-8,-5.647331920623779,0.1618329012263683,-8.0,0.0
sadspheres,successor_orc,500,100,16,2-Saddle-8,-7.916942853184894,50.45033783806919,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,17,2-Sphere-8,-3.5838772563934325,0.16328075348006607,2.0,1.0
sadspheres,laziness_knn_t5,500,100,17,2-Sphere-8,-4.027291790485382,0.164437787217378,2.0,1.0
sadspheres,laziness_knn_t10,500,100,17,2-Sphere-8,-4.631669318199157,0.13196502454011388,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,17,2-Sphere-8,-3.9969180359840393,0.16670232937803384,2.0,1.0
sadspheres,successor_entropy,500,100,17,2-Sphere-8,-5.465531959533691,0.17270111373737884,2.0,1.0
sadspheres,successor_orc,500,100,17,2-Sphere-8,-50.559573705417364,583.3108233761031,2.0,1.0
sadspheres,laziness_knn_t3,500,100,18,2-Saddle-9,-3.5788470511436463,0.2179495376725771,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,18,2-Saddle-9,-4.001809224128723,0.2633223535479426,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,18,2-Saddle-9,-4.5593319172859195,0.3004080534755344,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,18,2-Saddle-9,-3.9582840733528135,0.2544176846690137,-8.0,0.0
sadspheres,successor_entropy,500,100,18,2-Saddle-9,-5.430160239219665,0.17798246780527233,-8.0,0.0
sadspheres,successor_orc,500,100,18,2-Saddle-9,-3.2680832573402117,17.652166206248737,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,19,2-Sphere-9,-3.619610050201416,0.13764588933567143,2.0,1.0
sadspheres,laziness_knn_t5,500,100,19,2-Sphere-9,-4.0775491528511045,0.13858495417873296,2.0,1.0
sadspheres,laziness_knn_t10,500,100,19,2-Sphere-9,-4.691509618759155,0.11618571102108871,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,19,2-Sphere-9,-4.044356469631195,0.13831819017630004,2.0,1.0
sadspheres,successor_entropy,500,100,19,2-Sphere-9,-5.723197546005249,0.15485065822270683,2.0,1.0
sadspheres,successor_orc,500,100,19,2-Sphere-9,-12.760174773134425,120.2019953834169,2.0,1.0
sadspheres,laziness_knn_t3,500,500,0,2-Saddle-0,-3.5702827949523925,0.17884574011618115,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,0,2-Saddle-0,-3.9775659770965577,0.21297942828365773,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,0,2-Saddle-0,-4.511912169933319,0.2540530070116604,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,0,2-Saddle-0,-3.935380741596222,0.20777571791601912,-8.0,0.0
sadspheres,successor_entropy,500,500,0,2-Saddle-0,-5.693741300582886,0.1414667158126603,-8.0,0.0
sadspheres,successor_orc,500,500,0,2-Saddle-0,-5.421000212286737,47.64998187458297,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,1,2-Sphere-0,-3.62492787027359,0.14235321857973315,2.0,1.0
sadspheres,laziness_knn_t5,500,500,1,2-Sphere-0,-4.0750665187835695,0.15411213245273825,2.0,1.0
sadspheres,laziness_knn_t10,500,500,1,2-Sphere-0,-4.675173582077027,0.14706312215749268,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,1,2-Sphere-0,-4.041426416397095,0.15492132493396515,2.0,1.0
sadspheres,successor_entropy,500,500,1,2-Sphere-0,-5.724057905197143,0.14041476244149348,2.0,1.0
sadspheres,successor_orc,500,500,1,2-Sphere-0,-4.456205023480201,26.15682385068573,2.0,1.0
sadspheres,laziness_knn_t3,500,500,2,2-Saddle-1,-3.5917299642562868,0.2017975344913182,-8.0,0.0
