instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,ent_k10_t8,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8,mu_kappa_plus,mu_frac,mu_ent_cak_t2,mu_ent_cak_t4,mu_ent_cak_t8,mu_ent_k10_t8,sd_kappa_plus,sd_frac,sd_ent_cak_t2,sd_ent_cak_t4,sd_ent_cak_t8,sd_ent_k10_t8,z_plus,z_frac,S_diff,z_ent_cak_t2,z_ent_cak_t4,z_ent_cak_t8,z_ent_k10_t8
138,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0540054877808365,7.590410709381103,1.0,5.407869815826416,6.412355899810791,7.126267433166504,0.10307559745691662,0.9845833333333334,5.30994356473287,6.46229141553243,7.21294272740682,7.586440722147624,0.0729677896994548,0.019332429130659076,0.08446397637178647,0.06856427125874077,0.03581073107540687,0.0023746510630121634,-0.6724900107046379,0.7974510891762443,-1.4699410998808822,-1.159384808767498,0.7283022892958015,2.4203720962245505,-1.6718191970667222
202,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.3865332052527188,7.600784301757812,0.0,3.276641845703125,4.477119445800781,5.721653461456299,0.2888645288180819,1.0,5.063860813776652,6.3532570997873945,7.1658700466156,7.598183250427246,0.036398824889933575,0.0,0.10396287479072916,0.06817385130575644,0.036124001539504395,0.0002671239359308475,2.683292021925907,-1000.0,1002.6832920219259,17.19093447224395,27.519901223890464,39.9794187689849,-9.73724545313389
266,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4625157554603072,7.600231170654297,1.0,4.68578577041626,5.9791259765625,6.940587520599365,0.4403097779431379,1.0,4.690694284439087,6.054225317637125,6.990317519505819,7.600260670979818,0.03220084053120525,0.0,0.09056825213543589,0.07265949273243807,0.052477074776090066,5.6241520468225686e-05,0.6896086298011348,0.0,0.6896086298011348,0.0541968505198392,1.0335792096866363,0.947651886440743,0.5245293028259564
360,colosseum,,d2-c1-n0.1-m0,2,0.1,0.0,,-0.2773082867850632,3000,0.0223873717248509,7.01983642578125,0.0,5.402266979217529,6.064146041870117,6.730429172515869,0.00745966836540488,0.0175,5.415722751617432,6.086958805720012,6.77007695833842,6.0572700023651125,0.029911808688745024,0.07424911470504386,0.06294747339509821,0.05230456272326661,0.03713879198477605,0.05890919580639425,0.49905719559723244,-0.2356930458971681,0.7347502414944005,0.21376191408741302,0.43615246284712195,1.0675572280003887,-16.33983303013715
484,colosseum,,d3-c1-n0.1-m4,3,0.1,4.0,,-9.95300009216142,3000,-0.0757941118917779,7.751246929168701,0.725,5.494309425354004,6.495646953582764,7.230378150939941,-0.13339043664545883,0.9383333333333332,5.272492535909017,6.271948083241781,7.196819416681925,7.822046756744385,0.05156161832448258,0.051688445539586986,0.08606897455713512,0.06582261181940272,0.048578961974909796,0.01878286628091085,1.1170387320122754,-4.1272924946049345,5.24433122661721,-2.5771991659751676,-3.398511000364812,-0.6908079731170229,3.769383571006834
608,colosseum,,d4-c1-n0.1-m8,4,0.1,8.0,,5.924945353387931,3000,-0.1616198393091995,7.889430999755859,0.0625,5.161864757537842,6.194688320159912,7.030654430389404,-0.09327934569536739,0.98125,5.135085566838582,6.379115883509318,7.358068799972534,7.987826379140218,0.10507114599649368,0.029680409770384428,0.0908633234910468,0.08139604700834609,0.05317567186980149,0.004317434154063882,-0.6504211309935906,-30.954761309149543,30.304340178155954,-0.2947194717338076,2.265804914709127,6.15722111391071,22.790244361165705
732,colosseum,,d5-c1-n0.1-m12,5,0.1,12.0,,-36.76476047112881,3000,-0.2278407930161043,7.982598304748535,1.0,5.277040004730225,6.409428596496582,7.133281230926514,0.15121377023799723,1.0,4.823663822809855,6.243747679392497,7.317367029190064,8.00171496073405,0.061370690979241846,0.0,0.10770314623313382,0.09448255344440228,0.04487416335679891,0.0004600756957061345,-6.176475402278162,0.0,-6.176475402278162,-4.209498030252464,-1.7535609598186734,4.1022669726422665,41.551110314954755
871,colosseum,,d6-c1-n0.2-m1,6,0.2,1.0,,0.935435246704639,3000,0.2646593838368202,7.963455200195312,1.0,4.461060523986816,5.673223972320557,6.578616619110107,0.2241901802541967,1.0,4.427391386032104,5.918041308720906,7.1100481986999515,8.005357042948406,0.07050366417352924,0.0,0.08522408014515075,0.07483346455610415,0.0481352602254691,7.363100635980363e-05,0.5740014232879791,0.0,0.5740014232879791,-0.39506601769556376,3.2714954178929556,11.040380317891282,569.078772987803
11,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.0209002949665467,6.078091144561768,0.0,5.505715370178223,6.227712154388428,6.918368816375732,-0.005977246090684373,0.004166666666666667,5.554142173131307,6.235423787434896,6.894546667734782,6.057370313008627,0.02826436714094643,0.016522363806281668,0.040929649721457885,0.03289857433223674,0.029810251911173844,0.045198629542724834,0.9509337648778886,-0.2521834475695623,1.203117212447451,1.1831716929572496,0.23440629884413147,-0.7991260426759733,-0.4584393766530933
75,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.0827928564215942,7.526261806488037,1.0,5.703859329223633,6.44195032119751,7.029964447021484,-0.01156080209928355,0.995,5.434345213572184,6.404733546574911,7.156411075592041,7.531568145751953,0.03955325840848126,0.010170952554312156,0.06387082745426148,0.05468925343203854,0.034520419848644124,0.0071425432580279075,-1.8009149483127447,0.49159604012508795,-2.2925109884378325,-4.219674715259484,-0.6805134882458683,3.662951642099553,0.7429201437389359
139,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3393597854017122,7.591189861297607,0.0,4.185532569885254,5.255886077880859,6.216598033905029,0.10307559745691662,0.9845833333333334,5.30994356473287,6.46229141553243,7.21294272740682,7.586440722147624,0.0729677896994548,0.019332429130659076,0.08446397637178647,0.06856427125874077,0.03581073107540687,0.0023746510630121634,3.238198510850069,-50.92910604658025,54.16730455743032,13.312314233209642,17.59524772164445,27.822517541006967,-1.999931368425687
203,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.2925073918248529,7.597977638244629,1.0,5.091740608215332,6.3982672691345215,7.1855974197387695,0.2888645288180819,1.0,5.063860813776652,6.3532570997873945,7.1658700466156,7.598183250427246,0.036398824889933575,0.0,0.10396287479072916,0.06817385130575644,0.036124001539504395,0.0002671239359308475,0.10008188500004271,0.0,0.10008188500004271,-0.26817067626111746,-0.6602262962269586,-0.5461015469616756,0.769725790017038
267,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5256629367917957,7.599045753479004,1.0,4.938135147094727,6.083322048187256,6.900473117828369,0.4403097779431379,1.0,4.690694284439087,6.054225317637125,6.990317519505819,7.600260670979818,0.03220084053120525,0.0,0.09056825213543589,0.07265949273243807,0.052477074776090066,5.6241520468225686e-05,2.6506500277824596,0.0,2.6506500277824596,-2.732092723679994,-0.40045325746047616,1.7120695477177255,21.60178975780751
361,colosseum,,d2-c1-n0.1-m1,2,0.1,1.0,,9.449520693307583,3000,0.0001133767708279,6.741258144378662,0.0125,5.498011589050293,6.174632549285889,6.747062683105469,0.00745966836540488,0.0175,5.415722751617432,6.086958805720012,6.77007695833842,6.0572700023651125,0.029911808688745024,0.07424911470504386,0.06294747339509821,0.05230456272326661,0.03713879198477605,0.05890919580639425,-0.24559837457576358,-0.06734087025633374,-0.17825750431942983,-1.3072619597670603,-1.6762159743069052,0.6196829245922966,-11.61088914303778
485,colosseum,,d3-c1-n0.1-m5,3,0.1,5.0,,-20.52226204708142,3000,-0.1323725979941758,7.751803874969482,0.425,5.5853142738342285,6.52990198135376,7.215739727020264,-0.13339043664545883,0.9383333333333332,5.272492535909017,6.271948083241781,7.196819416681925,7.822046756744385,0.05156161832448258,0.051688445539586986,0.08606897455713512,0.06582261181940272,0.048578961974909796,0.01878286628091085,0.01974023865732175,-9.931297565143124,9.951037803800446,-3.6345470540903317,-3.918925289985854,-0.3894753936510757,3.739731770666474
609,colosseum,,d4-c1-n0.1-m9,4,0.1,9.0,,-0.0842488264840803,3000,0.0738317888926479,7.92190408706665,0.2625,5.275376319885254,6.363052368164063,7.171536922454834,-0.09327934569536739,0.98125,5.135085566838582,6.379115883509318,7.358068799972534,7.987826379140218,0.10507114599649368,0.029680409770384428,0.0908633234910468,0.08139604700834609,0.05317567186980149,0.004317434154063882,1.5904569518409168,-24.216309867702023,25.80676681954294,-1.5439755850499461,0.19735006717964212,3.5078424203913343,15.26885870662712
733,colosseum,,d5-c1-n0.1-m13,5,0.1,13.0,,-36.53140813846787,3000,0.0360129958950916,7.956341743469238,1.0,5.234140396118164,6.369400978088379,7.070320129394531,0.15121377023799723,1.0,4.823663822809855,6.243747679392497,7.317367029190064,8.00171496073405,0.061370690979241846,0.0,0.10770314623313382,0.09448255344440228,0.04487416335679891,0.0004600756957061345,-1.8771301496649497,0.0,-1.8771301496649497,-3.8111846094058692,-1.329910063976224,5.505326034298134,98.62120013788642
872,colosseum,,d6-c1-n0.2-m2,6,0.2,2.0,,-31.49232593408417,3000,-0.4372295623786896,8.00153636932373,1.0,4.802295207977295,6.002687454223633,6.822778224945068,0.2241901802541967,1.0,4.427391386032104,5.918041308720906,7.1100481986999515,8.005357042948406,0.07050366417352924,0.0,0.08522408014515075,0.07483346455610415,0.0481352602254691,7.363100635980363e-05,-9.381352733738026,0.0,-9.381352733738026,-4.399036297096635,-1.131126909663064,5.967973838913293,51.889466320822635
12,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.1058174453380012,6.094511032104492,0.0,5.814353466033936,6.373268127441406,6.893968105316162,-0.005977246090684373,0.004166666666666667,5.554142173131307,6.235423787434896,6.894546667734782,6.057370313008627,0.02826436714094643,0.016522363806281668,0.040929649721457885,0.03289857433223674,0.029810251911173844,0.045198629542724834,-3.5323698828791006,-0.2521834475695623,-3.2801864353095382,-6.357525526689523,-4.189979134489092,0.019408169388975337,-0.821722239625817
76,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.1975358744880298,7.267885684967041,0.0,4.771422863006592,5.5594868659973145,6.321906566619873,-0.01156080209928355,0.995,5.434345213572184,6.404733546574911,7.156411075592041,7.531568145751953,0.03955325840848126,0.010170952554312156,0.06387082745426148,0.05468925343203854,0.034520419848644124,0.0071425432580279075,5.2864589417107934,-97.82761198489241,103.1140709266032,10.379110103753042,15.455443757848533,24.174228257682838,36.91716679329091
140,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.0557970743830808,7.590672492980957,1.0,5.271733283996582,6.449601650238037,7.2301506996154785,0.10307559745691662,0.9845833333333334,5.30994356473287,6.46229141553243,7.21294272740682,7.586440722147624,0.0729677896994548,0.019332429130659076,0.08446397637178647,0.06856427125874077,0.03581073107540687,0.0023746510630121634,-0.6479368947390368,0.7974510891762443,-1.445387983915281,0.4523855302300359,0.18507839522578476,-0.48052557688430075,-1.782060067370564
204,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.165576683074738,7.596550941467285,1.0,5.136087894439697,6.28509521484375,7.043239116668701,0.2888645288180819,1.0,5.063860813776652,6.3532570997873945,7.1658700466156,7.598183250427246,0.036398824889933575,0.0,0.10396287479072916,0.06817385130575644,0.036124001539504395,0.0002671239359308475,-3.3871380770163344,0.0,-3.3871380770163344,-0.6947391634603564,0.9998244728457797,3.3947216454631315,6.110680251368979
268,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5245656632702683,7.600895881652832,0.0,2.293147563934326,3.242893934249878,4.441988468170166,0.4403097779431379,1.0,4.690694284439087,6.054225317637125,6.990317519505819,7.600260670979818,0.03220084053120525,0.0,0.09056825213543589,0.07265949273243807,0.052477074776090066,5.6241520468225686e-05,2.6165740998431257,-1000.0,1002.6165740998431,26.472264441180407,38.69186637098772,48.560806070248766,-11.294336776918325
362,colosseum,,d2-c1-n0.1-m2,2,0.1,2.0,,-12.086218290266444,3000,0.0078944053149749,6.97150182723999,0.0,5.624439716339111,6.28583574295044,6.929543972015381,0.00745966836540488,0.0175,5.415722751617432,6.086958805720012,6.77007695833842,6.0572700023651125,0.029911808688745024,0.07424911470504386,0.06294747339509821,0.05230456272326661,0.03713879198477605,0.05890919580639425,0.014533957277334414,-0.2356930458971681,0.2502270031745025,-3.3157322043990467,-3.8022865860221087,-4.293812618954594,-15.5193397628362
486,colosseum,,d3-c1-n0.1-m6,3,0.1,6.0,,-2.2494890599102795,3000,-0.077096412289504,7.508809089660644,0.025,5.388443946838379,6.265954971313477,6.946483135223389,-0.13339043664545883,0.9383333333333332,5.272492535909017,6.271948083241781,7.196819416681925,7.822046756744385,0.05156161832448258,0.051688445539586986,0.08606897455713512,0.06582261181940272,0.048578961974909796,0.01878286628091085,1.0917815651496958,-17.66997099252738,18.761752557677074,-1.347191732281992,0.09104943973884502,5.153183009300009,16.676776717624115
