instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
762,500,kmetric_dorc,0.2049322389044436,0.0253739443852009,4,0.995,0.0,343.4,,d5-c1-n0.2-m12,5,1,0.2,12,-19.633812002494803
762,500,fbkernel_orc,0.1950323768513188,0.0223136004061842,4,0.995,0.0,343.4,,d5-c1-n0.2-m12,5,1,0.2,12,-19.633812002494803
759,500,traj_dorc,0.2789151972294221,0.0,1,0.995,0.0,2.7,,d5-c1-n0.2-m9,5,1,0.2,9,-18.93721874462364
759,500,kmetric_dorc,0.2993950067150946,0.011915089916295,4,0.995,0.0,343.2,,d5-c1-n0.2-m9,5,1,0.2,9,-18.93721874462364
759,500,fbkernel_orc,0.3080695367206164,0.0138759672717588,4,0.995,0.0,343.2,,d5-c1-n0.2-m9,5,1,0.2,9,-18.93721874462364
756,500,traj_dorc,0.2950814728622117,0.0,1,0.998,0.0,2.4,,d5-c1-n0.2-m6,5,1,0.2,6,-36.6631065153695
756,500,kmetric_dorc,0.2970585367306084,0.0308314923520833,4,0.998,0.0,342.9,,d5-c1-n0.2-m6,5,1,0.2,6,-36.6631065153695
756,500,fbkernel_orc,0.2740071616783503,0.0235835083335116,4,0.998,0.0,342.9,,d5-c1-n0.2-m6,5,1,0.2,6,-36.6631065153695
753,500,traj_dorc,0.0427152736761267,0.0,1,0.996,0.0,3.1,,d5-c1-n0.2-m3,5,1,0.2,3,-27.36167081917381
753,500,kmetric_dorc,0.2258460893816739,0.0135641612331929,4,0.996,0.0,339.7,,d5-c1-n0.2-m3,5,1,0.2,3,-27.36167081917381
753,500,fbkernel_orc,0.1844379725553161,0.0449474331258509,4,0.996,0.0,339.7,,d5-c1-n0.2-m3,5,1,0.2,3,-27.36167081917381
750,500,traj_dorc,0.2280540802194692,0.0,1,0.996,0.0,3.0,,d5-c1-n0.2-m0,5,1,0.2,0,-64.8943072100459
750,500,kmetric_dorc,0.2080385655563374,0.049736513527474,4,0.996,0.0,332.6,,d5-c1-n0.2-m0,5,1,0.2,0,-64.8943072100459
750,500,fbkernel_orc,0.1280243193405894,0.0394528671290476,4,0.996,0.0,332.6,,d5-c1-n0.2-m0,5,1,0.2,0,-64.8943072100459
732,500,traj_dorc,-0.055992893352421,0.0,1,0.995,0.0,2.8,,d5-c1-n0.1-m12,5,1,0.1,12,-36.76476047112881
732,500,kmetric_dorc,0.2896379250495347,0.0520920372644229,4,0.995,0.0,321.0,,d5-c1-n0.1-m12,5,1,0.1,12,-36.76476047112881
732,500,fbkernel_orc,0.2619464821640498,0.0439901995239083,4,0.995,0.0,321.0,,d5-c1-n0.1-m12,5,1,0.1,12,-36.76476047112881
729,500,traj_dorc,0.1430741678124628,0.0,1,0.994,0.0,2.4,,d5-c1-n0.1-m9,5,1,0.1,9,12.657273566920678
729,500,kmetric_dorc,0.2852867799064159,0.0118395233512474,4,0.994,0.0,317.3,,d5-c1-n0.1-m9,5,1,0.1,9,12.657273566920678
729,500,fbkernel_orc,0.3643566856491432,0.016344681060376,4,0.994,0.0,317.3,,d5-c1-n0.1-m9,5,1,0.1,9,12.657273566920678
726,500,traj_dorc,0.1673606193467339,0.0,1,0.998,0.0,3.1,,d5-c1-n0.1-m6,5,1,0.1,6,-27.36501286887357
726,500,kmetric_dorc,0.2734698053339723,0.0275203304825745,4,0.998,0.0,315.8,,d5-c1-n0.1-m6,5,1,0.1,6,-27.36501286887357
726,500,fbkernel_orc,0.2778168967558866,0.0625317746528524,4,0.998,0.0,315.8,,d5-c1-n0.1-m6,5,1,0.1,6,-27.36501286887357
723,500,traj_dorc,0.0490002459265551,0.0,1,0.998,0.0,2.9,,d5-c1-n0.1-m3,5,1,0.1,3,-39.1042194433172
723,500,kmetric_dorc,0.2322866299367279,0.0503437151801865,4,0.998,0.0,319.4,,d5-c1-n0.1-m3,5,1,0.1,3,-39.1042194433172
723,500,fbkernel_orc,0.1920690910073676,0.0364659715551423,4,0.998,0.0,319.4,,d5-c1-n0.1-m3,5,1,0.1,3,-39.1042194433172
720,500,traj_dorc,0.1626736437926554,0.0,1,0.997,0.0,2.5,,d5-c1-n0.1-m0,5,1,0.1,0,9.58742063848517
