instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,mu_k,sd_k,mu_f,sd_f,z_plus,z_frac,S_diff,S_sel,kappa_only,frac_only
77,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0457596670042108,1.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-0.8646282577213441,0.49159604012508795,-1.356224297846432,0.0,-0.8646282577213441,-0.49159604012508795
141,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,-0.0094288307859267,1.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,-1.5418368667357882,0.7974510891762443,-2.3392879559120328,0.0,-1.5418368667357882,-0.7974510891762443
205,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4667307900694714,0.0,0.2888645288180819,0.036398824889933575,1.0,0.001,4.88659350375292,-1000.0,1004.8865935037529,4.88659350375292,4.88659350375292,1000.0
269,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4160383677740927,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,-0.7537508266445478,0.0,-0.7537508266445478,0.0,-0.7537508266445478,-0.0
363,colosseum,,d2-c1-n0.1-m3,2,0.1,3.0,,-0.1957350610295782,3000,0.0315177312613633,0.025,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,0.804299838445102,0.1010113053845006,0.7032885330606014,0.0,0.804299838445102,-0.1010113053845006
487,colosseum,,d3-c1-n0.1-m7,3,0.1,7.0,,-37.0087735355624,3000,-0.1844344080187265,0.0125,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,-0.9899606147356098,-17.91180453713314,16.92184392239753,0.0,-0.9899606147356098,17.91180453713314
611,colosseum,,d4-c1-n0.1-m11,4,0.1,11.0,,-3.3189630707114124,3000,-0.0496249283699761,0.15,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,0.41547483765760085,-28.00668880351625,28.422163641173853,0.0,0.41547483765760085,28.00668880351625
750,colosseum,,d5-c1-n0.2-m0,5,0.2,0.0,,-64.8943072100459,3000,-0.2778604409198245,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-6.991516704658788,0.0,-6.991516704658788,0.0,-6.991516704658788,-0.0
874,colosseum,,d6-c1-n0.2-m4,6,0.2,4.0,,-3.968806191274376,3000,-0.0749042640471629,0.8,0.2241901802541967,0.07050366417352924,1.0,0.001,-4.242253899956243,-199.99999999999994,195.7577461000437,0.0,-4.242253899956243,199.99999999999994
14,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.0082207261561354,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,0.5023276189421998,-0.2521834475695623,0.754511066511762,0.0,0.5023276189421998,0.2521834475695623
78,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.0874520265663879,1.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-1.9187097984026338,0.49159604012508795,-2.4103058385277216,0.0,-1.9187097984026338,-0.49159604012508795
142,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.2889911351375369,0.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,2.547912420622621,-50.92910604658025,53.477018467202875,2.547912420622621,2.547912420622621,50.92910604658025
206,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.3139861499693891,1.0,0.2888645288180819,0.036398824889933575,1.0,0.001,0.6901767083765069,0.0,0.6901767083765069,0.0,0.6901767083765069,-0.0
270,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.4288880518063636,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,-0.35470273285896836,0.0,-0.35470273285896836,0.0,-0.35470273285896836,-0.0
364,colosseum,,d2-c1-n0.1-m4,2,0.1,4.0,,-1.095170415248552,3000,0.0287285962243465,0.0125,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,0.711054556421542,-0.06734087025633374,0.7783954266778758,0.0,0.711054556421542,0.06734087025633374
488,colosseum,,d3-c1-n0.1-m8,3,0.1,8.0,,25.65230615275553,3000,0.2951401468159912,0.0,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,8.311038275886975,-18.153638081738894,26.46467635762587,8.311038275886975,8.311038275886975,18.153638081738894
612,colosseum,,d4-c1-n0.1-m12,4,0.1,12.0,,2.082313981868797,3000,-0.2356441585669638,0.1375,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,-1.3549372810338174,-28.427842018606725,27.07290473757291,0.0,-1.3549372810338174,28.427842018606725
751,colosseum,,d5-c1-n0.2-m1,5,0.2,1.0,,-19.136262533696787,3000,-0.2142062991946632,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-5.9543091922536915,0.0,-5.9543091922536915,0.0,-5.9543091922536915,-0.0
875,colosseum,,d6-c1-n0.2-m5,6,0.2,5.0,,-49.26458148457658,3000,-0.5965097991038184,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-11.640529453023078,0.0,-11.640529453023078,0.0,-11.640529453023078,-0.0
15,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.1284221668969378,0.0125,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,-4.33213028247387,0.5043668951391247,-4.836497177612995,0.0,-4.33213028247387,-0.5043668951391247
79,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2182955818288625,0.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.811313484070855,-97.82761198489241,103.63892546896327,5.811313484070855,5.811313484070855,97.82761198489241
143,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.2285179522652685,0.975,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,1.7191469732745535,-0.4957128392176693,2.2148598124922225,1.7191469732745535,1.7191469732745535,0.4957128392176693
207,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.2448984589212392,1.0,0.2888645288180819,0.036398824889933575,1.0,0.001,-1.2078980579673027,0.0,-1.2078980579673027,0.0,-1.2078980579673027,-0.0
