instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,mu_k,sd_k,mu_f,sd_f,z_plus,z_frac,S_diff,S_sel,kappa_only,frac_only
271,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.4798234708706144,0.0,0.4403097779431379,0.03220084053120525,1.0,0.001,1.2271012891475448,-1000.0,1001.2271012891475,1.2271012891475448,1.2271012891475448,1000.0
365,colosseum,,d2-c1-n0.1-m5,2,0.1,5.0,,11.08152312025702,3000,0.0988670031289741,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,3.055894603858016,-0.2356930458971681,3.291587649755184,3.055894603858016,3.055894603858016,0.2356930458971681
489,colosseum,,d3-c1-n0.1-m9,3,0.1,9.0,,-5.530406551054341,3000,0.0082404386954301,0.675,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,2.7468275811203444,-5.094626673027965,7.841454254148309,2.7468275811203444,2.7468275811203444,5.094626673027965
613,colosseum,,d4-c1-n0.1-m13,4,0.1,13.0,,-22.6348913684337,3000,-0.3940190789562047,0.075,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,-2.8622485308276095,-30.533608094059076,27.671359563231466,0.0,-2.8622485308276095,30.533608094059076
752,colosseum,,d5-c1-n0.2-m2,5,0.2,2.0,,-8.878799685305857,3000,-0.0488376089078097,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-3.2597217980399265,0.0,-3.2597217980399265,0.0,-3.2597217980399265,-0.0
876,colosseum,,d6-c1-n0.2-m6,6,0.2,6.0,,-71.87814112792898,3000,0.1219930566852746,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-1.449529251662529,0.0,-1.449529251662529,0.0,-1.449529251662529,-0.0
16,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0500534995774325,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,1.9823810449640475,-0.2521834475695623,2.2345644925336097,1.9823810449640475,1.9823810449640475,0.2521834475695623
80,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0422977178999577,1.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-0.7771019895059605,0.49159604012508795,-1.2686980296310484,0.0,-0.7771019895059605,-0.49159604012508795
144,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0017336512970784,1.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,-1.3888586536230987,0.7974510891762443,-2.186309742799343,0.0,-1.3888586536230987,-0.7974510891762443
208,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4337178909353713,0.0,0.2888645288180819,0.036398824889933575,1.0,0.001,3.97961644518227,-1000.0,1003.9796164451823,3.97961644518227,3.97961644518227,1000.0
272,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.472941466033641,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,1.0133800097199426,0.0,1.0133800097199426,1.0133800097199426,1.0133800097199426,-0.0
366,colosseum,,d2-c1-n0.1-m6,2,0.1,6.0,,-3.606518083255943,3000,0.1268546137939407,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,3.991565560977287,-0.2356930458971681,4.227258606874455,3.991565560977287,3.991565560977287,0.2356930458971681
490,colosseum,,d3-c1-n0.1-m10,3,0.1,10.0,,-20.614923975239662,3000,-0.0422870167641214,0.6125,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,1.7668844160013404,-6.303794396056754,8.070678812058095,1.7668844160013404,1.7668844160013404,6.303794396056754
614,colosseum,,d4-c1-n0.1-m14,4,0.1,14.0,,-12.13766082906188,3000,-0.0261317328857065,0.1375,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,0.6390680540583583,-28.427842018606725,29.066910072665085,0.0,0.6390680540583583,28.427842018606725
753,colosseum,,d5-c1-n0.2-m3,5,0.2,3.0,,-27.36167081917381,3000,-0.6744597705920831,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-13.453873952785669,0.0,-13.453873952785669,0.0,-13.453873952785669,-0.0
877,colosseum,,d6-c1-n0.2-m7,6,0.2,7.0,,-36.88598049578116,3000,-0.480198529520482,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-9.99080995338031,0.0,-9.99080995338031,0.0,-9.99080995338031,-0.0
17,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.0021861543196999,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,0.28882303890533606,-0.2521834475695623,0.5410064864748984,0.0,0.28882303890533606,0.2521834475695623
81,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.0556905232759613,0.9625,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-1.1157038118309661,-3.1953742608130664,2.0796704489821005,0.0,-1.1157038118309661,3.1953742608130664
145,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.336243377299587,0.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,3.1954891439504918,-50.92910604658025,54.12459519053074,3.1954891439504918,3.1954891439504918,50.92910604658025
209,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.1655800919996543,1.0,0.2888645288180819,0.036398824889933575,1.0,0.001,-3.387044422209439,0.0,-3.387044422209439,0.0,-3.387044422209439,-0.0
273,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5279331739560651,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,2.721152447185748,0.0,2.721152447185748,2.721152447185748,2.721152447185748,-0.0
367,colosseum,,d2-c1-n0.1-m7,2,0.1,7.0,,-1.4167534716119394,3000,-0.0337194908747535,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,-1.3766856985700415,-0.2356930458971681,-1.1409926526728733,0.0,-1.3766856985700415,0.2356930458971681
491,colosseum,,d3-c1-n0.1-m11,3,0.1,11.0,,-13.136520272342572,3000,0.0679090524572496,0.1,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,3.904056847787631,-16.218969724892833,20.123026572680466,3.904056847787631,3.904056847787631,16.218969724892833
630,colosseum,,d4-c1-n0.2-m0,4,0.2,0.0,,-3.558579726048665,3000,-0.1999479499798427,0.0125,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,-1.0152035867966542,-32.63937416951143,31.624170582714772,0.0,-1.0152035867966542,32.63937416951143
754,colosseum,,d5-c1-n0.2-m4,5,0.2,4.0,,-4.946768816439207,3000,-0.3476070516745674,0.675,0.15121377023799723,0.061370690979241846,1.0,0.001,-8.127997484683476,-324.99999999999994,316.87200251531647,0.0,-8.127997484683476,324.99999999999994
878,colosseum,,d6-c1-n0.2-m8,6,0.2,8.0,,-31.98985941612672,3000,-0.787637877003543,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-14.351425122634023,0.0,-14.351425122634023,0.0,-14.351425122634023,-0.0
18,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.0733249289566816,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,-2.382776961895284,-0.2521834475695623,-2.1305935143257217,0.0,-2.382776961895284,0.2521834475695623
82,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2324732934168228,0.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,6.16975959340379,-97.82761198489241,103.99737157829621,6.16975959340379,6.16975959340379,97.82761198489241
146,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.0876803399377504,0.95,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,-0.21098703390327922,-1.7888767676115829,1.5778897337083038,0.0,-0.21098703390327922,1.7888767676115829
