instance,n_traj,dim,noise,ks_true,err,coverage,topo
881,25,6,0.2,-26.701955637154743,,0.295,0.0684446019973819
432,100,3,0.01,-15.026763600360248,,0.691,0.0205001988434523
494,100,3,0.1,-1.6689192913019415,,0.729,0.0237936260261808
571,100,4,0.05,-39.90075492062513,,0.726,0.0441739300660043
633,100,4,0.2,-15.94121826097334,,0.733,0.0174499983151162
695,100,5,0.05,-28.646174109828085,,0.7376666666666667,0.0104106006888068
757,100,5,0.2,-29.417968211109795,,0.717,0.0464603488426939
819,100,6,0.05,18.013705493536783,,0.764,0.0873889523177758
881,100,6,0.2,-26.701955637154743,,0.7666666666666667,0.0525750379754219
433,25,3,0.01,0.380085965305853,,0.2476666666666666,-0.0667001252083712
510,25,3,0.2,9.530164910380307,,0.289,-0.0444384910671438
572,25,4,0.05,-16.09270414189458,,0.2766666666666666,0.0386192702611378
634,25,4,0.2,-5.665571274105821,,0.296,-0.0225725025744948
696,25,5,0.05,-11.136468161274196,,0.2846666666666667,0.0982746911212546
758,25,5,0.2,-31.847402516207318,,0.2873333333333333,0.0659293576423068
820,25,6,0.05,-44.84909729317228,,0.2803333333333333,0.0136951367466125
882,25,6,0.2,-34.46401744692712,,0.3013333333333333,0.0419861427882761
433,100,3,0.01,0.380085965305853,,0.6946666666666667,0.012715311130423
510,100,3,0.2,9.530164910380307,,0.711,0.0233174111823098
572,100,4,0.05,-16.09270414189458,,0.6963333333333334,0.0251750888872377
634,100,4,0.2,-5.665571274105821,,0.7166666666666667,0.0396592898852861
696,100,5,0.05,-11.136468161274196,,0.7383333333333333,0.0544500513248166
758,100,5,0.2,-31.847402516207318,,0.724,0.0380571933914408
820,100,6,0.05,-44.84909729317228,,0.736,0.0313923436191291
882,100,6,0.2,-34.46401744692712,,0.719,0.0189507217254115
434,25,3,0.01,1.6301777294930675,,0.2676666666666666,0.0227608431384013
511,25,3,0.2,-3.66641372894382,,0.284,-0.0092304441798669
573,25,4,0.05,-30.16895284318092,,0.264,0.0326252381219122
635,25,4,0.2,-39.18539102422648,,0.2783333333333333,0.024314872898861
697,25,5,0.05,-19.7446786444012,,0.27,0.0431302196680194
759,25,5,0.2,-18.93721874462364,,0.2936666666666667,-0.003105092239688
821,25,6,0.05,-58.89777561628494,,0.2863333333333333,0.075053035544883
883,25,6,0.2,-26.5858890924547,,0.2993333333333333,0.0897191999259617
434,100,3,0.01,1.6301777294930675,,0.7073333333333334,-0.0105623059471131
511,100,3,0.2,-3.66641372894382,,0.7276666666666667,-0.0041446652840878
573,100,4,0.05,-30.16895284318092,,0.715,0.0086975038598399
635,100,4,0.2,-39.18539102422648,,0.7376666666666667,0.0278504102790151
697,100,5,0.05,-19.7446786444012,,0.7333333333333333,0.0436856437791797
759,100,5,0.2,-18.93721874462364,,0.7366666666666667,0.0278587930677693
821,100,6,0.05,-58.89777561628494,,0.7516666666666667,0.0906225759226082
883,100,6,0.2,-26.5858890924547,,0.7353333333333333,0.0636974170238699
421,100,3,0.01,-7.415704083686769,,0.722,0.0125160156575071
483,100,3,0.1,4.107036960514779,,0.715,0.0453765560842981
545,100,4,0.01,-25.421391317475663,,0.7206666666666667,0.0443803229854138
607,100,4,0.1,-12.183740340828578,,0.7246666666666667,0.0430457512510247
669,100,5,0.01,-18.319930087521648,,0.7423333333333333,0.0672994597872123
731,100,5,0.1,-18.969061686030443,,0.7286666666666667,0.0493368128683754
793,100,6,0.01,-76.44652684559905,,0.7356666666666667,0.0606323383704744
870,100,6,0.2,-34.693294949412,,0.721,0.0669492356113555
450,25,3,0.05,-24.89523765054504,,0.2546666666666666,0.0661407622503508
512,25,3,0.2,-7.144697080372662,,0.2766666666666666,0.0001744495107256
574,25,4,0.05,-17.091759926410464,,0.2666666666666666,0.0377650526487339
636,25,4,0.2,-29.21622157395343,,0.2933333333333333,-2.118550788865441e-05
698,25,5,0.05,-14.507889827778769,,0.27,0.0630476346882491
760,25,5,0.2,-38.9177710392795,,0.2876666666666667,0.0619768300060722
822,25,6,0.05,-7.917380679276863,,0.2746666666666666,0.0253099292822385
884,25,6,0.2,-48.22651622007661,,0.2796666666666667,0.0607063008027876
450,100,3,0.05,-24.89523765054504,,0.6916666666666667,0.0428361427612512
512,100,3,0.2,-7.144697080372662,,0.7166666666666667,0.0088907069777551
574,100,4,0.05,-17.091759926410464,,0.7343333333333333,0.0348457375218816
636,100,4,0.2,-29.21622157395343,,0.7263333333333334,0.0498466040952846
698,100,5,0.05,-14.507889827778769,,0.738,0.0503122956779124
760,100,5,0.2,-38.9177710392795,,0.7293333333333333,0.0708950762947017
822,100,6,0.05,-7.917380679276863,,0.727,0.0492784116953998
884,100,6,0.2,-48.22651622007661,,0.7303333333333333,0.0478140118791418
451,25,3,0.05,-12.659383196182684,,0.2646666666666666,-0.034646027958296
513,25,3,0.2,-4.361976627914746,,0.287,-0.0018616745065113
575,25,4,0.05,-31.28121797229592,,0.2726666666666666,-0.0342602316821964
637,25,4,0.2,-24.996193418222923,,0.2786666666666667,0.0501116234412094
699,25,5,0.05,-33.03765356029634,,0.285,0.0628330799328838
761,25,5,0.2,-3.4649771563151788,,0.2953333333333333,0.0089211030925202
823,25,6,0.05,-71.9194356359564,,0.298,0.0897007222978517
451,100,3,0.05,-12.659383196182684,,0.7123333333333334,0.0168172115898979
513,100,3,0.2,-4.361976627914746,,0.695,-0.0015104844348123
575,100,4,0.05,-31.28121797229592,,0.7343333333333333,0.0615758336355387
637,100,4,0.2,-24.996193418222923,,0.7256666666666667,0.0357487268052312
699,100,5,0.05,-33.03765356029634,,0.7096666666666667,0.0657856322417144
761,100,5,0.2,-3.4649771563151788,,0.7173333333333334,0.0721440062985442
823,100,6,0.05,-71.9194356359564,,0.734,0.0333782312838024
452,25,3,0.05,-8.503913817275507,,0.281,-0.0610411348430575
514,25,3,0.2,-14.544124599425984,,0.2563333333333333,-0.0445939058637863
576,25,4,0.05,1.5495180423592505,,0.2703333333333333,0.0659730126115707
638,25,4,0.2,-22.997619759109075,,0.2726666666666666,0.0078310581914516
700,25,5,0.05,-62.894655678803616,,0.2783333333333333,0.0199926188193585
762,25,5,0.2,-19.633812002494803,,0.2836666666666667,0.039931089383851
824,25,6,0.05,-23.73030057471971,,0.2913333333333333,0.0942688766109647
452,100,3,0.05,-8.503913817275507,,0.6736666666666666,0.0457686079682438
514,100,3,0.2,-14.544124599425984,,0.7043333333333334,-0.0166462736360348
576,100,4,0.05,1.5495180423592505,,0.7276666666666667,0.0426293817086476
638,100,4,0.2,-22.997619759109075,,0.7066666666666667,-0.0048924708137182
700,100,5,0.05,-62.894655678803616,,0.725,0.0555526962472355
762,100,5,0.2,-19.633812002494803,,0.7496666666666667,0.0648283833443069
824,100,6,0.05,-23.73030057471971,,0.7503333333333333,0.0501398090978468
453,25,3,0.05,16.800746756883633,,0.2716666666666666,0.012858181514402
