instance,n_traj,dim,noise,ks_true,err,coverage,eval_dist,resp_skew,pair_contract,pair_n
634,25,4,0.2,-5.665571274105821,,0.296,0.4326620103841806,-2.131881407777853,-1.2961457507823495,150.0
696,25,5,0.05,-11.136468161274196,,0.2846666666666667,0.5377648298823855,-1.3477921132206696,-1.655789536953105,188.0
758,25,5,0.2,-31.847402516207318,,0.2873333333333333,0.685314253649705,-2.053650851998517,-1.4255870235078287,185.0
820,25,6,0.05,-44.84909729317228,,0.2803333333333333,0.6176307251068437,-1.7744675296783652,-1.6663985381990982,226.0
882,25,6,0.2,-34.46401744692712,,0.3013333333333333,0.5142762164087008,-1.4671061302612898,-1.916450472499636,280.0
433,100,3,0.01,0.380085965305853,,0.6946666666666667,0.0,-0.0002955756632759,-1.4798880466128326,2450.0
510,100,3,0.2,9.530164910380307,,0.711,0.1953699666407528,-1.3523414725024772,-1.471567994923957,2480.0
572,100,4,0.05,-16.09270414189458,,0.6963333333333334,0.0,-0.922229628711343,-1.511857252646558,2234.0
634,100,4,0.2,-5.665571274105821,,0.7166666666666667,0.4146492092398282,-1.1135463015408655,-1.4499714651155151,2599.0
696,100,5,0.05,-11.136468161274196,,0.7383333333333333,0.0,-0.8992649935960182,-1.3923211467031775,2503.0
758,100,5,0.2,-31.847402516207318,,0.724,0.487442251501561,-1.1827089625531382,-1.611026074555767,2026.0
820,100,6,0.05,-44.84909729317228,,0.736,0.0,-1.3291678329253065,-1.56617808102464,2562.0
882,100,6,0.2,-34.46401744692712,,0.719,0.4214451538369183,-1.3607923776152198,-1.491528360247496,2313.0
434,25,3,0.01,1.6301777294930675,,0.2676666666666666,0.1852669353507181,-1.267360258419489,-2.0881141064034865,116.0
511,25,3,0.2,-3.66641372894382,,0.284,0.0,-1.5553092961525474,-1.874277163639196,231.0
573,25,4,0.05,-30.16895284318092,,0.264,0.5133995405880818,-0.931033889993388,-1.607933213071469,115.0
635,25,4,0.2,-39.18539102422648,,0.2783333333333333,0.0,-1.404238423027699,-2.0841630668626534,256.0
697,25,5,0.05,-19.7446786444012,,0.27,0.0,-2.0934395267935875,-1.93766287252665,215.0
759,25,5,0.2,-18.93721874462364,,0.2936666666666667,0.616535600747731,-0.955814944505225,-1.2146004592590924,140.0
821,25,6,0.05,-58.89777561628494,,0.2863333333333333,0.41047698384158,-1.4457061877880015,-1.7820575309889863,155.0
883,25,6,0.2,-26.5858890924547,,0.2993333333333333,0.0,-1.746029161816494,-1.413671103585486,309.0
434,100,3,0.01,1.6301777294930675,,0.7073333333333334,0.0,0.0510766642692826,-1.5285009728561494,2248.0
511,100,3,0.2,-3.66641372894382,,0.7276666666666667,0.1021779728331261,-0.465632173606506,-1.4120393087000718,2445.0
573,100,4,0.05,-30.16895284318092,,0.715,0.0,-0.8582363326805519,-1.3880656078228415,2442.0
635,100,4,0.2,-39.18539102422648,,0.7376666666666667,0.0,-1.3927834640758647,-1.381596690277275,2403.0
697,100,5,0.05,-19.7446786444012,,0.7333333333333333,0.0,-1.2041081690025284,-1.462906234117297,2420.0
759,100,5,0.2,-18.93721874462364,,0.7366666666666667,0.4973804898265239,-1.4092080653383887,-1.551804488228409,2414.0
821,100,6,0.05,-58.89777561628494,,0.7516666666666667,0.0,-1.3183109827325243,-1.3780767113958046,2519.0
883,100,6,0.2,-26.5858890924547,,0.7353333333333333,0.0,-1.7338501166423597,-1.63833635916285,2541.0
421,100,3,0.01,-7.415704083686769,,0.722,0.0,-0.0473566998617287,-1.6125323374592264,2342.0
483,100,3,0.1,4.107036960514779,,0.715,0.0,-0.4775242306595462,-1.4260657128270635,2326.0
545,100,4,0.01,-25.421391317475663,,0.7206666666666667,0.194327270866689,-0.9775005458362588,-1.5609429748814256,2112.0
607,100,4,0.1,-12.183740340828578,,0.7246666666666667,0.0,-0.9473190867139814,-1.3063769862574717,2261.0
669,100,5,0.01,-18.319930087521648,,0.7423333333333333,0.2960516860413762,-1.421490591631566,-1.5718613194231728,2205.0
731,100,5,0.1,-18.969061686030443,,0.7286666666666667,0.5038797973419247,-1.5283315530801624,-1.4000856457311135,2032.0
793,100,6,0.01,-76.44652684559905,,0.7356666666666667,0.0,-1.4133819783826318,-1.2532556382251472,2323.0
870,100,6,0.2,-34.693294949412,,0.721,0.0,-1.5593900134169725,-1.3995621274747525,2506.0
450,25,3,0.05,-24.89523765054504,,0.2546666666666666,0.1796153075124927,-1.740425003787562,-2.2017413424024017,159.0
512,25,3,0.2,-7.144697080372662,,0.2766666666666666,0.1329558658388123,-1.3148741997091808,-1.56443234226881,136.0
574,25,4,0.05,-17.091759926410464,,0.2666666666666666,0.4019132300876681,-1.677771940215284,-2.3785280396707726,122.0
636,25,4,0.2,-29.21622157395343,,0.2933333333333333,0.2602187815604681,-1.3479619554518751,-1.6477663293432452,151.0
698,25,5,0.05,-14.507889827778769,,0.27,0.0,-2.744958960686984,-2.076868756801712,220.0
760,25,5,0.2,-38.9177710392795,,0.2876666666666667,0.0,-2.1479809831457106,-1.7939835114738203,229.0
822,25,6,0.05,-7.917380679276863,,0.2746666666666666,0.0,-1.913507312940863,-1.7947123432120615,184.0
884,25,6,0.2,-48.22651622007661,,0.2796666666666667,0.0,-1.8449270329427656,-1.746124918218659,228.0
450,100,3,0.05,-24.89523765054504,,0.6916666666666667,0.0,-0.1863258245443692,-1.3270968503797231,2029.0
512,100,3,0.2,-7.144697080372662,,0.7166666666666667,0.0,-0.663617332204372,-1.3892004985658848,2473.0
574,100,4,0.05,-17.091759926410464,,0.7343333333333333,0.3318056412168347,-0.9323012738637568,-1.449853658093097,2288.0
636,100,4,0.2,-29.21622157395343,,0.7263333333333334,0.0,-1.7430948993099633,-1.441634525377797,2305.0
698,100,5,0.05,-14.507889827778769,,0.738,0.0,-1.6291290166042298,-1.3529484155329037,2301.0
760,100,5,0.2,-38.9177710392795,,0.7293333333333333,0.0,-1.5457983336699752,-1.4973616593907708,2605.0
822,100,6,0.05,-7.917380679276863,,0.727,0.0,-1.3080864308709326,-1.5134553365223744,2625.0
884,100,6,0.2,-48.22651622007661,,0.7303333333333333,0.0,-1.9851220022833695,-1.5824413751514093,2629.0
