instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
821,cak_40,0.4464195738645065,,6,0.05,-58.89777561628494,0.0215054713189601,0.2449322044849395,0.4120863080024719,0.6656602025032043,1.0226707458496094,1.4920066595077517,2.0758543014526367
821,cak_80,0.516055985875196,,6,0.05,-58.89777561628494,0.0716019347310066,0.5951012969017029,0.9645652770996094,1.485184669494629,2.1668527126312256,3.0143001079559326,4.036238670349121
821,cak_160,0.5999887088620811,,6,0.05,-58.89777561628494,0.1772507578134536,1.2540229558944702,1.9542171955108645,2.874791383743286,4.002307891845703,5.240125179290772,6.311267375946045
311,adaptive_k10,,,2,0.01,6.656586154585676,0.1387570202350616,3.9650604724884033,4.663347244262695,5.376014232635498,6.098850727081299,6.766827583312988,7.247901439666748
311,adaptive_k25,,,2,0.01,6.656586154585676,0.2320437878370285,4.9524993896484375,5.6478800773620605,6.351970672607422,6.968823432922363,7.357302188873291,7.559507846832275
311,adaptive_k50,,,2,0.01,6.656586154585676,0.3220985531806946,5.637431621551514,6.374943256378174,7.001756191253662,7.373010158538818,7.565346717834473,7.730220794677734
311,cak_40,1.3931136654821157,,2,0.01,6.656586154585676,0.0255324654281139,1.5463975667953491,1.9240213632583616,2.331172466278076,2.7705323696136475,3.244513750076294,3.760340929031372
311,cak_80,1.9992424784187417,,2,0.01,6.656586154585676,0.0449253097176551,2.2391812801361084,2.750821590423584,3.30073618888855,3.8972365856170654,4.514965534210205,5.174383640289307
311,cak_160,2.902800316054571,,2,0.01,6.656586154585676,0.0734837055206298,2.937013626098633,3.557625532150269,4.212222576141357,4.890037536621094,5.613529205322266,6.349038124084473
450,adaptive_k10,,,3,0.05,-24.89523765054504,0.5516226291656494,5.587937355041504,6.489346504211426,7.030986309051514,7.3645339012146,7.625146389007568,7.813838958740234
450,adaptive_k25,,,3,0.05,-24.89523765054504,0.7472869753837585,6.41583776473999,6.990128993988037,7.341688632965088,7.609622955322266,7.803413391113281,7.924769878387451
450,adaptive_k50,,,3,0.05,-24.89523765054504,0.8799130916595459,6.819247722625732,7.245810031890869,7.540252685546875,7.753978252410889,7.891652584075928,7.95611572265625
