anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
466,0.63305223,0.6732106513489273,1.0,3,sphere,3,6.0
896,0.10381513,0.6349835603989263,1.0,3,sphere,3,6.0
833,1.1054899,0.948784724879818,1.0,3,sphere,3,6.0
343,0.22369146,0.5789005987324809,1.0,3,sphere,3,6.0
775,0.30348992,0.9990251391433667,1.0,3,sphere,3,6.0
1505,0.036422078,0.3615862637374291,1.0,3,sphere,3,6.0
585,0.26156494,0.5307591140152355,1.0,3,sphere,3,6.0
1025,0.030519452,0.5635600323852825,1.0,3,sphere,3,6.0
1324,0.0060498104,0.34148125306748534,1.0,3,sphere,3,6.0
65,0.97849596,0.7930433816274942,1.0,3,sphere,3,6.0
315,1.4802343,0.7474845813412525,1.0,3,sphere,3,6.0
186,0.54685855,1.0129341520919546,0.99999994,3,sphere,3,6.0
1904,0.41810784,0.614628320795598,1.0,3,sphere,3,6.0
856,0.41667685,0.964331479778213,1.0,3,sphere,3,6.0
1145,0.27687326,0.7213915585964267,1.0000001,3,sphere,3,6.0
1565,0.16338918,0.9713314361920486,1.0,3,sphere,3,6.0
523,0.62375736,0.6520385600696302,1.0000001,3,sphere,3,6.0
1573,0.7095867,0.787686111200817,1.0,3,sphere,3,6.0
1737,0.68110806,1.2233521437785049,1.0,3,sphere,3,6.0
854,0.52266204,0.8751266580175568,1.0,3,sphere,3,6.0
1467,0.68099385,0.5732959633529291,1.0,3,sphere,3,6.0
1294,0.30979344,0.47563484066351314,1.0,3,sphere,3,6.0
1225,0.81112784,0.8940746836881335,1.0,3,sphere,3,6.0
1708,0.14282736,0.48083622833763784,1.0,3,sphere,3,6.0
1366,0.0041922587,0.43973745503283035,1.0,3,sphere,3,6.0
225,0.05945106,0.4810982752629766,1.0,3,sphere,3,6.0
1166,0.007225188,0.19615755741862204,1.0,3,sphere,3,6.0
169,0.62062126,1.0698992724663614,1.0,3,sphere,3,6.0
638,0.5149494,0.7761318750155461,1.0,3,sphere,3,6.0
356,0.022767847,0.44628754603253884,1.0,3,sphere,3,6.0
654,0.7165343,0.9541007401243669,1.0,3,sphere,3,6.0
567,0.85978436,0.8148883303811908,1.0,3,sphere,3,6.0
1298,0.46285316,0.65260668543494,1.0,3,sphere,3,6.0
352,0.033117715,0.17600615690856614,1.0,3,sphere,3,6.0
1589,0.21372665,0.9388294439544868,1.0,3,sphere,3,6.0
1390,0.767439,0.7219308967869351,0.99999994,3,sphere,3,6.0
903,0.022089018,0.9042840472358097,1.0000001,3,saddle,1,-8.0
539,0.18404248,1.2099003715761838,0.99999994,3,saddle,1,-8.0
764,0.2147755,1.1787867076181926,1.0,3,saddle,1,-8.0
900,0.048521128,0.3926285674738239,1.0000001,3,saddle,1,-8.0
248,0.95010215,1.128962486591368,1.0,3,saddle,1,-8.0
835,1.338897,1.310008360524461,0.99999994,3,saddle,1,-8.0
525,0.40592214,1.2590054278433152,1.0000001,3,saddle,1,-8.0
1663,0.041748732,0.49251993988920234,1.0,3,saddle,1,-8.0
55,0.0857347,0.8446595545118015,1.0,3,saddle,1,-8.0
246,0.059566192,0.7183238487557437,0.99999994,3,saddle,1,-8.0
1635,0.7676464,0.7085797651264715,1.0,3,saddle,1,-8.0
69,0.110573895,0.5283224800280536,1.0000001,3,saddle,1,-8.0
1806,0.76960075,0.5579587202458132,1.0,3,saddle,1,-8.0
809,1.4995105,1.709803168303292,1.0000001,3,saddle,1,-8.0
