n_trajectories,manifold,gamma,temperature,ks_hat_mean,ks_true,n_visited,err
50,11,0.9,5.0,-4.040807723999023,-1.0868577918537068,1153,
50,12,0.9,0.1,-0.7129193544387817,-3.2611585548281483,1108,
50,12,0.9,0.3,-1.4706755876541138,-3.2611585548281483,1108,
50,12,0.9,0.5,-1.9114699363708496,-3.2611585548281483,1108,
50,12,0.9,1.0,-2.53281307220459,-3.2611585548281483,1108,
50,12,0.9,2.0,-3.153176784515381,-3.2611585548281483,1108,
50,12,0.9,5.0,-3.950833320617676,-3.2611585548281483,1108,
50,13,0.9,0.1,-0.6760317087173462,8.128780451420226,1150,
50,13,0.9,0.3,-1.383744478225708,8.128780451420226,1150,
50,13,0.9,0.5,-1.806050419807434,8.128780451420226,1150,
50,13,0.9,1.0,-2.435185432434082,8.128780451420226,1150,
50,13,0.9,2.0,-3.077378511428833,8.128780451420226,1150,
50,13,0.9,5.0,-3.9069132804870605,8.128780451420226,1150,
50,14,0.9,0.1,-0.7980942130088806,-9.676442681847096,1154,
50,14,0.9,0.3,-1.5711400508880615,-9.676442681847096,1154,
50,14,0.9,0.5,-1.9974960088729858,-9.676442681847096,1154,
50,14,0.9,1.0,-2.5973753929138184,-9.676442681847096,1154,
50,14,0.9,2.0,-3.204150915145874,-9.676442681847096,1154,
50,14,0.9,5.0,-3.997556447982788,-9.676442681847096,1154,
50,15,0.9,0.1,-0.6862651705741882,-4.959495063988446,1113,
50,15,0.9,0.3,-1.4153542518615723,-4.959495063988446,1113,
50,15,0.9,0.5,-1.8337215185165405,-4.959495063988446,1113,
50,15,0.9,1.0,-2.4469950199127197,-4.959495063988446,1113,
50,15,0.9,2.0,-3.081578493118286,-4.959495063988446,1113,
50,15,0.9,5.0,-3.908761501312256,-4.959495063988446,1113,
50,16,0.9,0.1,-0.713690996170044,-5.872601916139336,1089,
50,16,0.9,0.3,-1.4688827991485596,-5.872601916139336,1089,
50,16,0.9,0.5,-1.9030201435089111,-5.872601916139336,1089,
50,16,0.9,1.0,-2.5308845043182373,-5.872601916139336,1089,
50,16,0.9,2.0,-3.1765894889831543,-5.872601916139336,1089,
50,16,0.9,5.0,-4.022119045257568,-5.872601916139336,1089,
50,17,0.9,0.1,-0.7187011241912842,-6.974039802853809,1107,
50,17,0.9,0.3,-1.4563478231430054,-6.974039802853809,1107,
50,17,0.9,0.5,-1.8744279146194458,-6.974039802853809,1107,
50,17,0.9,1.0,-2.4726641178131104,-6.974039802853809,1107,
50,17,0.9,2.0,-3.086472988128662,-6.974039802853809,1107,
50,17,0.9,5.0,-3.9000368118286133,-6.974039802853809,1107,
50,18,0.9,0.1,-0.7248784303665161,5.624116891875757,1150,
50,18,0.9,0.3,-1.4288297891616821,5.624116891875757,1150,
50,18,0.9,0.5,-1.8304603099822998,5.624116891875757,1150,
50,18,0.9,1.0,-2.4106202125549316,5.624116891875757,1150,
50,18,0.9,2.0,-3.019033193588257,5.624116891875757,1150,
50,18,0.9,5.0,-3.8578410148620605,5.624116891875757,1150,
50,19,0.9,0.1,-0.6129977703094482,8.114032980179669,1135,
50,19,0.9,0.3,-1.328005075454712,8.114032980179669,1135,
50,19,0.9,0.5,-1.754440426826477,8.114032980179669,1135,
50,19,0.9,1.0,-2.381124496459961,8.114032980179669,1135,
50,19,0.9,2.0,-3.0331881046295166,8.114032980179669,1135,
50,19,0.9,5.0,-3.9065425395965576,8.114032980179669,1135,
100,0,0.9,0.1,-0.6844541430473328,-0.8196425268452683,1653,
100,0,0.9,0.3,-1.3978869915008545,-0.8196425268452683,1653,
100,0,0.9,0.5,-1.8052116632461548,-0.8196425268452683,1653,
100,0,0.9,1.0,-2.3926737308502197,-0.8196425268452683,1653,
100,0,0.9,2.0,-2.995067596435547,-0.8196425268452683,1653,
100,0,0.9,5.0,-3.795758008956909,-0.8196425268452683,1653,
100,1,0.9,0.1,-0.6707682013511658,0.985907040841777,1613,
100,1,0.9,0.3,-1.366492748260498,0.985907040841777,1613,
100,1,0.9,0.5,-1.7720205783843994,0.985907040841777,1613,
100,1,0.9,1.0,-2.3607170581817627,0.985907040841777,1613,
100,1,0.9,2.0,-2.9670441150665283,0.985907040841777,1613,
100,1,0.9,5.0,-3.777064085006714,0.985907040841777,1613,
100,2,0.9,0.1,-0.610515296459198,3.2549158116616614,1563,
100,2,0.9,0.3,-1.287250280380249,3.2549158116616614,1563,
100,2,0.9,0.5,-1.6864567995071411,3.2549158116616614,1563,
100,2,0.9,1.0,-2.2769227027893066,3.2549158116616614,1563,
100,2,0.9,2.0,-2.8945934772491455,3.2549158116616614,1563,
100,2,0.9,5.0,-3.7303659915924072,3.2549158116616614,1563,
100,3,0.9,0.1,-0.6613833904266357,-2.414158761165222,1594,
100,3,0.9,0.3,-1.346864104270935,-2.414158761165222,1594,
100,3,0.9,0.5,-1.7475699186325073,-2.414158761165222,1594,
100,3,0.9,1.0,-2.3321752548217773,-2.414158761165222,1594,
100,3,0.9,2.0,-2.9359145164489746,-2.414158761165222,1594,
100,3,0.9,5.0,-3.7569315433502197,-2.414158761165222,1594,
100,4,0.9,0.1,-0.7861635088920593,-11.758894814807261,1575,
100,4,0.9,0.3,-1.5070886611938477,-11.758894814807261,1575,
100,4,0.9,0.5,-1.9061776399612427,-11.758894814807261,1575,
100,4,0.9,1.0,-2.478459119796753,-11.758894814807261,1575,
100,4,0.9,2.0,-3.07002854347229,-11.758894814807261,1575,
100,4,0.9,5.0,-3.8470566272735596,-11.758894814807261,1575,
100,5,0.9,0.1,-0.7059738039970398,-4.451101744112791,1642,
100,5,0.9,0.3,-1.433430552482605,-4.451101744112791,1642,
100,5,0.9,0.5,-1.830221176147461,-4.451101744112791,1642,
100,5,0.9,1.0,-2.3986499309539795,-4.451101744112791,1642,
100,5,0.9,2.0,-2.9845359325408936,-4.451101744112791,1642,
100,5,0.9,5.0,-3.76021409034729,-4.451101744112791,1642,
100,6,0.9,0.1,-0.7502146363258362,-9.759001738234947,1621,
100,6,0.9,0.3,-1.487908959388733,-9.759001738234947,1621,
100,6,0.9,0.5,-1.895231008529663,-9.759001738234947,1621,
100,6,0.9,1.0,-2.4799997806549072,-9.759001738234947,1621,
100,6,0.9,2.0,-3.073822259902954,-9.759001738234947,1621,
100,6,0.9,5.0,-3.844882011413574,-9.759001738234947,1621,
100,7,0.9,0.1,-0.6097344160079956,3.7116721280151084,1606,
100,7,0.9,0.3,-1.2702114582061768,3.7116721280151084,1606,
100,7,0.9,0.5,-1.6604666709899902,3.7116721280151084,1606,
100,7,0.9,1.0,-2.2389986515045166,3.7116721280151084,1606,
100,7,0.9,2.0,-2.8497917652130127,3.7116721280151084,1606,
100,7,0.9,5.0,-3.6798906326293945,3.7116721280151084,1606,
100,8,0.9,0.1,-0.6559890508651733,-2.454811352493259,1644,
100,8,0.9,0.3,-1.3224563598632812,-2.454811352493259,1644,
100,8,0.9,0.5,-1.7163124084472656,-2.454811352493259,1644,
100,8,0.9,1.0,-2.3036835193634033,-2.454811352493259,1644,
100,8,0.9,2.0,-2.9180595874786377,-2.454811352493259,1644,
100,8,0.9,5.0,-3.7347583770751953,-2.454811352493259,1644,
100,9,0.9,0.1,-0.7201744318008423,-2.419456386418404,1636,
100,9,0.9,0.3,-1.461944818496704,-2.419456386418404,1636,
100,9,0.9,0.5,-1.8806277513504028,-2.419456386418404,1636,
100,9,0.9,1.0,-2.479909896850586,-2.419456386418404,1636,
100,9,0.9,2.0,-3.0916123390197754,-2.419456386418404,1636,
100,9,0.9,5.0,-3.892580509185791,-2.419456386418404,1636,
100,10,0.9,0.1,-0.7039752006530762,1.3828937942222883,1598,
100,10,0.9,0.3,-1.4125168323516846,1.3828937942222883,1598,
100,10,0.9,0.5,-1.8206617832183838,1.3828937942222883,1598,
100,10,0.9,1.0,-2.4073574542999268,1.3828937942222883,1598,
100,10,0.9,2.0,-3.0032577514648438,1.3828937942222883,1598,
100,10,0.9,5.0,-3.7935914993286133,1.3828937942222883,1598,
100,11,0.9,0.1,-0.6638563871383667,-1.0868577918537068,1625,
100,11,0.9,0.3,-1.3737815618515015,-1.0868577918537068,1625,
100,11,0.9,0.5,-1.7837224006652832,-1.0868577918537068,1625,
100,11,0.9,1.0,-2.3773186206817627,-1.0868577918537068,1625,
100,11,0.9,2.0,-2.9925615787506104,-1.0868577918537068,1625,
100,11,0.9,5.0,-3.811018228530884,-1.0868577918537068,1625,
100,12,0.9,0.1,-0.7177829146385193,-3.2611585548281483,1628,
100,12,0.9,0.3,-1.4331742525100708,-3.2611585548281483,1628,
100,12,0.9,0.5,-1.8329943418502808,-3.2611585548281483,1628,
100,12,0.9,1.0,-2.4081976413726807,-3.2611585548281483,1628,
100,12,0.9,2.0,-2.9994571208953857,-3.2611585548281483,1628,
100,12,0.9,5.0,-3.7879366874694824,-3.2611585548281483,1628,
100,13,0.9,0.1,-0.6468160152435303,8.128780451420226,1618,
100,13,0.9,0.3,-1.3268771171569824,8.128780451420226,1618,
100,13,0.9,0.5,-1.7290387153625488,8.128780451420226,1618,
100,13,0.9,1.0,-2.325091600418091,8.128780451420226,1618,
100,13,0.9,2.0,-2.9406087398529053,8.128780451420226,1618,
100,13,0.9,5.0,-3.7479968070983887,8.128780451420226,1618,
100,14,0.9,0.1,-0.7318458557128906,-9.676442681847096,1638,
100,14,0.9,0.3,-1.436141014099121,-9.676442681847096,1638,
100,14,0.9,0.5,-1.8310985565185547,-9.676442681847096,1638,
100,14,0.9,1.0,-2.404745101928711,-9.676442681847096,1638,
100,14,0.9,2.0,-3.0007681846618652,-9.676442681847096,1638,
100,14,0.9,5.0,-3.799668550491333,-9.676442681847096,1638,
100,15,0.9,0.1,-0.7674448490142822,-4.959495063988446,1601,
100,15,0.9,0.3,-1.4694312810897827,-4.959495063988446,1601,
100,15,0.9,0.5,-1.8700751066207886,-4.959495063988446,1601,
100,15,0.9,1.0,-2.450550079345703,-4.959495063988446,1601,
100,15,0.9,2.0,-3.0461602210998535,-4.959495063988446,1601,
100,15,0.9,5.0,-3.830186128616333,-4.959495063988446,1601,
100,16,0.9,0.1,-0.6917699575424194,-5.872601916139336,1577,
100,16,0.9,0.3,-1.4116170406341553,-5.872601916139336,1577,
100,16,0.9,0.5,-1.8221021890640259,-5.872601916139336,1577,
100,16,0.9,1.0,-2.4073495864868164,-5.872601916139336,1577,
100,16,0.9,2.0,-3.00374436378479,-5.872601916139336,1577,
100,16,0.9,5.0,-3.800023317337036,-5.872601916139336,1577,
100,17,0.9,0.1,-0.7519702911376953,-6.974039802853809,1619,
100,17,0.9,0.3,-1.4543416500091553,-6.974039802853809,1619,
100,17,0.9,0.5,-1.8476704359054565,-6.974039802853809,1619,
100,17,0.9,1.0,-2.4156606197357178,-6.974039802853809,1619,
100,17,0.9,2.0,-3.0099692344665527,-6.974039802853809,1619,
100,17,0.9,5.0,-3.7981693744659424,-6.974039802853809,1619,
100,18,0.9,0.1,-0.6623568534851074,5.624116891875757,1651,
100,18,0.9,0.3,-1.3172022104263306,5.624116891875757,1651,
100,18,0.9,0.5,-1.6952332258224487,5.624116891875757,1651,
100,18,0.9,1.0,-2.2588541507720947,5.624116891875757,1651,
100,18,0.9,2.0,-2.858332872390747,5.624116891875757,1651,
100,18,0.9,5.0,-3.678819179534912,5.624116891875757,1651,
100,19,0.9,0.1,-0.6005717515945435,8.114032980179669,1617,
100,19,0.9,0.3,-1.2401844263076782,8.114032980179669,1617,
100,19,0.9,0.5,-1.6249589920043945,8.114032980179669,1617,
100,19,0.9,1.0,-2.204310655593872,8.114032980179669,1617,
100,19,0.9,2.0,-2.821402072906494,8.114032980179669,1617,
100,19,0.9,5.0,-3.666194438934326,8.114032980179669,1617,
200,0,0.9,0.1,-0.6149938702583313,-0.8196425268452683,1939,
200,0,0.9,0.3,-1.288122296333313,-0.8196425268452683,1939,
200,0,0.9,0.5,-1.6860754489898682,-0.8196425268452683,1939,
200,0,0.9,1.0,-2.2677266597747803,-0.8196425268452683,1939,
200,0,0.9,2.0,-2.8711652755737305,-0.8196425268452683,1939,
200,0,0.9,5.0,-3.68001127243042,-0.8196425268452683,1939,
200,1,0.9,0.1,-0.6326092481613159,0.985907040841777,1944,
200,1,0.9,0.3,-1.3189042806625366,0.985907040841777,1944,
200,1,0.9,0.5,-1.7127370834350586,0.985907040841777,1944,
200,1,0.9,1.0,-2.287611246109009,0.985907040841777,1944,
200,1,0.9,2.0,-2.8835248947143555,0.985907040841777,1944,
200,1,0.9,5.0,-3.67936372756958,0.985907040841777,1944,
200,2,0.9,0.1,-0.6194904446601868,3.2549158116616614,1919,
200,2,0.9,0.3,-1.2651501893997192,3.2549158116616614,1919,
200,2,0.9,0.5,-1.6443547010421753,3.2549158116616614,1919,
200,2,0.9,1.0,-2.2175674438476562,3.2549158116616614,1919,
200,2,0.9,2.0,-2.8254640102386475,3.2549158116616614,1919,
200,2,0.9,5.0,-3.641274929046631,3.2549158116616614,1919,
200,3,0.9,0.1,-0.657142162322998,-2.414158761165222,1929,
200,3,0.9,0.3,-1.3440028429031372,-2.414158761165222,1929,
200,3,0.9,0.5,-1.7330201864242554,-2.414158761165222,1929,
200,3,0.9,1.0,-2.299258232116699,-2.414158761165222,1929,
200,3,0.9,2.0,-2.8939015865325928,-2.414158761165222,1929,
200,3,0.9,5.0,-3.6958961486816406,-2.414158761165222,1929,
200,4,0.9,0.1,-0.7690364718437195,-11.758894814807261,1927,
200,4,0.9,0.3,-1.4638733863830566,-11.758894814807261,1927,
200,4,0.9,0.5,-1.8534717559814453,-11.758894814807261,1927,
200,4,0.9,1.0,-2.41252064704895,-11.758894814807261,1927,
200,4,0.9,2.0,-2.987748861312866,-11.758894814807261,1927,
200,4,0.9,5.0,-3.7549571990966797,-11.758894814807261,1927,
200,5,0.9,0.1,-0.7217020988464355,-4.451101744112791,1896,
200,5,0.9,0.3,-1.4286261796951294,-4.451101744112791,1896,
200,5,0.9,0.5,-1.813224196434021,-4.451101744112791,1896,
200,5,0.9,1.0,-2.3681907653808594,-4.451101744112791,1896,
200,5,0.9,2.0,-2.9410178661346436,-4.451101744112791,1896,
200,5,0.9,5.0,-3.7033531665802,-4.451101744112791,1896,
200,6,0.9,0.1,-0.6936878561973572,-9.759001738234947,1928,
200,6,0.9,0.3,-1.399728536605835,-9.759001738234947,1928,
200,6,0.9,0.5,-1.7997260093688965,-9.759001738234947,1928,
200,6,0.9,1.0,-2.3722786903381348,-9.759001738234947,1928,
200,6,0.9,2.0,-2.9597091674804688,-9.759001738234947,1928,
200,6,0.9,5.0,-3.73681640625,-9.759001738234947,1928,
200,7,0.9,0.1,-0.6254110932350159,3.7116721280151084,1925,
200,7,0.9,0.3,-1.2753723859786987,3.7116721280151084,1925,
