instance,n_traj,traj_len,err,dim,noise,ks_true,coverage,tps,kappa_plus,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8,frac_emp,ent_emp_t2,ent_emp_t4,ent_emp_t8,kappa_surp,frac_fb,ent_fb
521,40,400,,3,0.2,-2.5949241501049283,0.979,5.46,-0.1746746295866676,0.0125,5.546810150146484,6.359498500823975,7.007565498352051,0.2571428571428571,3.0575480461120605,4.357038497924805,5.456895351409912,0.124945961020978,0.0,6.212828636169434
552,40,400,,4,0.01,-11.163127979587726,0.977,5.47,-0.2867764769323144,0.1375,5.51793909072876,6.456158638000488,7.12588357925415,0.4615384615384615,3.2839066982269287,4.694169521331787,5.862609386444092,0.0442892672599027,0.125,6.247090458869934
583,40,400,,4,0.05,28.472607937392368,0.941,5.68,0.2024271001849963,0.0,5.535924434661865,6.474269866943359,7.03253173828125,0.4545454545454545,3.294346570968628,4.711275577545166,5.86121129989624,0.1392791082399871,0.990625,6.288351058959961
614,40,400,,4,0.1,-12.13766082906188,0.979,5.46,-0.032187019508246,0.15,5.672889232635498,6.623693943023682,7.197551727294922,0.6785714285714286,2.862407922744751,4.5415358543396,5.98446798324585,-0.0510656762733333,0.2,6.456241965293884
660,40,400,,5,0.01,1.9053751696081136,0.981,5.45,-0.1861056936759816,0.225,5.33040189743042,6.388901710510254,7.04530668258667,0.3888888888888889,3.0811328887939453,4.612466335296631,6.0125813484191895,0.1185275155626682,0.059375,6.368565082550049
691,40,400,,5,0.05,-16.171144702457998,0.975,5.49,-0.2911518607080308,1.0,5.31956958770752,6.447421550750732,7.147110939025879,0.3809523809523809,3.27947998046875,4.835747718811035,6.195659160614014,0.1833792370842239,0.7125,6.429668307304382
722,40,400,,5,0.1,-51.81568753840308,0.975,5.49,-0.129082776480071,1.0,5.269896030426025,6.3552117347717285,7.08642578125,0.4651162790697674,3.3563461303710938,5.047155857086182,6.369897365570068,0.1255888002064981,0.38125,6.323976159095764
753,40,400,,5,0.2,-27.36167081917381,0.977,5.47,-0.5433988951392997,1.0,5.260434627532959,6.392551898956299,7.128131866455078,0.6774193548387096,3.088331699371338,4.924754619598389,6.363847255706787,0.2236596679183189,0.515625,6.3488487005233765
815,40,400,,6,0.05,-81.15612396422729,0.971,5.5,-0.6909330320352802,0.9125,5.1093926429748535,6.219130039215088,6.947721004486084,0.5675675675675675,3.319286108016968,5.167037487030029,6.516907691955566,0.278026295642943,0.4781249999999999,6.440325617790222
877,40,400,,6,0.2,-36.88598049578116,0.976,5.48,-0.3562867564954828,1.0,4.923306465148926,6.158259391784668,7.036988258361816,0.5714285714285714,3.485224962234497,5.3348588943481445,6.696665287017822,0.0778732843717542,0.04375,6.40504264831543
428,40,1600,,3,0.01,-4.470633486317453,1.0,21.35,-0.0775235001284242,0.8625,5.697904109954834,6.666385650634766,7.371151924133301,0.3,3.4135830402374268,4.521398067474365,5.529118537902832,-0.1294421203374361,1.0,6.172965168952942
459,40,1600,,3,0.05,3.218057928153633,1.0,21.35,0.2649209395633984,0.05,5.512670993804932,6.462715148925781,7.1990251541137695,0.0793650793650793,3.4237351417541504,4.341883659362793,5.312980651855469,0.0356624897827495,0.396875,6.106881856918335
490,40,1600,,3,0.1,-20.614923975239662,1.0,21.35,-0.0422870167641214,0.6125,5.805009365081787,6.7742018699646,7.398791790008545,0.2592592592592592,3.5357425212860107,4.555917263031006,5.561812877655029,0.0408544227252015,0.73125,6.205076456069946
521,40,1600,,3,0.2,-2.5949241501049283,1.0,21.35,-0.1266591097359816,0.0125,5.5756516456604,6.393383502960205,7.042046546936035,0.265625,3.7695603370666495,4.999503612518311,5.948545932769775,0.2057134980250891,0.0312499999999999,6.198880553245544
552,40,1600,,4,0.01,-11.163127979587726,1.0,21.35,-0.1090573896748201,0.15,5.538697719573975,6.485424995422363,7.16014575958252,0.2539682539682539,3.642472505569458,4.92617654800415,6.132085800170898,0.1332366430708846,1.0,6.358110308647156
614,40,1600,,4,0.1,-12.13766082906188,1.0,21.35,0.0104626526934714,0.1375,5.694118499755859,6.644404888153076,7.216455936431885,0.6727272727272727,3.741209030151367,5.22121000289917,6.358554363250732,0.1135994965759209,0.0,6.458002209663391
691,40,1600,,5,0.05,-16.171144702457998,1.0,21.35,-0.0176257855615762,1.0,5.364324569702148,6.487773895263672,7.181375026702881,0.66,3.650824069976807,5.364899158477783,6.6920928955078125,0.1748361077865194,0.9125,6.611084818840027
753,40,1600,,5,0.2,-27.36167081917381,1.0,21.35,-0.6744597705920831,1.0,5.309085369110107,6.434417724609375,7.161067485809326,0.5166666666666667,3.8308334350585938,5.609050273895264,6.862545967102051,0.0163317310796727,0.603125,6.525347709655762
815,40,1600,,6,0.05,-81.15612396422729,1.0,21.35,-0.2931180812351679,0.9125,5.152526378631592,6.267784595489502,6.992974758148193,0.6567164179104478,4.23032808303833,5.964093208312988,6.940305233001709,0.2012906951316333,0.4656249999999999,6.594332933425903
877,40,1600,,6,0.2,-36.88598049578116,1.0,21.35,-0.480198529520482,1.0,4.984700202941895,6.212656497955322,7.074388980865479,0.582089552238806,4.202928066253662,5.947555541992188,7.030045509338379,0.3026220079965759,0.878125,6.502500891685486
429,10,50,,3,0.01,-16.296502183721266,0.111,1.53,0.4726082093721594,0.0,3.148925304412842,3.666463851928711,4.169746398925781,0.0,1.0523393154144287,1.481989860534668,1.875991702079773,-0.0413659557810389,0.578125,4.424073338508606
460,10,50,,3,0.05,-13.787515224982826,0.113,1.5,0.5159230648707386,1.0,3.4948737621307373,4.052243709564209,4.563786506652832,0.2857142857142857,1.485584020614624,2.3493106365203857,3.2381303310394287,0.1101967161929202,0.6302083333333333,4.536628365516663
491,10,50,,3,0.1,-13.136520272342572,0.118,1.44,0.5402648228541288,0.0,3.398019552230835,3.882354497909546,4.287153244018555,0.5,1.7697653770446775,2.5501394271850586,3.21887469291687,0.0400901552550247,0.2864583333333333,4.44998824596405
522,10,50,,3,0.2,-18.867196080469053,0.123,1.38,0.7579534087220119,0.0125,2.4570205211639404,3.0547657012939453,3.631778478622437,0.0,0.6277516484260559,0.9024380445480348,1.1948679685592651,0.4804687239616833,0.390625,4.1903098821640015
553,10,50,,4,0.01,-14.479569337189464,0.119,1.43,0.6528711586550475,0.3875,2.87210464477539,3.683490753173828,4.386602878570557,0.2857142857142857,1.1258057355880735,1.4500370025634766,1.848349332809448,-0.0932826618433116,0.53125,4.679470896720886
584,10,50,,4,0.05,-18.85016105524571,0.126,1.35,0.5550581724801819,1.0,2.73423171043396,3.510935544967652,4.257052898406982,0.2857142857142857,0.8864461183547974,1.221152901649475,1.6855740547180176,0.3760099583954122,0.4895833333333333,4.643218398094177
