n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
50,12,0.5,-6.710704919038489,-1.2518239035298682,1147,
50,13,0.2,-6.278675624836203,19.279142032357573,1021,
50,13,0.3,-6.458350371193582,19.279142032357573,1021,
50,13,0.5,-6.68403821827499,19.279142032357573,1021,
50,14,0.2,-5.978670015129992,4.0408735225921735,1116,
50,14,0.3,-6.161794917985103,4.0408735225921735,1116,
50,14,0.5,-6.413057276852242,4.0408735225921735,1116,
50,15,0.2,-6.586743113244447,-3.9127478258815174,1141,
50,15,0.3,-6.715518490041587,-3.9127478258815174,1141,
50,15,0.5,-6.859947974800959,-3.9127478258815174,1141,
50,16,0.2,-5.831108934862513,-4.499597219025709,1136,
50,16,0.3,-6.036325001800564,-4.499597219025709,1136,
50,16,0.5,-6.314977200937943,-4.499597219025709,1136,
50,17,0.2,-5.994052051309013,7.1679435744042586,1103,
50,17,0.3,-6.187609282171088,7.1679435744042586,1103,
50,17,0.5,-6.442551058201172,7.1679435744042586,1103,
50,18,0.2,-6.556331730491418,5.673359530031444,1108,
50,18,0.3,-6.690371717786961,5.673359530031444,1108,
50,18,0.5,-6.857493413484484,5.673359530031444,1108,
50,19,0.2,-6.639417223183505,5.550922179468609,1079,
50,19,0.3,-6.7478572383205355,5.550922179468609,1079,
50,19,0.5,-6.872514395055338,5.550922179468609,1079,
100,0,0.2,-5.994632984132731,-17.664154673944296,1598,
100,0,0.3,-6.158778212097321,-17.664154673944296,1598,
100,0,0.5,-6.364810350093435,-17.664154673944296,1598,
100,1,0.2,-5.896437010900165,-9.752893017945407,1659,
100,1,0.3,-6.071200836703603,-9.752893017945407,1659,
100,1,0.5,-6.294385678944924,-9.752893017945407,1659,
100,2,0.2,-6.536165643233228,6.782030357207869,1638,
100,2,0.3,-6.6829270422822535,6.782030357207869,1638,
100,2,0.5,-6.850791735235734,6.782030357207869,1638,
100,3,0.2,-6.535674804891942,2.9099346852854566,1642,
100,3,0.3,-6.672170260065801,2.9099346852854566,1642,
100,3,0.5,-6.837392128631926,2.9099346852854566,1642,
100,4,0.2,-6.044524007166426,-1.1117414400607863,1536,
100,4,0.3,-6.203811501152813,-1.1117414400607863,1536,
100,4,0.5,-6.410787724889815,-1.1117414400607863,1536,
100,5,0.2,-5.987019263281681,-1.0741749613034777,1616,
100,5,0.3,-6.147423061994043,-1.0741749613034777,1616,
100,5,0.5,-6.359782074052508,-1.0741749613034777,1616,
100,6,0.2,-6.522757668260075,-3.348655608211125,1582,
100,6,0.3,-6.647979787568528,-3.348655608211125,1582,
100,6,0.5,-6.806664851763758,-3.348655608211125,1582,
100,7,0.2,-6.49823607843073,-4.771754926468648,1597,
100,7,0.3,-6.623053563857869,-4.771754926468648,1597,
100,7,0.5,-6.798722432267315,-4.771754926468648,1597,
100,8,0.2,-6.62427353843127,4.234469729385937,1507,
100,8,0.3,-6.73204984835781,4.234469729385937,1507,
100,8,0.5,-6.861114194714319,4.234469729385937,1507,
100,9,0.2,-6.341781491412516,16.253215928506282,1557,
100,9,0.3,-6.512225061942157,16.253215928506282,1557,
100,9,0.5,-6.746431633686514,16.253215928506282,1557,
100,10,0.2,-5.882575866965417,-1.4095182596702143,1562,
100,10,0.3,-6.0734571415391985,-1.4095182596702143,1562,
100,10,0.5,-6.3211071057753125,-1.4095182596702143,1562,
100,11,0.2,-6.530376933466548,7.377026983785799,1689,
100,11,0.3,-6.678189108257396,7.377026983785799,1689,
100,11,0.5,-6.85057612154313,7.377026983785799,1689,
100,12,0.2,-6.3671519314588085,-1.2518239035298682,1657,
100,12,0.3,-6.542581768012867,-1.2518239035298682,1657,
100,12,0.5,-6.756953857573818,-1.2518239035298682,1657,
100,13,0.2,-6.380711202820142,19.279142032357573,1536,
100,13,0.3,-6.556682244253655,19.279142032357573,1536,
100,13,0.5,-6.765251194126904,19.279142032357573,1536,
100,14,0.2,-5.892894166107553,4.0408735225921735,1628,
100,14,0.3,-6.0821066315695465,4.0408735225921735,1628,
100,14,0.5,-6.346369719622469,4.0408735225921735,1628,
100,15,0.2,-6.248144313418117,-3.9127478258815174,1626,
100,15,0.3,-6.3965942774604905,-3.9127478258815174,1626,
100,15,0.5,-6.5787940908035525,-3.9127478258815174,1626,
100,16,0.2,-6.0791066033280545,-4.499597219025709,1555,
100,16,0.3,-6.252418568969923,-4.499597219025709,1555,
100,16,0.5,-6.484690397882002,-4.499597219025709,1555,
100,17,0.2,-6.130582511117778,7.1679435744042586,1552,
100,17,0.3,-6.297667681556387,7.1679435744042586,1552,
100,17,0.5,-6.513970811342456,7.1679435744042586,1552,
100,18,0.2,-6.269175907001374,5.673359530031444,1570,
100,18,0.3,-6.439574316656514,5.673359530031444,1570,
100,18,0.5,-6.659145440265632,5.673359530031444,1570,
100,19,0.2,-5.804104988810358,5.550922179468609,1489,
100,19,0.3,-6.004656033679253,5.550922179468609,1489,
100,19,0.5,-6.280529687995475,5.550922179468609,1489,
200,0,0.2,-6.5420423971172195,-17.664154673944296,1928,
200,0,0.3,-6.675382061370676,-17.664154673944296,1928,
200,0,0.5,-6.8382221277324,-17.664154673944296,1928,
200,1,0.2,-6.391676147574634,-9.752893017945407,1946,
200,1,0.3,-6.5432661679886355,-9.752893017945407,1946,
200,1,0.5,-6.739203204353936,-9.752893017945407,1946,
200,2,0.2,-5.913856966145967,6.782030357207869,1903,
200,2,0.3,-6.113341234260274,6.782030357207869,1903,
200,2,0.5,-6.376490438354059,6.782030357207869,1903,
200,3,0.2,-5.861091657659379,2.9099346852854566,1923,
200,3,0.3,-6.052712248317661,2.9099346852854566,1923,
200,3,0.5,-6.318579341741632,2.9099346852854566,1923,
200,4,0.2,-5.772113887132119,-1.1117414400607863,1911,
200,4,0.3,-5.973065448393689,-1.1117414400607863,1911,
200,4,0.5,-6.241487368309704,-1.1117414400607863,1911,
200,5,0.2,-5.911292286972266,-1.0741749613034777,1938,
200,5,0.3,-6.077733617571978,-1.0741749613034777,1938,
200,5,0.5,-6.301673025046585,-1.0741749613034777,1938,
200,6,0.2,-6.372947410559554,-3.348655608211125,1912,
200,6,0.3,-6.543457779176066,-3.348655608211125,1912,
200,6,0.5,-6.754279750410982,-3.348655608211125,1912,
200,7,0.2,-6.564323390559773,-4.771754926468648,1922,
200,7,0.3,-6.692428734002327,-4.771754926468648,1922,
200,7,0.5,-6.8458243103602925,-4.771754926468648,1922,
200,8,0.2,-6.3651127996638515,4.234469729385937,1919,
200,8,0.3,-6.529390658358226,4.234469729385937,1919,
200,8,0.5,-6.753312684646057,4.234469729385937,1919,
200,9,0.2,-6.616922657682289,16.253215928506282,1932,
200,9,0.3,-6.7394927641372995,16.253215928506282,1932,
200,9,0.5,-6.880935708928552,16.253215928506282,1932,
200,10,0.2,-5.79038014134324,-1.4095182596702143,1941,
200,10,0.3,-5.987202429636307,-1.4095182596702143,1941,
