instance,dim,noise,ks_true,err,mix_ent,mix_ent_all,V_anchor,n_goals
699,5,0.05,-33.03765356029634,,1.2955777645111084,1.0951039791107178,3.638227931457192,12
823,6,0.05,-71.9194356359564,,1.4964648485183716,1.108516812324524,6.8318996142072255,12
452,3,0.05,-8.503913817275507,,0.5722852349281311,0.7494835257530212,2.18453983561062,12
576,4,0.05,1.5495180423592505,,0.9704477787017822,1.0339559316635132,2.662780387216614,12
700,5,0.05,-62.894655678803616,,1.2987456321716309,1.0202133655548096,7.797128847015614,12
824,6,0.05,-23.73030057471971,,1.001378297805786,1.1248245239257812,4.145703748350595,12
453,3,0.05,16.800746756883633,,0.3237785398960113,0.5219899415969849,3.4320731225643293,12
577,4,0.05,-4.587718319365236,,0.7386510372161865,0.5071201324462891,2.3700672014591406,12
701,5,0.05,-12.478273660639108,,1.2439181804656982,1.3010129928588867,3.5606650501649257,12
840,6,0.1,-39.57480106909405,,1.6084816455841064,1.4232600927352903,3.37100596330566,12
454,3,0.05,-4.99685320061184,,0.5821367502212524,0.4368160367012024,1.4233464372043991,12
578,4,0.05,-22.05882557409797,,0.6666997075080872,0.7633526921272278,2.890393881071253,12
702,5,0.05,-8.094765280509788,,0.788629949092865,1.015726089477539,5.382612568745449,12
841,6,0.1,-28.27057085781108,,0.1488263010978698,0.6177128553390503,4.278844244150842,12
422,3,0.01,-10.734204673555151,,0.2992653250694275,0.3799537718296051,1.8243660763683347,12
546,4,0.01,-35.825477386408664,,1.471139430999756,1.1100581884384155,5.504591382623534,12
670,5,0.01,-44.4013504262728,,0.4750029444694519,0.6742218136787415,3.732345961190659,12
794,6,0.01,-38.89536340245233,,0.8493516445159912,0.6853507161140442,3.5084338712054857,12
455,3,0.05,0.1038120113334293,,0.7480453252792358,0.5596676468849182,2.250721820555951,12
579,4,0.05,-12.708320135998806,,0.6595237255096436,0.8262184262275696,1.969525903097632,12
703,5,0.05,6.3932786146544505,,0.0433084890246391,0.6377068758010864,3.548754128882972,12
842,6,0.1,-70.57962561965199,,1.477705955505371,1.282853364944458,5.749747690788096,12
456,3,0.05,-10.086395056679647,,0.7585073709487915,0.5815272927284241,2.5473396171135647,12
580,4,0.05,1.430710029764047,,0.478946328163147,0.6227607727050781,1.702741574014233,12
704,5,0.05,-31.099208931298197,,0.6309975385665894,0.9077650904655457,3.9764184680686254,12
843,6,0.1,-67.23454284811166,,0.947828769683838,0.9223359823226928,3.0952826394465105,12
457,3,0.05,-16.176625387033255,,0.5917044878005981,0.5403002500534058,2.5923227683561283,12
581,4,0.05,-27.984450651921836,,0.7577981948852539,0.7178828120231628,2.240710390309941,12
720,5,0.1,9.58742063848517,,0.9036056399345398,0.6113385558128357,3.208500900922477,12
844,6,0.1,-51.41557026855955,,1.3755271434783936,1.353679895401001,4.556206030565377,12
458,3,0.05,0.4466454396956449,,0.7339043617248535,0.4032073020935058,1.6842869170928516,12
582,4,0.05,-20.161306901824567,,0.4640978872776031,0.6701856851577759,3.127674840342708,12
721,5,0.1,55.01886922438137,,0.6370787024497986,0.6357292532920837,5.183217015889682,12
845,6,0.1,-16.385632508942592,,1.106819987297058,1.175817847251892,3.1876557828600527,12
459,3,0.05,3.218057928153633,,0.2689191102981567,0.5480446815490723,1.941087496799964,12
583,4,0.05,28.472607937392368,,0.0501563623547554,0.4266696572303772,3.110301052563435,12
722,5,0.1,-51.81568753840308,,1.3966619968414309,0.9563762545585632,2.7540450585507883,12
846,6,0.1,68.02202730824673,,0.6128315925598145,1.2405191659927368,4.891011550024059,12
460,3,0.05,-13.787515224982826,,0.5194878578186035,0.597812831401825,2.602153868382169,12
584,4,0.05,-18.85016105524571,,0.8432515859603882,0.7139818072319031,2.592904594179142,12
723,5,0.1,-39.1042194433172,,1.5555503368377686,1.3910818099975586,2.768151607349914,12
847,6,0.1,-52.04537163029244,,1.028016209602356,0.8532867431640625,6.604515833338143,12
461,3,0.05,21.368395828400903,,0.9175819754600524,0.6555204391479492,2.34193824347493,12
600,4,0.1,-26.415311732361605,,0.7593365907669067,0.7452614903450012,2.5217594688961684,12
724,5,0.1,-53.95304602005903,,0.3463218808174133,0.7096796035766602,3.610193452209773,12
848,6,0.1,-25.63865350280647,,0.493405818939209,0.9028626680374146,2.9175459140013373,12
462,3,0.05,4.789913485957336,,0.4066545367240906,0.3756164908409118,2.228082527744001,12
601,4,0.1,-25.490568830187783,,0.5540943145751953,0.5881587266921997,2.5692902433359617,12
725,5,0.1,-33.13785935137783,,1.0310757160186768,0.7091394066810608,3.4715762598040305,12
849,6,0.1,-69.16244751925056,,0.4308521747589111,0.7223955392837524,3.593011063139838,12
463,3,0.05,1.5260272664429309,,0.3100024461746216,0.3653015494346618,2.8772727019844915,12
602,4,0.1,29.480145418186098,,0.3714151680469513,0.5112301111221313,2.9276324745557343,12
726,5,0.1,-27.36501286887357,,1.0193016529083252,0.8431811332702637,2.494422482563465,12
850,6,0.1,36.32813350240218,,0.6806032657623291,1.1037824153900146,4.439648716041129,12
464,3,0.05,-21.079559573576592,,0.7853249311447144,0.6964548230171204,2.5885675363020817,12
603,4,0.1,-9.190322083736802,,0.2886477410793304,0.7578226327896118,4.262297475317325,12
727,5,0.1,-20.20522058544134,,0.7477198839187622,0.8927513957023621,3.503861387765356,12
851,6,0.1,-9.528899156859143,,1.3162050247192385,1.434161901473999,3.739455244596092,12
423,3,0.01,-4.375614595954051,,0.5768929719924927,0.2788656949996948,3.535932831534895,12
547,4,0.01,-29.76605096445724,,1.1291375160217283,0.9937698245048524,3.524902319702546,12
671,5,0.01,-19.616145636909778,,0.5423703193664551,0.7671912908554077,3.1442216457484533,12
810,6,0.05,-50.04826371600894,,1.2895188331604004,1.2136285305023191,2.697392328101844,12
480,3,0.1,10.984687542340705,,0.7065118551254272,0.6257747411727905,1.6970993078791723,12
604,4,0.1,-3.1032668576189137,,0.955424427986145,0.8569082021713257,2.538692884010674,12
728,5,0.1,-86.78332400296945,,0.3589892983436584,0.2321240007877349,4.302067823343157,12
852,6,0.1,-29.39241479183089,,1.2471425533294678,1.0789388418197632,3.924563043458669,12
481,3,0.1,-5.728772538116581,,0.8373241424560547,0.5654860138893127,1.9255047216618144,12
605,4,0.1,-15.198491523550626,,0.6271297931671143,0.6838588118553162,2.422593783534936,12
729,5,0.1,12.657273566920678,,0.5491135120391846,0.8094317317008972,3.5306610672182908,12
853,6,0.1,-28.91830997833552,,1.0384955406188965,1.044028401374817,2.7748171636733074,12
482,3,0.1,-3.557038532205605,,0.9058964252471924,0.7391683459281921,2.530399143007202,12
606,4,0.1,-27.860036231503933,,0.6112905740737915,0.9298690557479858,3.070836521729132,12
730,5,0.1,-67.17285898139227,,0.8742599487304688,1.1332783699035645,4.396732274794953,12
854,6,0.1,-26.73210065400279,,1.5202984809875488,1.322131872177124,2.874089085298601,12
483,3,0.1,4.107036960514779,,0.40444216132164,0.7459129095077515,1.8841438050489243,12
607,4,0.1,-12.183740340828578,,0.5896764993667603,0.7442581057548523,1.938147618805228,12
731,5,0.1,-18.969061686030443,,0.6177477836608887,0.6332651376724243,3.6822156529453154,12
870,6,0.2,-34.693294949412,,1.1224364042282104,1.1440269947052002,3.108143531669893,12
484,3,0.1,-9.95300009216142,,0.6944494247436523,0.6252085566520691,1.9088875990030325,12
608,4,0.1,5.924945353387931,,1.043694019317627,0.9584447145462036,2.3942786648211225,12
732,5,0.1,-36.76476047112881,,0.8546352982521057,0.87470942735672,3.3760954939709,12
871,6,0.2,0.935435246704639,,1.5531749725341797,1.3437011241912842,2.6134881625913278,12
485,3,0.1,-20.52226204708142,,0.6442472338676453,0.5021933317184448,2.1340453540809614,12
609,4,0.1,-0.0842488264840803,,0.5740414261817932,0.5842419862747192,1.9016852977721763,12
733,5,0.1,-36.53140813846787,,0.8181213140487671,0.9152668714523317,3.25577879659042,12
872,6,0.2,-31.49232593408417,,1.259876728057861,0.9505068063735962,3.602238516594989,12
486,3,0.1,-2.2494890599102795,,0.8218276500701904,0.5467088222503662,2.1945637620579936,12
610,4,0.1,4.907010535399368,,0.5998712778091431,0.6930614709854126,2.6954569751904653,12
734,5,0.1,19.805718872836444,,0.1132426112890243,0.4570943415164947,3.301348321939097,12
873,6,0.2,-50.45518735514644,,0.8758306503295898,0.6923738718032837,3.8260627209935016,12
487,3,0.1,-37.0087735355624,,0.8978737592697144,0.6196311116218567,2.772781558432885,12
611,4,0.1,-3.3189630707114124,,0.0271385833621025,0.461338609457016,2.672441519391795,12
750,5,0.2,-64.8943072100459,,1.1763449907302856,1.0011496543884275,3.0652120242536656,12
874,6,0.2,-3.968806191274376,,1.2328815460205078,1.2375171184539795,3.205982793467751,12
488,3,0.1,25.65230615275553,,0.4405024647712707,0.5607751607894897,2.155340568576906,12
612,4,0.1,2.082313981868797,,0.8378897905349731,0.6714452505111694,3.05561776590251,12
751,5,0.2,-19.136262533696787,,1.3936941623687744,1.151310682296753,2.636096602016695,12
875,6,0.2,-49.26458148457658,,0.7240895628929138,0.9325574636459352,3.876685986380445,12
489,3,0.1,-5.530406551054341,,0.7947908639907837,0.7454293370246887,1.7580851264063106,12
613,4,0.1,-22.6348913684337,,0.318607360124588,0.3547520935535431,3.4770543846535946,12
752,5,0.2,-8.878799685305857,,0.9001165628433228,0.7554038166999817,2.820454221431538,12
876,6,0.2,-71.87814112792898,,0.0874128639698028,0.4951932430267334,4.098421182323625,12
424,3,0.01,-4.175905001060452,,0.4855635464191437,0.4371439814567566,1.6093409465976602,12
548,4,0.01,-37.35838600844277,,0.4268335402011871,0.4622032642364502,3.5682550825639723,12
672,5,0.01,4.810311591502766,,0.3396651744842529,0.4626630842685699,3.448749165300994,12
811,6,0.05,-48.29800862013458,,1.073730230331421,1.2134382724761963,3.2701915920577824,12
490,3,0.1,-20.614923975239662,,0.54996258020401,0.5337618589401245,1.9497024480127751,12
614,4,0.1,-12.13766082906188,,1.0565502643585205,0.971823513507843,3.248220001712224,12
753,5,0.2,-27.36167081917381,,1.2056605815887451,0.9836040735244752,3.776989164017337,12
877,6,0.2,-36.88598049578116,,1.0442864894866943,1.2075985670089722,3.224805773397769,12
491,3,0.1,-13.136520272342572,,0.5752203464508057,0.5215835571289062,2.17698686940473,12
630,4,0.2,-3.558579726048665,,1.2146590948104858,0.9582425951957704,2.2452549446262933,12
754,5,0.2,-4.946768816439207,,1.4432902336120603,1.2810784578323364,3.782092946184632,12
878,6,0.2,-31.98985941612672,,0.6937482953071594,0.8105422854423523,3.039234611375192,12
492,3,0.1,0.3353985029380055,,0.4763098359107971,0.4562470316886902,1.9751951698366643,12
631,4,0.2,9.496456875600702,,1.562588453292847,1.5327646732330322,2.513352667576369,12
