instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent,mu_k,sd_k,mu_f,sd_f,mu_e,sd_e,z_plus,z_frac,z_ent,S_diff,c_off,K_cal,S3,K_gated,S_sel,kappa_only,frac_only,ent_only
338,colosseum,,d2-c1-n0.05-m8,2,0.05,8.0,,13.350834999027844,3000,0.0969630291799983,0.0,6.235693454742432,7,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,6.107825676600139,0.06548721937029274,2.9922416844111144,-0.2356930458971681,-1.952560810671681,3.2279347303082826,17.84854427726374,-19.801105087935422,1.2753739196366016,19.801105087935422,2.9922416844111144,2.9922416844111144,0.2356930458971681,-1.952560810671681
462,colosseum,,d3-c1-n0.05-m12,3,0.05,12.0,,4.789913485957336,3000,0.0901693811126181,0.6625,5.508739471435547,1,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,5.066208426157633,0.13114770066697495,4.335779694717725,-5.336460217633724,-3.3742951117506697,9.672239912351449,-8.572943850824748,5.198648739074079,6.29794480060078,5.198648739074079,4.335779694717725,4.335779694717725,5.336460217633724,-3.3742951117506697
601,colosseum,,d4-c1-n0.1-m1,4,0.1,1.0,,-25.490568830187783,3000,-0.1404695168399607,0.5625,6.686192512512207,1,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,6.558955891927083,0.10374396549364048,-0.4491258822490438,-14.108632705530743,-1.2264484009233603,13.6595068232817,-4.153213011016678,2.926764610093318,12.43305842235834,2.926764610093318,0.0,-0.4491258822490438,14.108632705530743,-1.2264484009233603
725,colosseum,,d5-c1-n0.1-m5,5,0.1,5.0,,-33.13785935137783,3000,-0.5254881161753779,0.6625,7.087654113769531,1,0.15121377023799723,0.061370690979241846,1.0,0.001,7.499305057525635,0.034443214345206905,-11.026466797355504,-337.5,11.951583253245015,326.4735332026445,8.215329936481377,3.736253316763639,338.4251164558895,3.736253316763639,0.0,-11.026466797355504,337.5,11.951583253245015
849,colosseum,,d6-c1-n0.1-m9,6,0.1,9.0,,-69.16244751925056,3000,-0.2001432242944074,1.0,7.120942115783691,1,0.2241901802541967,0.07050366417352924,1.0,0.001,7.769206523895264,0.018084087986785728,-6.018600728384853,0.0,35.84722705315674,-6.018600728384853,27.691041503086346,8.156185550070397,29.82862632477189,-8.156185550070397,0.0,-6.018600728384853,-0.0,35.84722705315674
30,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.1149617102747919,0.0,5.826014995574951,6,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,5.660355265935262,0.08926540042406504,-3.8558961409124337,-0.2521834475695623,-1.8558111973139004,-3.6037126933428714,-1.2713470918351053,-0.5844641054787951,-5.459523890656772,-0.5844641054787951,0.0,-3.8558961409124337,0.2521834475695623,-1.8558111973139004
94,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2032643938665271,0.0,4.948184013366699,1,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.097828801472982,0.12915953654581017,5.431289471710035,-97.82761198489241,1.1586042510551045,103.25890145660244,-1.3577360417348654,2.5163402927899696,104.41750570765755,2.5163402927899696,5.431289471710035,5.431289471710035,97.82761198489241,1.1586042510551045
158,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.0970186535302135,0.95,6.535420894622803,1,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,6.539523998896281,0.08017770116711977,-0.08300846101616782,-1.7888767676115829,0.05117512991456453,1.705868306595415,3.4214661598231677,-3.370291029908603,1.7570434365099796,3.370291029908603,0.0,-0.08300846101616782,1.7888767676115829,0.05117512991456453
222,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.3474006764656911,1.0,7.308065891265869,1,0.2888645288180819,0.036398824889933575,1.0,0.001,7.24161589940389,0.030860609135372682,1.6081878419046964,0.0,-2.1532300795000583,1.6081878419046964,0.44206639580325935,-2.595296475303318,-0.5450422375953619,2.595296475303318,1.6081878419046964,1.6081878419046964,-0.0,-2.1532300795000583
286,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.4828049922933345,0.0,6.93026876449585,1,0.4403097779431379,0.03220084053120525,1.0,0.001,7.411487770080567,0.017972432815363915,1.3196927051955447,-1000.0,26.7753959927641,1001.3196927051955,-3.4741812645000856,30.249577257264185,1028.0950886979597,30.249577257264185,1.3196927051955447,1.3196927051955447,1000.0,26.7753959927641
395,colosseum,,d2-c1-n0.2-m5,2,0.2,5.0,,-9.597076646976651,3000,0.0785688350151423,0.1375,4.884884834289551,1,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,6.107825676600139,0.06548721937029274,2.377294111154629,1.6161808861520097,18.67449639899287,0.7611132250026194,17.84854427726374,0.8259521217291272,19.43560962399549,0.8259521217291272,2.377294111154629,2.377294111154629,-1.6161808861520097,18.67449639899287
519,colosseum,,d3-c1-n0.2-m9,3,0.2,9.0,,2.771940661275317,3000,-0.0583599730085325,0.0625,5.787661552429199,1,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,5.066208426157633,0.13114770066697495,1.4551611465092482,-16.944470358710106,-5.501073389792484,18.399631505219354,-8.572943850824748,3.0718704610322636,12.89855811542687,3.0718704610322636,1.4551611465092482,1.4551611465092482,16.944470358710106,-5.501073389792484
643,colosseum,,d4-c1-n0.2-m13,4,0.2,13.0,,6.224275918490596,3000,0.0635084770362574,0.025,6.433912754058838,1,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,6.558955891927083,0.10374396549364048,1.4922062688538387,-32.21822095442095,1.2053051690597913,33.71042722327479,-4.153213011016678,5.358518180076469,34.91573239233458,5.358518180076469,1.4922062688538387,1.4922062688538387,32.21822095442095,1.2053051690597913
782,colosseum,,d6-c1-n0.01-m2,6,0.01,2.0,,-86.42381835431243,3000,-0.4368963877613756,1.0,7.242928981781006,1,0.2241901802541967,0.07050366417352924,1.0,0.001,7.769206523895264,0.018084087986785728,-9.37662709825199,0.0,29.101691083278045,-9.37662709825199,27.691041503086346,1.4106495801916985,19.725063985026054,-1.4106495801916985,0.0,-9.37662709825199,-0.0,29.101691083278045
