instance,err,name,dim,noise,m,ks_true,frac_t8_origin,frac_t8_mean,frac_t16_origin,frac_t16_mean
816,,d6-c1-n0.05-m6,6,0.05,6,20.366556504039107,-0.0625,-0.05,-0.375,-0.5125
818,,d6-c1-n0.05-m8,6,0.05,8,-41.17873865452874,-1.0,-1.0,-1.0,-1.0
820,,d6-c1-n0.05-m10,6,0.05,10,-44.84909729317228,-1.0,-0.95,-1.0,-1.0
822,,d6-c1-n0.05-m12,6,0.05,12,-7.917380679276863,-0.3125,-0.2375,-1.0,-1.0
824,,d6-c1-n0.05-m14,6,0.05,14,-23.73030057471971,-0.4375,-0.6,-1.0,-1.0
841,,d6-c1-n0.1-m1,6,0.1,1,-28.27057085781108,-0.0,-0.0,-1.0,-1.0
843,,d6-c1-n0.1-m3,6,0.1,3,-67.23454284811166,-1.0,-1.0,-1.0,-1.0
845,,d6-c1-n0.1-m5,6,0.1,5,-16.385632508942592,-1.0,-0.8,-1.0,-1.0
847,,d6-c1-n0.1-m7,6,0.1,7,-52.04537163029244,-0.25,-0.15,-1.0,-1.0
849,,d6-c1-n0.1-m9,6,0.1,9,-69.16244751925056,-0.0,-0.0,-1.0,-1.0
851,,d6-c1-n0.1-m11,6,0.1,11,-9.528899156859143,-0.0,-0.0625,-0.0,-0.0625
853,,d6-c1-n0.1-m13,6,0.1,13,-28.91830997833552,-1.0,-1.0,-1.0,-1.0
870,,d6-c1-n0.2-m0,6,0.2,0,-34.693294949412,-1.0,-1.0,-1.0,-1.0
872,,d6-c1-n0.2-m2,6,0.2,2,-31.49232593408417,-1.0,-1.0,-1.0,-1.0
874,,d6-c1-n0.2-m4,6,0.2,4,-3.968806191274376,-0.0,-0.075,-1.0,-0.8
876,,d6-c1-n0.2-m6,6,0.2,6,-71.87814112792898,-0.0625,-0.0375,-1.0,-1.0
878,,d6-c1-n0.2-m8,6,0.2,8,-31.98985941612672,-0.3125,-0.2625,-1.0,-1.0
880,,d6-c1-n0.2-m10,6,0.2,10,76.14894406390464,-0.0,-0.0,-0.0,-0.0
882,,d6-c1-n0.2-m12,6,0.2,12,-34.46401744692712,-0.375,-0.325,-1.0,-1.0
884,,d6-c1-n0.2-m14,6,0.2,14,-48.22651622007661,-0.5,-0.5375,-1.0,-1.0
300,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132,-0.0,-0.0,-0.0,-0.0
302,,d2-c1-n0.01-m2,2,0.01,2,2.435305785100224,-0.0,-0.0125,-0.0,-0.0125
304,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983,-0.0,-0.0,-0.0,-0.0
306,,d2-c1-n0.01-m6,2,0.01,6,-8.964351133510938,-0.0,-0.0,-0.0,-0.0
308,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685,-0.0,-0.0,-0.0,-0.0125
310,,d2-c1-n0.01-m10,2,0.01,10,-13.010242390174652,-0.0,-0.0,-0.0,-0.0
312,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698,-0.0,-0.0,-0.0,-0.0
314,,d2-c1-n0.01-m14,2,0.01,14,-2.853722380261491,-0.0,-0.0,-0.0,-0.0
331,,d2-c1-n0.05-m1,2,0.05,1,0.7737598105819261,-0.0,-0.0,-0.0,-0.0
333,,d2-c1-n0.05-m3,2,0.05,3,-0.0201398711714281,-0.0,-0.0,-0.0,-0.0
335,,d2-c1-n0.05-m5,2,0.05,5,-6.985728960248757,-0.0,-0.0,-0.0,-0.0
337,,d2-c1-n0.05-m7,2,0.05,7,0.013149415250463,-0.0,-0.0,-0.0,-0.0
339,,d2-c1-n0.05-m9,2,0.05,9,-11.98291658411206,-0.0,-0.0,-0.0,-0.0
341,,d2-c1-n0.05-m11,2,0.05,11,-1.8164727412950512,-0.0,-0.0,-0.0,-0.0
343,,d2-c1-n0.05-m13,2,0.05,13,-4.378023159484492,-0.0,-0.0,-0.0,-0.0
360,,d2-c1-n0.1-m0,2,0.1,0,-0.2773082867850632,-0.0,-0.0,-0.0,-0.0
362,,d2-c1-n0.1-m2,2,0.1,2,-12.086218290266444,-0.0,-0.0,-0.0,-0.0
364,,d2-c1-n0.1-m4,2,0.1,4,-1.095170415248552,-0.0,-0.0,-0.0,-0.0125
366,,d2-c1-n0.1-m6,2,0.1,6,-3.606518083255943,-0.0,-0.0,-0.0,-0.0
368,,d2-c1-n0.1-m8,2,0.1,8,-4.380389712820355,-0.0,-0.0,-0.1875,-0.0375
370,,d2-c1-n0.1-m10,2,0.1,10,-7.72404280863429,-0.0,-0.0,-0.0625,-0.025
372,,d2-c1-n0.1-m12,2,0.1,12,-0.6620962286516345,-0.0,-0.0,-0.0,-0.0
374,,d2-c1-n0.1-m14,2,0.1,14,-7.89412429083137,-0.0,-0.0,-0.0625,-0.1
391,,d2-c1-n0.2-m1,2,0.2,1,-11.10729981739082,-0.0,-0.0,-0.125,-0.1125
393,,d2-c1-n0.2-m3,2,0.2,3,-10.420195506771478,-0.0,-0.0125,-0.0625,-0.1125
395,,d2-c1-n0.2-m5,2,0.2,5,-9.597076646976651,-0.0625,-0.05,-0.125,-0.1375
397,,d2-c1-n0.2-m7,2,0.2,7,-7.068274592865281,-0.0,-0.025,-0.375,-0.3125
399,,d2-c1-n0.2-m9,2,0.2,9,0.678826668015989,-0.0,-0.0,-0.0,-0.0
401,,d2-c1-n0.2-m11,2,0.2,11,-23.39944863774402,-0.0,-0.0,-0.0,-0.025
403,,d2-c1-n0.2-m13,2,0.2,13,-0.7938535783685272,-0.0,-0.0625,-0.3125,-0.325
420,,d3-c1-n0.01-m0,3,0.01,0,1.2257813837761642,-0.0,-0.0,-0.0,-0.025
422,,d3-c1-n0.01-m2,3,0.01,2,-10.734204673555151,-0.0,-0.075,-0.0625,-0.2
424,,d3-c1-n0.01-m4,3,0.01,4,-4.175905001060452,-0.0,-0.0625,-0.5625,-0.5375
426,,d3-c1-n0.01-m6,3,0.01,6,-3.8235642778157457,-0.0,-0.0125,-0.5625,-0.5625
428,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453,-0.6875,-0.4375,-0.875,-0.8625
430,,d3-c1-n0.01-m10,3,0.01,10,-16.842236690951605,-0.3125,-0.2,-0.25,-0.2
432,,d3-c1-n0.01-m12,3,0.01,12,-15.026763600360248,-0.5625,-0.55,-0.875,-0.825
434,,d3-c1-n0.01-m14,3,0.01,14,1.6301777294930675,-0.0,-0.0,-0.0,-0.0625
451,,d3-c1-n0.05-m1,3,0.05,1,-12.659383196182684,-0.625,-0.55,-0.875,-0.725
453,,d3-c1-n0.05-m3,3,0.05,3,16.800746756883633,-0.0625,-0.0875,-0.0625,-0.05
455,,d3-c1-n0.05-m5,3,0.05,5,0.1038120113334293,-0.125,-0.1125,-0.5625,-0.4625
457,,d3-c1-n0.05-m7,3,0.05,7,-16.176625387033255,-0.1875,-0.325,-0.5625,-0.6375
459,,d3-c1-n0.05-m9,3,0.05,9,3.218057928153633,-0.0,-0.0125,-0.0625,-0.05
461,,d3-c1-n0.05-m11,3,0.05,11,21.368395828400903,-0.0,-0.0,-0.0,-0.025
463,,d3-c1-n0.05-m13,3,0.05,13,1.5260272664429309,-0.375,-0.3,-0.375,-0.2875
480,,d3-c1-n0.1-m0,3,0.1,0,10.984687542340705,-0.125,-0.0625,-0.3125,-0.275
482,,d3-c1-n0.1-m2,3,0.1,2,-3.557038532205605,-0.0,-0.025,-0.0,-0.05
484,,d3-c1-n0.1-m4,3,0.1,4,-9.95300009216142,-0.8125,-0.525,-0.875,-0.725
486,,d3-c1-n0.1-m6,3,0.1,6,-2.2494890599102795,-0.0,-0.0,-0.0,-0.025
488,,d3-c1-n0.1-m8,3,0.1,8,25.65230615275553,-0.0,-0.0125,-0.0,-0.0
490,,d3-c1-n0.1-m10,3,0.1,10,-20.614923975239662,-0.4375,-0.375,-0.5625,-0.6125
492,,d3-c1-n0.1-m12,3,0.1,12,0.3353985029380055,-0.3125,-0.1875,-0.375,-0.2875
494,,d3-c1-n0.1-m14,3,0.1,14,-1.6689192913019415,-0.125,-0.1,-0.375,-0.3375
511,,d3-c1-n0.2-m1,3,0.2,1,-3.66641372894382,-0.1875,-0.15,-0.125,-0.15
513,,d3-c1-n0.2-m3,3,0.2,3,-4.361976627914746,-0.5,-0.4375,-0.875,-0.8875
515,,d3-c1-n0.2-m5,3,0.2,5,0.0089580823909294,-0.0,-0.0125,-0.375,-0.2
517,,d3-c1-n0.2-m7,3,0.2,7,-2.043394187053898,-0.0625,-0.05,-0.3125,-0.2375
519,,d3-c1-n0.2-m9,3,0.2,9,2.771940661275317,-0.0,-0.0875,-0.0,-0.0625
521,,d3-c1-n0.2-m11,3,0.2,11,-2.5949241501049283,-0.0,-0.0,-0.0,-0.0125
523,,d3-c1-n0.2-m13,3,0.2,13,-9.60260942351796,-0.0,-0.0,-0.0625,-0.075
540,,d4-c1-n0.01-m0,4,0.01,0,0.8640063178340975,-0.125,-0.0625,-0.3125,-0.275
542,,d4-c1-n0.01-m2,4,0.01,2,22.442617233270976,-0.0,-0.0,-0.0,-0.0
544,,d4-c1-n0.01-m4,4,0.01,4,-16.875471101588957,-0.0625,-0.05,-0.375,-0.35
546,,d4-c1-n0.01-m6,4,0.01,6,-35.825477386408664,-0.0,-0.0,-0.1875,-0.175
548,,d4-c1-n0.01-m8,4,0.01,8,-37.35838600844277,-0.0625,-0.0625,-0.0625,-0.075
550,,d4-c1-n0.01-m10,4,0.01,10,78.43052538097425,-0.0,-0.0,-0.0,-0.0
552,,d4-c1-n0.01-m12,4,0.01,12,-11.163127979587726,-0.0625,-0.05,-0.1875,-0.15
554,,d4-c1-n0.01-m14,4,0.01,14,-4.503402761482203,-0.125,-0.1875,-0.3125,-0.3
571,,d4-c1-n0.05-m1,4,0.05,1,-39.90075492062513,-0.0,-0.0125,-0.5,-0.4625
573,,d4-c1-n0.05-m3,4,0.05,3,-30.16895284318092,-0.1875,-0.225,-0.5,-0.5
575,,d4-c1-n0.05-m5,4,0.05,5,-31.28121797229592,-0.4375,-0.225,-0.6875,-0.55
