instance,n_traj,err,dim,noise,ks_true,coverage,frac_emp,ent_emp_t2,ent_emp_t4,ent_emp_t8,kappa_surp,frac_fb,ent_fb
674,100,,5,0.01,-25.2216018569094,0.734,0.5,2.580812454223633,3.86417555809021,5.189701557159424,-0.001884468781032,0.2937499999999999,6.112708806991577
728,100,,5,0.1,-86.78332400296945,0.733,0.3333333333333333,2.594207763671875,3.788646697998047,4.905259132385254,-0.039144623190149,0.5729166666666666,6.040704250335693
782,100,,6,0.01,-86.42381835431243,0.736,0.2727272727272727,3.066567897796631,4.395804405212402,5.363444805145264,0.0975288154878679,0.8020833333333333,6.057826995849609
821,100,,6,0.05,-58.89777561628494,0.752,0.2272727272727272,2.3670530319213867,3.556270837783813,4.803264617919922,-0.0494281554864117,0.49609375,5.987472653388977
875,100,,6,0.2,-49.26458148457658,0.749,0.2727272727272727,2.039977788925171,3.48327898979187,5.006428241729736,-0.1251635296161643,0.0,6.076047420501709
421,50,,3,0.01,-7.415704083686769,0.456,0.25,1.1866165399551392,2.278798818588257,3.514022827148437,-0.4501379108169304,0.5625,5.653514385223389
460,50,,3,0.05,-13.787515224982826,0.453,0.0,1.427375555038452,2.3384180068969727,3.450784206390381,-0.0593100848511608,0.046875,5.534143447875977
514,50,,3,0.2,-14.544124599425984,0.485,0.0,1.1645290851593018,1.855367660522461,2.8143153190612797,-0.0189353817042107,0.0572916666666666,5.54047954082489
553,50,,4,0.01,-14.479569337189464,0.463,0.2,1.2023011445999146,1.7629066705703735,2.397304058074951,-0.1854308739095479,0.0234375,5.392634749412537
607,50,,4,0.1,-12.183740340828578,0.48,0.3636363636363636,1.6870479583740234,2.545007705688477,3.461315155029297,-0.5108798652985448,0.5677083333333333,5.519289255142212
661,50,,5,0.01,2.5245450099361197,0.466,0.3333333333333333,1.6618379354476929,2.5448930263519287,3.508803129196167,-0.1061530725081706,0.0416666666666666,5.605538010597229
700,50,,5,0.05,-62.894655678803616,0.487,0.0,1.3561716079711914,2.1919105052948,3.0316872596740723,0.0161883251481653,0.6171875,5.54106080532074
