instance,n_traj,method,score_origin,score_mean,coverage,err,name,dim,noise,m,ks_true
394,500,shortcut_odd_q60,1375.6882461246164,1634.9978371546244,0.999,,d2-c1-n0.2-m4,2,0.2,4,-2.1599274912864
396,500,shortcut_odd_q60,1045.4858259382022,1274.5546827820594,0.996,,d2-c1-n0.2-m6,2,0.2,6,-19.90966868373765
398,500,shortcut_odd_q60,1137.8605133416029,1374.6217538964931,0.995,,d2-c1-n0.2-m8,2,0.2,8,-3.912962490843667
400,500,shortcut_odd_q60,1604.254377957037,1579.138714373606,0.995,,d2-c1-n0.2-m10,2,0.2,10,4.735398380876656
402,500,shortcut_odd_q60,1537.1925994817698,1564.6202953740517,0.998,,d2-c1-n0.2-m12,2,0.2,12,5.287646988969231
404,500,shortcut_odd_q60,1014.2222281628837,1439.75818711477,0.996,,d2-c1-n0.2-m14,2,0.2,14,2.4139725477943967
421,500,shortcut_odd_q60,899.5254448173002,841.1624713018031,0.996,,d3-c1-n0.01-m1,3,0.01,1,-7.415704083686769
423,500,shortcut_odd_q60,1135.6054566934704,1229.8053855576536,0.997,,d3-c1-n0.01-m3,3,0.01,3,-4.375614595954051
425,500,shortcut_odd_q60,1039.9412097195327,1247.244998013157,0.994,,d3-c1-n0.01-m5,3,0.01,5,-6.077102370699984
427,500,shortcut_odd_q60,997.1315369907136,932.471922846658,0.998,,d3-c1-n0.01-m7,3,0.01,7,-41.3525179488977
429,500,shortcut_odd_q60,756.8444330853865,702.9725859788115,0.999,,d3-c1-n0.01-m9,3,0.01,9,-16.296502183721266
431,500,shortcut_odd_q60,1107.3598485482253,1094.3389822665863,0.994,,d3-c1-n0.01-m11,3,0.01,11,14.164580864957042
433,500,shortcut_odd_q60,877.1830333324303,830.0910359248717,0.996,,d3-c1-n0.01-m13,3,0.01,13,0.380085965305853
450,500,shortcut_odd_q60,770.2112815152542,668.9905646354721,0.998,,d3-c1-n0.05-m0,3,0.05,0,-24.89523765054504
452,500,shortcut_odd_q60,925.1867823037288,1205.2078114499525,0.998,,d3-c1-n0.05-m2,3,0.05,2,-8.503913817275507
454,500,shortcut_odd_q60,906.5249187829404,844.7025139712663,0.998,,d3-c1-n0.05-m4,3,0.05,4,-4.99685320061184
456,500,shortcut_odd_q60,873.8983847319995,790.9280364366327,0.997,,d3-c1-n0.05-m6,3,0.05,6,-10.086395056679647
458,500,shortcut_odd_q60,871.0384144718748,827.9051928443292,0.997,,d3-c1-n0.05-m8,3,0.05,8,0.4466454396956449
460,500,shortcut_odd_q60,828.6106078465286,1102.369646325516,0.995,,d3-c1-n0.05-m10,3,0.05,10,-13.787515224982826
462,500,shortcut_odd_q60,867.124403977423,1194.3590767006076,0.996,,d3-c1-n0.05-m12,3,0.05,12,4.789913485957336
464,500,shortcut_odd_q60,946.664914431214,1068.550713358843,0.996,,d3-c1-n0.05-m14,3,0.05,14,-21.079559573576592
481,500,shortcut_odd_q60,904.7488764070832,836.7755288488331,0.997,,d3-c1-n0.1-m1,3,0.1,1,-5.728772538116581
483,500,shortcut_odd_q60,966.6057796459664,861.7642176665516,0.996,,d3-c1-n0.1-m3,3,0.1,3,4.107036960514779
485,500,shortcut_odd_q60,926.6570076285868,795.0469473136318,0.996,,d3-c1-n0.1-m5,3,0.1,5,-20.52226204708142
487,500,shortcut_odd_q60,776.551467926758,696.9879737271394,0.997,,d3-c1-n0.1-m7,3,0.1,7,-37.0087735355624
489,500,shortcut_odd_q60,1033.7083197781465,897.649652031716,0.997,,d3-c1-n0.1-m9,3,0.1,9,-5.530406551054341
491,500,shortcut_odd_q60,818.1133184415987,742.3315782681863,0.998,,d3-c1-n0.1-m11,3,0.1,11,-13.136520272342572
493,500,shortcut_odd_q60,872.8645132958358,757.1569348372416,0.997,,d3-c1-n0.1-m13,3,0.1,13,33.209975825617065
510,500,shortcut_odd_q60,992.5073877242974,986.6706664365668,0.996,,d3-c1-n0.2-m0,3,0.2,0,9.530164910380307
512,500,shortcut_odd_q60,943.7111576379932,841.8727131940338,0.995,,d3-c1-n0.2-m2,3,0.2,2,-7.144697080372662
514,500,shortcut_odd_q60,811.1013982101227,742.2011795527427,0.995,,d3-c1-n0.2-m4,3,0.2,4,-14.544124599425984
516,500,shortcut_odd_q60,773.3498471295736,653.0861593727358,0.997,,d3-c1-n0.2-m6,3,0.2,6,-35.603562663735204
518,500,shortcut_odd_q60,909.2600711015746,802.2962393511551,0.998,,d3-c1-n0.2-m8,3,0.2,8,6.008144855297212
520,500,shortcut_odd_q60,891.4331979028033,845.2950440743518,0.996,,d3-c1-n0.2-m10,3,0.2,10,2.0196605728685517
522,500,shortcut_odd_q60,738.89446873039,698.722960632067,0.995,,d3-c1-n0.2-m12,3,0.2,12,-18.867196080469053
524,500,shortcut_odd_q60,827.6848983831776,789.3970592418234,0.996,,d3-c1-n0.2-m14,3,0.2,14,-10.794922538515332
541,500,shortcut_odd_q60,852.7944544805127,686.8149958993173,0.998,,d4-c1-n0.01-m1,4,0.01,1,-0.036623222623584
543,500,shortcut_odd_q60,668.7427119152933,651.1228851927136,0.998,,d4-c1-n0.01-m3,4,0.01,3,5.992532678039441
545,500,shortcut_odd_q60,787.2393955248647,634.8031424518306,0.998,,d4-c1-n0.01-m5,4,0.01,5,-25.421391317475663
547,500,shortcut_odd_q60,828.5091294757497,656.3413282170177,0.999,,d4-c1-n0.01-m7,4,0.01,7,-29.76605096445724
549,500,shortcut_odd_q60,692.9850577529389,641.9653090458795,0.996,,d4-c1-n0.01-m9,4,0.01,9,-11.171970873719408
551,500,shortcut_odd_q60,1048.1207572741523,732.8612996847771,0.997,,d4-c1-n0.01-m11,4,0.01,11,-12.598162870506057
553,500,shortcut_odd_q60,785.878759940909,649.9092975030851,0.997,,d4-c1-n0.01-m13,4,0.01,13,-14.479569337189464
570,500,shortcut_odd_q60,845.7685921291145,766.03733341424,0.997,,d4-c1-n0.05-m0,4,0.05,0,-1.0376935627011612
572,500,shortcut_odd_q60,810.7333538663236,691.0971512904681,0.998,,d4-c1-n0.05-m2,4,0.05,2,-16.09270414189458
574,500,shortcut_odd_q60,693.7587395262937,660.7759670975005,0.998,,d4-c1-n0.05-m4,4,0.05,4,-17.091759926410464
576,500,shortcut_odd_q60,746.4669337664747,688.9240644043493,0.996,,d4-c1-n0.05-m6,4,0.05,6,1.5495180423592505
578,500,shortcut_odd_q60,906.4694456131616,688.9838988208965,0.996,,d4-c1-n0.05-m8,4,0.05,8,-22.05882557409797
580,500,shortcut_odd_q60,845.1633572173956,744.6740096978772,0.999,,d4-c1-n0.05-m10,4,0.05,10,1.430710029764047
582,500,shortcut_odd_q60,768.0487739908493,644.6779820219386,0.994,,d4-c1-n0.05-m12,4,0.05,12,-20.161306901824567
584,500,shortcut_odd_q60,832.6018462969903,737.1183413813906,0.998,,d4-c1-n0.05-m14,4,0.05,14,-18.85016105524571
601,500,shortcut_odd_q60,839.5878377480294,682.5631300725798,0.998,,d4-c1-n0.1-m1,4,0.1,1,-25.490568830187783
603,500,shortcut_odd_q60,729.8728158960574,679.5979765974239,0.997,,d4-c1-n0.1-m3,4,0.1,3,-9.190322083736802
605,500,shortcut_odd_q60,894.5474558546013,819.2392128098278,0.997,,d4-c1-n0.1-m5,4,0.1,5,-15.198491523550626
607,500,shortcut_odd_q60,700.0492339641266,719.0220009808296,0.995,,d4-c1-n0.1-m7,4,0.1,7,-12.183740340828578
609,500,shortcut_odd_q60,1097.055606378253,799.824604742329,0.998,,d4-c1-n0.1-m9,4,0.1,9,-0.0842488264840803
611,500,shortcut_odd_q60,804.6727339067805,680.6196305661485,0.997,,d4-c1-n0.1-m11,4,0.1,11,-3.3189630707114124
613,500,shortcut_odd_q60,899.5580303250031,675.7610633130762,0.998,,d4-c1-n0.1-m13,4,0.1,13,-22.6348913684337
630,500,shortcut_odd_q60,721.2481515164413,686.8397084765301,0.998,,d4-c1-n0.2-m0,4,0.2,0,-3.558579726048665
632,500,shortcut_odd_q60,972.0976276909056,789.4699283967312,0.998,,d4-c1-n0.2-m2,4,0.2,2,-24.04856054825175
634,500,shortcut_odd_q60,993.418933054444,887.9926822062707,0.996,,d4-c1-n0.2-m4,4,0.2,4,-5.665571274105821
636,500,shortcut_odd_q60,761.9419474332731,695.5638958481103,0.997,,d4-c1-n0.2-m6,4,0.2,6,-29.21622157395343
638,500,shortcut_odd_q60,765.4495087148432,636.3416103435512,0.998,,d4-c1-n0.2-m8,4,0.2,8,-22.997619759109075
