dim,dataset,t,ks_true,orc,orc_std,orc_phys,midpoint,midpoint_std,spread,elapsed_s
3,plane,8,0.0,-0.0025491820289833267,0.0,-0.0026488957333373293,-1.084229025194321,0.0,0.9809977068395469,1.79
3,plane,16,0.0,-0.011344512257940184,0.0,-0.008910592108114526,-0.5550412349983441,0.0,1.1283390858728368,1.59
3,plane,32,0.0,0.0926695901568047,0.0,0.06872886586465207,-0.1914276435123185,0.0,1.161178624223386,1.86
3,sphere_r1.0,2,6.0,0.10618109148030673,0.020379447071926123,0.2272360803656105,-1.074754501170349,0.24054825287194134,0.6863449218538797,2.55
3,sphere_r1.0,4,6.0,0.1738682068445451,0.026684003874699425,0.1922236971194555,-2.6757736406098367,0.21646503038966186,0.9504869759713656,2.74
3,sphere_r1.0,8,6.0,0.2279246082194701,0.026066756518076228,0.14182536152748754,-1.8351336319683953,0.05917878979253016,1.266645759850832,2.98
3,sphere_r1.0,16,6.0,0.26347249078488666,0.014011572306637323,0.10596149108162188,-0.3695859460811096,0.10242010569057529,1.5768928511230518,3.2
3,sphere_r1.0,32,6.0,0.3326285874396272,0.01811150970917127,0.10740194852759753,-0.016116048029829366,0.004274389007212061,1.7602136978476368,3.35
3,sphere_r1.5,2,2.6666666666666665,0.16311159337691616,0.021838956375253894,0.14230808033408887,-0.738717150886367,0.12367084455042954,1.070309640389207,2.72
3,sphere_r1.5,4,2.6666666666666665,0.18682895345876044,0.011096249113298342,0.08816803111265478,-1.304464509716908,0.224197229015633,1.4575735892974246,2.88
3,sphere_r1.5,8,2.6666666666666665,0.22833440887290207,0.021596023529523257,0.06114923765522445,-0.7089124610527991,0.1332701123043057,1.9298527116411277,2.94
3,sphere_r1.5,16,2.6666666666666665,0.24213106595935124,0.023477115707606213,0.042346486950146256,-0.14717083811903653,0.004571027807436221,2.38899903041661,3.45
3,sphere_r1.5,32,2.6666666666666665,0.2779406721650408,0.07302849185986779,0.039665074666861616,-0.003257888175824303,0.0009850690850941757,2.6463226692123287,3.32
3,sphere_r2.0,2,1.5,0.1487483985050438,0.04198269468054213,0.07243543589870992,-0.4943328095771005,0.11985623014085453,1.419780797824413,2.69
3,sphere_r2.0,4,1.5,0.18270517537649222,0.041171251139556726,0.047902174291541665,-0.7197275047216786,0.06943797884004566,1.944151295786459,3.02
3,sphere_r2.0,8,1.5,0.2264210477428559,0.022917171200100325,0.03404836296779124,-0.3686618356363791,0.0558094209974462,2.5765787605713544,3.14
3,sphere_r2.0,16,1.5,0.22954192087506303,0.022581344729241202,0.022633235888765774,-0.061050531030832064,0.013067394326760429,3.1840594703029463,3.3
3,sphere_r2.0,32,1.5,0.3249189588671331,0.07694083849261894,0.026296647133119903,-0.00266092289561316,0.0015533040882955444,3.516359777941017,3.1
3,saddle,2,-8.0,-0.13833632489439543,0.0,-0.33624235345271286,-2.587682288689571,0.0,0.6414191302074096,1.39
3,saddle,4,-8.0,-0.1619048666623638,0.0,-0.19779343253955506,-1.1547205960833076,0.0,0.9047404716222134,1.63
3,saddle,8,-8.0,-0.011392752217409846,0.0,-0.008121217865708345,-0.5561697633712113,0.0,1.18441458119711,2.15
3,saddle,16,-8.0,-0.2557215095160254,0.0,-0.1391744285906063,-0.23635010193036765,0.0,1.3555136842482853,1.5
3,saddle,32,-8.0,0.14381045589718133,0.0,0.07172038641535047,-0.14902804312249762,0.0,1.4160347822941246,1.64
