instance,point,kind,dim,noise,seed,ks_true,sent
99,764,hyperbolic,3,0.0,0,-38.351464564518295,7.111748938473169
99,460,hyperbolic,3,0.0,0,-38.351464564518295,7.076315088835292
99,403,hyperbolic,3,0.0,0,-38.351464564518295,7.067289028008377
99,61,hyperbolic,3,0.0,0,-38.351464564518295,7.064563276891359
99,951,hyperbolic,3,0.0,0,-38.351464564518295,7.082508173382807
100,1269,hyperbolic,3,0.05,0,-38.351464564518295,7.047915207675175
100,112,hyperbolic,3,0.05,0,-38.351464564518295,7.084666119047256
100,24,hyperbolic,3,0.05,0,-38.351464564518295,7.062010025180351
100,764,hyperbolic,3,0.05,0,-38.351464564518295,7.110804135613963
100,460,hyperbolic,3,0.05,0,-38.351464564518295,7.0787011972847
100,403,hyperbolic,3,0.05,0,-38.351464564518295,7.06834679008417
100,61,hyperbolic,3,0.05,0,-38.351464564518295,7.063926284466728
100,951,hyperbolic,3,0.05,0,-38.351464564518295,7.07856252912087
101,1269,hyperbolic,3,0.15,0,-38.351464564518295,7.067331939040316
101,112,hyperbolic,3,0.15,0,-38.351464564518295,7.098166105703791
101,24,hyperbolic,3,0.15,0,-38.351464564518295,7.082123000608751
101,764,hyperbolic,3,0.15,0,-38.351464564518295,7.12112617000806
101,460,hyperbolic,3,0.15,0,-38.351464564518295,7.0924355163211885
101,403,hyperbolic,3,0.15,0,-38.351464564518295,7.082766950483345
101,61,hyperbolic,3,0.15,0,-38.351464564518295,7.078447116849585
101,951,hyperbolic,3,0.15,0,-38.351464564518295,7.089187273639197
102,1421,hyperbolic,3,0.0,1,-38.45949795039933,7.094934032414008
102,706,hyperbolic,3,0.0,1,-38.45949795039933,7.051092179660768
102,52,hyperbolic,3,0.0,1,-38.45949795039933,7.058875106238288
102,1422,hyperbolic,3,0.0,1,-38.45949795039933,7.01423633146385
102,1233,hyperbolic,3,0.0,1,-38.45949795039933,7.044635725726884
102,215,hyperbolic,3,0.0,1,-38.45949795039933,7.069758691957571
102,1128,hyperbolic,3,0.0,1,-38.45949795039933,7.043548392108271
102,764,hyperbolic,3,0.0,1,-38.45949795039933,7.017308945523014
103,1421,hyperbolic,3,0.05,1,-38.45949795039933,7.09566475505604
103,706,hyperbolic,3,0.05,1,-38.45949795039933,7.049810502145013
103,52,hyperbolic,3,0.05,1,-38.45949795039933,7.055945253807492
103,1422,hyperbolic,3,0.05,1,-38.45949795039933,7.018228163133672
103,1233,hyperbolic,3,0.05,1,-38.45949795039933,7.046889594519492
103,215,hyperbolic,3,0.05,1,-38.45949795039933,7.072304166753665
103,1128,hyperbolic,3,0.05,1,-38.45949795039933,7.045880784315851
103,764,hyperbolic,3,0.05,1,-38.45949795039933,7.018208764474014
104,1421,hyperbolic,3,0.15,1,-38.45949795039933,7.105602358412206
104,706,hyperbolic,3,0.15,1,-38.45949795039933,7.057861485186967
104,52,hyperbolic,3,0.15,1,-38.45949795039933,7.069957472050001
104,1422,hyperbolic,3,0.15,1,-38.45949795039933,7.04266313920335
104,1233,hyperbolic,3,0.15,1,-38.45949795039933,7.06433709829796
104,215,hyperbolic,3,0.15,1,-38.45949795039933,7.080058078388686
104,1128,hyperbolic,3,0.15,1,-38.45949795039933,7.062932590518109
104,764,hyperbolic,3,0.15,1,-38.45949795039933,7.036945280085138
105,137,hyperbolic,3,0.0,2,-38.95201207125968,7.035104109108957
105,390,hyperbolic,3,0.0,2,-38.95201207125968,7.063944216525183
