dim,branch,estimator,n,r_integ,sign_integ,r_v4_m60,sign_v4_m60,r_ent_cak,sign_ent_cak,r_sent,sign_sent
3,D,plain,48,-0.025482342360190747,0.5125,0.18889730883358033,0.5,0.12406429712703511,0.5875,0.00017842651281117655,0.525
4,A,oracle,48,0.9084400861865098,1.0,0.9722906532661354,0.9166666666666667,0.59094180499356,0.5,0.5211088331186178,0.5
4,B,diffdist_t4,48,-0.4966405005034719,0.2857142857142857,0.6377496277614682,0.5476190476190477,-0.7267456216931496,0.5,0.7978667480233057,0.8333333333333333
4,B,diffdist_t8,48,-0.6144719776424704,0.35714285714285715,0.04048173689854809,0.5,-0.8170654287605956,0.20238095238095238,-0.23936053713264144,0.5
4,B,fb_potential,48,-0.042887535405764496,0.34523809523809523,-0.02285801737482527,0.40476190476190477,0.08382683518008581,0.4285714285714286,0.23975057073957237,0.5
4,B,heatgeo_4t,48,0.39604146016299524,0.5,0.10836947749335633,0.5,-0.6167259101412986,0.5,0.4618754504319899,0.7976190476190477
4,B,heatgeo_t,48,0.5978695726285169,0.5,0.0881511015635019,0.5,-0.5759479996240685,0.5,0.4433363295661209,0.7976190476190477
4,B,pca_denoise,48,0.615623177330573,0.5119047619047619,0.6110227381844423,0.7619047619047619,0.14329286260396648,0.5476190476190477,0.7234626247381566,0.9047619047619048
4,B,plain,48,0.554325280470781,0.5833333333333334,0.7513945939557264,0.8809523809523809,0.5426704064504086,0.8095238095238095,0.6245400877323686,0.9166666666666667
4,C05,diffdist_t4,48,-0.40349323675859283,0.25,0.31597897902402566,0.5,-0.3695882854237662,0.4166666666666667,0.3354354463394533,0.5476190476190477
4,C05,diffdist_t8,48,-0.4899520073893829,0.5,-0.1700345808404994,0.5,-0.43456732711174223,0.4523809523809524,0.020955558866125597,0.5
4,C05,fb_potential,48,0.20427521096893603,0.5952380952380952,0.09726286778224554,0.5238095238095238,0.16318190638291663,0.47619047619047616,0.26717803506975896,0.5
4,C05,heatgeo_4t,48,-0.03879360358362933,0.5,-0.2756732697275104,0.3333333333333333,-0.20536926081352042,0.5,0.2768154991163501,0.6428571428571429
4,C05,heatgeo_t,48,0.1294143877748267,0.5,-0.27816521651890574,0.3333333333333333,-0.20145593814787544,0.5,0.27193933574626716,0.7261904761904762
4,C05,pca_denoise,48,0.07030590517258734,0.6309523809523809,0.1908460377353426,0.5357142857142857,0.046630851929541285,0.6428571428571428,0.3053258856652256,0.7261904761904762
4,C05,plain,48,-0.043174933640699076,0.5952380952380952,0.08264756957246008,0.5,0.0020583687501074923,0.6309523809523809,0.2907066813942927,0.7738095238095238
4,D,diffdist_t4,48,0.24617100610961257,0.6071428571428571,0.29341996979318125,0.5,0.2165727997011701,0.5595238095238095,0.3254904439412764,0.5
4,D,diffdist_t8,48,0.32326343507341326,0.5357142857142857,0.19484768982419645,0.5,0.29844269386733324,0.6190476190476191,0.2958607882748577,0.5
