v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name
-0.0052576940875695,-0.0030645004722918,-0.0007539033529148,-7.040661352935826,-6.365972995758057,-0.0,0.0549749574366939,3.0,0.164801031688173,0.0502487299306522,0.1957531470119396,0,3000,2,312,-0.8978601744396698,2.0,,d2-c1-n0.01-m12
-0.0043128285829529,-0.0033466702339586,-0.0008618094267677,-7.095891555451476,-6.465524673461914,-0.0,-0.0020053743786007,3.0,0.1933925050441138,0.0729175324588603,0.2175582460470776,0,3000,2,313,-2.944322979681292,2.0,,d2-c1-n0.01-m13
-0.0071904368977735,-0.0045582323595103,-0.0018458986099581,-7.073859546792962,-6.319101333618164,-0.0,-0.0536148967264043,3.0,0.1708236231583966,0.0483845913282045,0.2227461590029958,0,3000,2,314,-2.853722380261491,2.0,,d2-c1-n0.01-m14
-0.057461812181844,-0.053450291259904,0.0063874981352434,-7.37075467975615,-6.419599533081055,-0.0,0.0646175027672364,3.0,0.1973241211133948,0.0895750096033185,0.2227405425244569,0,3000,2,330,0.1641133119551789,2.0,,d2-c1-n0.05-m0
-0.1352613093551752,-0.0654300592032592,0.0223884189747851,-7.3357063835734575,-6.435151100158691,-0.0,0.0141443197835647,3.0,0.1924369191893231,0.0785684902276404,0.2293933990868471,0,3000,2,331,0.7737598105819261,2.0,,d2-c1-n0.05-m1
-0.0567486300162668,-0.0338520002966984,-0.0002998966671881,-7.268594882462217,-6.407221794128418,-0.0,-0.0553761077500973,3.0,0.1860719422873828,0.0633241699381819,0.2255463389275916,0,3000,2,332,1.728836197424718,2.0,,d2-c1-n0.05-m2
-0.0879977647945266,-0.0528115891253179,0.0018880876150736,-7.426016179118471,-6.371065139770508,-0.0,0.0049297829424472,3.0,0.193944174880394,0.0703614731932308,0.2246941667759611,0,3000,2,333,-0.0201398711714281,2.0,,d2-c1-n0.05-m3
-0.0846787681683186,-0.0694669637414134,0.0277393265926164,-7.181620355107193,-6.376734733581543,-0.0625,0.0756975529188171,3.0,0.2059316255008782,0.0909390008890387,0.2259720181762274,0,3000,2,334,5.496937541713086,2.0,,d2-c1-n0.05-m4
-0.1235571706774733,-0.0738747236172732,0.0079502531124954,-7.366901333791763,-6.517922878265381,-0.0,-0.0537051285281881,3.0,0.1801114917899811,0.0554617108157854,0.1936186977725565,0,3000,2,335,-6.985728960248757,2.0,,d2-c1-n0.05-m5
-0.0563857445838933,-0.0286367690202966,0.0091297001723678,-7.171906764018016,-6.512939453125,-0.0,-0.0255214938070804,3.0,0.1882143853504186,0.0678235008408958,0.20888842144803,0,3000,2,336,-2.880567788146728,2.0,,d2-c1-n0.05-m6
-0.1195193321920448,-0.0885336423296391,0.029569703292663,-7.427117972622802,-6.355506896972656,-0.0,0.0342873401131228,3.0,0.2065189604418877,0.0911291819878504,0.2321994396237775,0,3000,2,337,0.013149415250463,2.0,,d2-c1-n0.05-m7
-0.0528902380337197,-0.0299319278947925,0.020359292619047,-7.051507988239969,-6.337185382843018,-0.0,0.0632896119909449,3.0,0.2056034757410315,0.0964603821756067,0.2476372362002887,0,3000,2,338,13.350834999027844,2.0,,d2-c1-n0.05-m8
-0.0809695973149448,-0.0816520043056775,0.0059482794552354,-7.301774302075183,-6.639281749725342,-0.0,-0.0980189068906544,3.0,0.1900437528866957,0.0601852685782637,0.2030516768613917,0,3000,2,339,-11.98291658411206,2.0,,d2-c1-n0.05-m9
-0.1380175976609586,-0.0544624991524971,0.010078469621792,-7.225755437893119,-6.415565490722656,-0.0,0.0081164978327839,3.0,0.18516996754786,0.0781472017726766,0.213246995074536,0,3000,2,340,-1.3523409226359646,2.0,,d2-c1-n0.05-m10
-0.0967617625389141,-0.0661064797561202,0.0033686701772116,-7.385058730079024,-6.360028266906738,-0.0,0.0157369769842031,3.0,0.1853367407003086,0.0663318653301958,0.2172201644655735,0,3000,2,341,-1.8164727412950512,2.0,,d2-c1-n0.05-m11
-0.072810955748867,-0.0348222189109248,0.0043975517292143,-7.171898346746438,-6.406689167022705,-0.0,-0.0524640493160513,3.0,0.1823675174131673,0.0704094382580806,0.2020467626555776,0,3000,2,342,-19.350068753652508,2.0,,d2-c1-n0.05-m12
-0.074653735570125,-0.0666746071585605,0.0076677970445942,-7.294950784706188,-6.424814701080322,-0.0,-0.0444234333966291,3.0,0.1977433291060703,0.0671017655184081,0.2199443946011181,0,3000,2,343,-4.378023159484492,2.0,,d2-c1-n0.05-m13
-0.0702275066180376,-0.0459686008897151,0.0127290810251568,-7.225315240490165,-6.265067100524902,-0.0,0.0380225552431442,3.0,0.1870776824009361,0.0735671448789337,0.2351203206247601,0,3000,2,344,3.330936894367293,2.0,,d2-c1-n0.05-m14
-0.2041960278873272,-0.2161590286808668,0.0209590718748692,-7.614848286255096,-6.282865524291992,-0.0,0.0140414496671446,3.0,0.1807617971490502,0.0693216597700335,0.2245645163847981,0,3000,2,360,-0.2773082867850632,2.0,,d2-c1-n0.1-m0
-0.1530404539645142,-0.1191440442049475,0.0161564503159371,-7.234615953867197,-6.381024360656738,-0.0,-0.0127155168884139,3.0,0.1916928127829407,0.0777367939336698,0.2164274151078282,0,3000,2,361,9.449520693307583,2.0,,d2-c1-n0.1-m1
-0.2321482027868472,-0.1623097357407884,0.0043767421276899,-7.5458182578833215,-6.504142761230469,-0.0,0.0477471284033686,3.0,0.2170995527110672,0.1004000685428219,0.2322201629639046,0,3000,2,362,-12.086218290266444,2.0,,d2-c1-n0.1-m2
-0.2036412552015136,-0.1488942839160624,0.0101782985888537,-7.617300084584063,-6.3942155838012695,-0.125,-0.0567815544453569,3.0,0.2193620398092461,0.1129944049240119,0.229374998146567,0,3000,2,363,-0.1957350610295782,2.0,,d2-c1-n0.1-m3
-0.2215770684440219,-0.2203010173618302,-0.0012584865338455,-7.647736001117007,-6.361015319824219,-0.0,-0.0802771150697683,3.0,0.2058092911466421,0.1017935077865895,0.2341636003206561,0,3000,2,364,-1.095170415248552,2.0,,d2-c1-n0.1-m4
-0.1355644261385292,-0.1319865475605388,0.0239087797470037,-7.238505109342702,-6.27998685836792,-0.0,0.0619002105150589,3.0,0.1966760425413651,0.0926639695264767,0.2299472095318666,0,3000,2,365,11.08152312025702,2.0,,d2-c1-n0.1-m5
-0.2668353348251508,-0.1677941486240203,0.034908586072243,-7.609980483127869,-6.3310723304748535,-0.0,-0.0311138299447643,3.0,0.2089538727780103,0.1072163767959192,0.2559990985272531,0,3000,2,366,-3.606518083255943,2.0,,d2-c1-n0.1-m6
-0.2029138848382968,-0.1686253148058757,0.0025324058336542,-7.56320676640566,-6.327349662780762,-0.0,0.0106585211764062,3.0,0.1875071225699249,0.0790228463638525,0.2223822647424188,0,3000,2,367,-1.4167534716119394,2.0,,d2-c1-n0.1-m7
-0.187596129302273,-0.1178043543871804,0.0094758962658507,-7.318663163486628,-6.446878433227539,-0.1875,-0.0126837335039744,3.0,0.1971386872509137,0.0782354941812319,0.220418502418935,0,3000,2,368,-4.380389712820355,2.0,,d2-c1-n0.1-m8
-0.136442359177473,-0.1431957412091351,0.022521066166259,-7.6689244512481025,-6.396480560302734,-0.125,-0.0027236805159224,3.0,0.2463758797339745,0.1408124973141947,0.2720246274600727,0,3000,2,369,1.4450793517878724,2.0,,d2-c1-n0.1-m9
