kind,dim,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
torus,3,0.0,-0.2251048751475343,-0.03558158906977163,-0.1389627224724735,2.0184944597706666e-07,0.5493496468050589,1.0282738723627125,-9.903243343511832,-0.635388867278997,0.2951630096178518,-1.2458493914814217
torus,3,0.0,-0.41335089431954447,-0.9801608755959327,-0.1389627224724735,1.0030472909798699e-07,0.5460471678728901,0.45726025917137264,-10.734627767423634,-1.5664135120630085,0.2951630096178518,-0.5095936372798282
torus,3,0.0,-0.17446057165539558,-0.5730272342118132,-0.1389627224724735,-1.0681817256857236e-07,0.5396331395211744,-1.3805243455251983,-11.945873595615057,-0.13370079434060356,0.2951630096178518,-1.299177182982974
sphere,3,14.809853079655351,0.4727763018652529,0.6614102840374653,0.2433635019652748,29701727.34436252,48.75133501912003,1.814511201566206,72.67759768688259,1.049932557670965,0.2951630096178518,-0.9403316280533779
sphere,3,14.809853079655351,0.2405484985578511,0.4241635771642517,0.2433635019652748,22248687.70621561,42.32879953794992,0.48494737981468744,74.79770592820013,1.3605645956589454,0.2951630096178518,0.9411367351237266
sphere,3,14.809853079655351,0.396153937678401,0.8767689627269735,0.2433635019652748,25053002.904449113,45.56992757565391,0.5422831921313042,74.91240580376798,1.964994755755276,0.2951630096178518,-1.259106450758653
sphere,3,14.809853079655351,0.013995488559898406,0.8027325418950508,0.2433635019652748,33137111.983148977,54.52932667151296,0.2757839307600215,73.87664334685054,2.046002271171388,0.2951630096178518,1.2539668852313752
sphere,3,14.809853079655351,0.24335850335210507,0.9524268046075047,0.2433635019652748,25687631.143972162,44.35339273446058,0.17487387418041808,75.70245624398324,1.7738452714913044,0.2951630096178518,0.9962314558927505
sphere,3,14.809853079655351,0.40024568641072833,0.4920868007786114,0.2433635019652748,27183495.784344047,45.12695688932601,1.5444785440179862,73.19025832255295,1.1633626384121736,0.2951630096178518,-0.7887679195294205
sphere,3,14.809853079655351,0.21085399343430578,0.7537009632058049,0.2433635019652748,27098174.43935507,49.67161943849129,-0.12385595984974081,73.17434152738821,1.6414232476992199,0.2951630096178518,-2.2913123431141234
sphere,3,14.809853079655351,0.4037797400232579,0.7744359270829658,0.2433635019652748,29178101.90633161,51.24803806067941,1.778483466651224,72.66766393984602,1.235275145055209,0.2951630096178518,0.5205305028021473
hyperbolic,3,-15.877631842372704,0.49277052471093896,1.3825271740578284,-1.0111551417900366,-34739092.378399044,-53.61182481869278,1.245084757788148,126.7396356181631,4.25915367121777,0.2951630096178518,-0.9079220830182554
hyperbolic,3,-15.877631842372704,0.4837677636611507,0.6724672752816077,-1.0111551417900366,-25829784.209790252,-46.07086210642045,5.0022127071933316,124.04408260664826,1.4084519357580474,0.2951630096178518,-0.27492574371687156
hyperbolic,3,-15.877631842372704,0.4858495534292706,1.1932281975971648,-1.0111551417900366,-29084044.892655186,-47.88080383906266,4.1802926543520025,125.25747433147644,1.6341689730792606,0.2951630096178518,2.2673029875215267
hyperbolic,3,-15.877631842372704,0.479354071089826,1.6991539574790213,-1.0111551417900366,-38322825.234833926,-55.47372028868249,2.038148058453521,125.04015463261968,8.633574716366766,0.2951630096178518,3.298242349225151
hyperbolic,3,-15.877631842372704,0.48398221345584413,1.7245064600348263,-1.0111551417900366,-31881646.19980608,-52.53742804957544,3.17911738854662,126.99458363272745,5.086353955398446,0.2951630096178518,3.593513240459848
hyperbolic,3,-15.877631842372704,0.4942375616592677,1.4341591476278277,-1.0111551417900366,-28611997.519506454,-49.032749937460224,6.84342199004225,126.95263518493785,4.818762932643627,0.2951630096178518,1.5448679186026641
hyperbolic,3,-15.877631842372704,0.48049724402092375,1.6437583135439071,-1.0111551417900366,-36929312.69301164,-57.87118797840583,2.959389270410462,127.63441624896407,6.417861066537003,0.2951630096178518,5.594107683425528
hyperbolic,3,-15.877631842372704,0.06666971319135873,0.19459360374492707,-1.0111551417900366,-32572908.40616736,-49.658229717443355,1.722762071415307,121.77326681309101,0.5550271663050381,-13.872661452039035,-4.5115426024943615
hyperbolic,3,-37.98917641224189,0.41897196649838075,0.7194172809142123,-1.0111551417900366,-75357966.20790812,-113.1630630896449,2.568555004734218,104.95288262044966,2.6340462027972293,0.2951630096178518,-1.2908100994285534
hyperbolic,3,-37.98917641224189,0.2944353290803027,0.39030251856539394,-1.0111551417900366,-67004755.96395955,-102.77220868633566,0.8126825034790042,104.11410296078816,3.611624905032247,0.2951630096178518,0.8220331700692975
hyperbolic,3,-37.98917641224189,0.4903088434155801,1.2846548102084847,-1.0111551417900366,-66889188.64203704,-120.983414643204,4.076639417601065,106.34390607985091,2.460497788080007,0.2951630096178518,1.2886981231057262
hyperbolic,3,-37.98917641224189,0.4928843235969964,1.2853737142432398,-1.0111551417900366,-82177945.78377469,-117.3271915010956,4.370997861335247,103.15239804838637,3.820757949056603,0.2951630096178518,0.6934700450535598
hyperbolic,3,-37.98917641224189,0.1690636814089307,-0.1444378781177876,-1.0111551417900366,-67599011.91595447,-104.80930423301541,2.538255423166358,103.33554270246756,0.00030552130227494846,0.2951630096178518,-7.273797161868759
hyperbolic,3,-37.98917641224189,0.3193073930982162,1.11775485374751,-1.0111551417900366,-76479257.63774182,-118.05374992246517,0.5079358743156477,106.13741560033098,5.099354276182327,0.2951630096178518,2.6156807720103545
hyperbolic,3,-37.98917641224189,0.21216301173377927,0.012520823731431603,-1.0111551417900366,-71696917.79778849,-116.55009094910184,2.938753926551135,102.37267381392692,0.524160640712683,-6.788749221210592,-3.8141258440677652
hyperbolic,3,-37.98917641224189,0.43447185723133497,0.29484484625084584,-1.0111551417900366,-78080103.87529124,-112.72347728930681,-0.09005459741629242,104.17339908093845,3.626490952227523,0.2951630096178518,-1.4526814306399458
torus,4,0.0,-0.4303699070818029,-0.9603792817377941,-0.1389627224724735,0.7916593724897549,1.600723552565783,1.33657047508811,-42.637638361276174,-2.831103899397284,-0.0,-1.3778416643141151
torus,4,0.0,-0.36314030802209485,-0.5895078946713019,-0.1389627224724735,0.3645910533648713,0.8160615791431203,0.8997089065030759,-43.130740516072755,-0.761224902407986,-0.0,-0.03280321792401498
torus,4,0.0,-0.01364340026198535,-0.24176762384234898,-0.1389627224724735,0.3055535453677314,0.6307997855290262,1.180489349087348,-42.66686420982196,0.20969994205846468,-0.0,-0.9538651189541637
torus,4,0.0,-0.28329333718423844,-0.4479597527716707,-0.1389627224724735,0.7916593724897578,1.7173932590457868,2.0299579026347168,-42.56680855056134,-1.805901812067653,-0.0,-1.8743208654185686
torus,4,0.0,-0.4205327720955924,-1.0662152370401874,-0.1389627224724735,0.7135665303181263,1.3475883986765183,-0.8980291380547866,-44.08938267657389,-0.7613698575862763,-0.0,-0.39048212519074543
torus,4,0.0,-0.2239470389692501,-0.31963862568315027,-0.1389627224724735,0.10973208600000792,1.5763852336796897,0.2682864477110266,-42.288919832109606,-0.07583916875595906,-0.0,-1.1589969266326035
torus,4,0.0,0.12281483881766198,0.8007332209851475,-0.1389627224724735,0.7916593724897585,2.030507797588112,2.1740434448565926,-41.149823382361674,-0.5578791427537078,-0.0,-1.939842641225634
torus,4,0.0,-0.3391792207704306,-0.8143640134977549,-0.1389627224724735,0.791659372489748,0.8556819919978533,-1.2362469672989407,-42.66583999640064,-1.1271915467561102,-0.0,-1.7235912863733311
sphere,4,29.674415949300347,0.47770975829565065,1.0197650010631123,0.2433635019652748,10.678039597376168,9.88053232031122,1.051148209658924,443.56061999735255,2.149948535158433,-0.0,1.580291620840436
sphere,4,29.674415949300347,0.48639792970625306,1.823447964791747,0.2433635019652748,10.678963442134705,10.09302100638402,0.6596288272167232,442.54705994160025,4.897939151398282,-0.0,0.8011114404230537
sphere,4,29.674415949300347,0.46020356906524473,1.0197650010631123,0.2433635019652748,10.25898462748441,10.004159887592305,0.8899404291196744,443.40563864303755,1.8414895633611004,-0.0,1.2076512622249913
sphere,4,29.674415949300347,0.49853015003123136,0.7402610945147199,0.2433635019652748,8.72253631187545,9.803066879055665,2.7022006032543557,446.48761258482295,1.184828486695333,-0.0,2.07661910780624
sphere,4,29.674415949300347,0.4967023910608951,0.7952676250122799,0.2433635019652748,9.568736840568429,9.74630138840445,1.83279472078524,444.7726852556295,0.8978228812849597,-0.0,1.633257940273066
sphere,4,29.674415949300347,0.486876027405337,1.6795665973570857,0.2433635019652748,10.644859688322088,10.391111606538116,0.6209828818990614,442.7500933059558,4.701751730256325,-0.0,0.9347634734743012
sphere,4,29.674415949300347,0.469823716332164,0.8706681944502164,0.2433635019652748,8.877495530716512,9.78196672428197,1.3646963793663078,445.03146096388156,1.4347575695547097,-0.0,1.0436593814474604
sphere,4,29.674415949300347,0.4889753963130663,1.4160760200931,0.2433635019652748,10.109669385747065,9.58213778665901,0.9976360479744889,443.880624986094,2.6684880347961917,-0.0,1.2290113732378805
hyperbolic,4,-40.11041088662597,0.49652745364300355,2.550870469020403,-0.8056596505424996,-12.787903967901041,-4.45564904080173,0.7226353200274376,584.0160966019612,8.594922611249048,-0.0,3.1771971568695396
hyperbolic,4,-40.11041088662597,0.495106453647429,1.7945647898235306,-0.8056596505424996,-11.603514107178182,-4.416381227074343,2.5737545964964603,586.1305360691232,4.371249217417566,-0.0,3.288355642847122
hyperbolic,4,-40.11041088662597,0.4971511926184996,2.1025350097295292,-0.8056596505424996,-10.250834484496629,-3.6175176930807376,3.550057400655101,584.8412433463347,2.520237479368303,-124999999.99999999,2.73198461301768
