config,kind,dim,noise,field_r,balsign,corr_v3,flatnull_med,flatnull_iqr
resid_n|true|m30|single,dumbbell,5,0.15,0.7618414099391432,0.875,0.419021475462096,,
resid_n|true|m30|single,dumbbell,6,0.0,0.8931885293752921,0.9935897435897436,0.3517365907338982,,
resid_n|true|m30|single,dumbbell,6,0.15,0.7017297836751782,0.75,0.13652895026163506,,
resid_n|true|m30|single,necklace,3,0.0,0.9588472356782447,0.8666666666666667,0.7585238894867316,,
resid_n|true|m30|single,necklace,3,0.15,0.8227353336418196,0.7666666666666666,0.6309318320569831,,
resid_n|true|m30|single,necklace,4,0.0,0.9563042538222368,0.8491436100131753,0.670986680657566,,
resid_n|true|m30|single,necklace,4,0.15,0.7567339139024453,0.5909090909090909,0.4619995497679714,,
resid_n|true|m30|single,necklace,5,0.0,-0.012897681126498993,0.8214285714285714,0.6988888864704926,,
resid_n|true|m30|single,necklace,5,0.15,0.04751206321314421,0.5857142857142857,0.5336074804239371,,
resid_n|true|m30|single,necklace,6,0.0,-0.19570758025639548,0.7291666666666667,0.6574292746046956,,
resid_n|true|m30|single,necklace,6,0.15,-0.12892620628151275,0.5486111111111112,0.45386023139299586,,
resid_n|true|m30|single,torus,3,0.0,,,,7.288581478381883e-17,1.438278768284322e-16
resid_n|true|m30|single,torus,3,0.15,,,,0.027486756041778367,0.026841534115389577
resid_n|true|m30|single,torus,4,0.0,,,,7.503587870753867e-17,1.4042489517614752e-16
resid_n|true|m30|single,torus,4,0.15,,,,0.03824590911725108,0.027689220241004862
resid_n|true|m30|single,torus,5,0.0,,,,0.003218936007956546,0.006867697321325754
resid_n|true|m30|single,torus,5,0.15,,,,0.0451576254812457,0.03723267782047633
resid_n|true|m30|single,torus,6,0.0,,,,0.022955472102945452,0.019990288857963265
resid_n|true|m30|single,torus,6,0.15,,,,0.04080804950816394,0.029436122334934013
resid_n|true|m60|single,dumbbell,3,0.0,0.9789353157111793,0.9864864864864865,0.6801315458961698,,
resid_n|true|m60|single,dumbbell,3,0.15,0.9524025078214746,0.9932432432432432,0.5462738891461838,,
resid_n|true|m60|single,dumbbell,4,0.0,0.9579255691171047,0.993421052631579,0.7732887570118993,,
resid_n|true|m60|single,dumbbell,4,0.15,0.9169273048960066,0.986842105263158,0.56156520849705,,
resid_n|true|m60|single,dumbbell,5,0.0,0.9115420383530629,0.875,0.4429861319036131,,
resid_n|true|m60|single,dumbbell,5,0.15,0.8892362036020633,0.743421052631579,0.5172172704850537,,
resid_n|true|m60|single,dumbbell,6,0.0,0.91645491560975,1.0,0.3592973916029495,,
resid_n|true|m60|single,dumbbell,6,0.15,0.8214791869011977,1.0,0.24565449558157337,,
resid_n|true|m60|single,necklace,3,0.0,0.9737102655081367,0.958974358974359,0.7562747078913378,,
