kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,rq,point
1.0,40,7.202091123973209e-05,5.0616065265055944e-08,0.0032659995053029335,37.9969925323541,0.0531176732926486,necklace,3,0,0.033,371
1.0,40,0.0,0.0,0.0,39.133269775083036,,necklace,3,0,0.033,709
1.0,40,1.634376033490506e-05,-3.1421876656168024e-08,0.002486504826844986,40.03976099110309,-0.02790109042126366,necklace,3,0,0.033,145
1.0,40,1.6734969955236233e-05,2.027435277440759e-07,-0.0009120923644376171,40.56775589937314,-0.1455835428995726,necklace,3,0,0.033,84
1.0,40,0.0,0.0,0.0,41.282334513277306,,necklace,3,0,0.033,152
1.0,40,3.720465903774806e-05,-1.5018781181671177e-08,0.0008950656205968938,41.7456017715289,-0.1544396528739219,necklace,3,0,0.033,345
1.0,40,-0.001529088185576461,-2.964213939489942e-07,-0.00039771863558380654,42.152340048430865,-0.22899155659777978,necklace,3,0,0.033,788
1.0,40,-0.0005172682562627633,2.9573363017713444e-08,0.0002897107078400398,42.53451230919032,-0.06247389130923243,necklace,3,0,0.033,1003
1.0,40,1.528354937683383e-05,-4.905983915411601e-09,0.002691079039805211,42.973394272077094,0.01292772866529002,necklace,3,0,0.033,1057
1.0,40,0.0,0.0,0.0,43.5825283692948,,necklace,3,0,0.033,461
1.0,40,0.0,0.0,0.0,43.973034800192835,,necklace,3,0,0.033,593
1.0,40,0.0,0.0,0.0,44.32060317451704,,necklace,3,0,0.033,1084
1.0,40,0.0,0.0,0.0,44.54797494008782,,necklace,3,0,0.033,368
1.0,40,0.0,0.0,0.0,44.68619125295117,,necklace,3,0,0.033,1030
1.0,40,0.0,0.0,0.0,44.77956922998921,,necklace,3,0,0.033,935
1.0,40,-0.00016011788545995716,-1.0681810724832985e-07,0.0003957309917442235,44.855584484546554,-0.02449744295406866,necklace,3,0,0.033,600
1.0,40,0.0,0.0,0.0,44.87556147410779,,necklace,3,0,0.033,855
