seed,kind,dim,kernel,t,band,norm,score,ks
0,torus,2,adaptive_k10,2,0.5,dij2,-0.0221204472990649,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.014271892824291636,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.19385319898972736,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.008822592799916427,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.1465428408844322,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.05322725597024856,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.12201106899967518,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.15073728967311986,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.07730172516327344,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.23034534366090026,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.06583194578321849,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.09403980135395926,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.15469083285415525,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.08202010361446124,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.2300769902786498,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.16572648430274092,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.07536884825090269,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.03373998258464285,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.056202022900902274,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0029594580412440875,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.002196058509391556,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0029943184689628214,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.00048470468306051296,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0019440889998850806,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-9.547318988300515e-05,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0026353278893431102,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0027822483006092013,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.006018677698407365,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0003557644669187061,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0009024030242816092,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0009415873561886535,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.003801782595372513,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.00029835157613390326,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.004197171532708757,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0010963847211149275,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0016875455540957909,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.01232922010874221,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0017947375964952948,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0004235320585749243,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0008051287818844929,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.00138889659841195,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0005173999781588178,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.007849565710892702,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.002258629114599917,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0024910100272405892,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.003288335635450831,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0025338068752313882,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.0031963592366839634,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.003777975861967397,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.005922804535539875,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.004736486902880605,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.004790787768138958,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.003570020591004686,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.00039541824960039485,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0025643534647147082,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0009866968438897177,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.0010355297908467092,0.0
0,torus,2,adaptive_k10,2,1.0,raw,0.001736866371635509,0.0
0,torus,2,adaptive_k10,2,1.0,raw,-0.000247755121926806,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.059586580055787514,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.044216074143779614,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.06028846994173709,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.00975918360662383,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.039142847512219206,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.0019222846862034185,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.05306045027946433,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.05601858812961476,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.12118178920197586,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.007163064180543197,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.01816924223948002,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.01895819085695396,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.07654618508415606,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.00600709651169775,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.08450705975763338,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.022074925559408765,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.033977527930974194,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.2482400665245319,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.0361357633669111,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.008527516377241234,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.01621069464354071,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.027964443893819982,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.010417480089179726,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.15804541545000256,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.0454758887194307,0.0
