v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,kind,dim,seed,branch,estimator
0.036834475844862956,0.04984224467614598,0.02433832485205758,-7.096422571686719,-5.2069854736328125,-0.0625,0.09281681645485348,3.0,0.24413609035203274,0.22285469632221014,0.4735481170342686,1222,1400,3,15.33757314504347,dumbbell,3,0,A,oracle
0.054651537445358216,0.073758952020409,0.020550062319803292,-7.042828903031193,-4.816975116729736,-0.0,0.30054498484118675,3.0,0.2273579579761737,0.19809445387265037,0.5144147692598078,190,1400,3,16.176736933411025,dumbbell,3,0,A,oracle
0.042886395621529676,0.0460400568900668,0.0032907872414792688,-7.077062423382637,-4.8233866691589355,-0.0,0.1709515089565653,3.0,0.22665398667546133,0.22176334801823971,0.5190048636523947,975,1400,3,17.079064983670342,dumbbell,3,0,A,oracle
0.043841163730508725,0.05532796845237202,-0.0003475211438618486,-7.0782859645555565,-5.069851398468018,-0.0625,0.31496982448562394,3.0,0.24545144762239693,0.20537453801435115,0.4922996027097748,1375,1400,3,17.851715608550524,dumbbell,3,0,A,oracle
0.04713586654631141,0.05382279378656073,0.02337970023817467,-7.064278906407406,-5.074730396270752,-0.0625,0.2841805145151819,3.0,0.2367022429816471,0.17840957557034992,0.4940681667280868,327,1400,3,18.427504263358866,dumbbell,3,0,A,oracle
0.0567316033512315,0.07519300454785084,0.01629415698488155,-7.0630731951787,-4.841212272644043,-0.0625,0.33630765606759105,3.0,0.22342709667112143,0.21255938914070294,0.5136904030265791,281,1400,3,18.86173140901876,dumbbell,3,0,A,oracle
0.05271966016536981,0.06983524486378817,0.001691241950915627,-7.060665710271898,-4.857937812805176,-0.0,0.41086241821956343,3.0,0.2181988180444075,0.2151939177559949,0.5292846088046435,1261,1400,3,19.292051405337936,dumbbell,3,0,A,oracle
0.0527367208352093,0.06755659290805102,-0.011304044883783318,-7.064287090028387,-4.848605155944824,-0.0,0.4061355925456504,3.0,0.2110918936031364,0.22182227833898452,0.5288976943282292,630,1400,3,19.5323352139822,dumbbell,3,0,A,oracle
0.050433796363413795,0.06384868977039279,0.023105434584856817,-7.071482274350165,-5.0167999267578125,-0.125,0.5345121777361996,3.0,0.22697856323911295,0.20220592552650998,0.5075173483031388,356,1400,3,19.59838014117316,dumbbell,3,0,A,oracle
-0.0645659836277219,-0.08407153329412809,-0.007775009032955291,-7.0663351398950365,-5.198946952819824,-0.625,0.14314405649109035,3.0,0.22678162697973436,0.1614820714644577,0.4676847406135087,208,1400,3,-22.548062598221478,dumbbell,3,0,B,plain
-0.11841575375178998,-0.10944809873318208,-0.02477625859121784,-7.073414929389433,-5.3531951904296875,-0.9375,0.05862249804730221,2.0,0.2626901491632272,0.18699347980137127,0.4571087567216278,362,1400,3,-19.225024550522377,dumbbell,3,0,B,plain
0.009019196809933398,-0.02527874159778239,0.00404510926826643,-7.054234571879917,-5.253337860107422,-0.1875,0.17775879407311035,3.0,0.252573977811767,0.19713654603997718,0.4786298927634145,1088,1400,3,-11.762262800203482,dumbbell,3,0,B,plain
-0.0010711469598628487,-0.01645238725397937,-0.014874035999991887,-7.061556662972935,-5.251893520355225,-0.0625,0.20048333882221986,3.0,0.24695834133475628,0.1880497245717893,0.4913054738819755,915,1400,3,-3.5550526795521264,dumbbell,3,0,B,plain
-0.05085880485460006,-0.01659523830229423,0.01605991533845932,-7.0689535162519155,-5.361759662628174,-0.4375,0.17929285759211347,3.0,0.24035840347720724,0.18719726128554626,0.4766695052366393,361,1400,3,2.5102588071524714,dumbbell,3,0,B,plain
-0.012252400201484725,0.0015819956102008142,0.005456464472938018,-6.966674719292126,-5.098045349121094,-0.0,0.4907361898980068,3.0,0.22889224748616338,0.16717585471036117,0.4991069705343639,405,1400,3,6.159382675542515,dumbbell,3,0,B,plain
