kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,point,config
1.0,60,4.066795541209141e-05,-2.7371740015288043e-07,-0.002659680295879212,0.0,0.03024890793667445,torus,3,0,596,recompute
1.0,60,9.663643259899376e-05,-9.210221503982059e-08,0.0018765677650551052,0.0,-1.5029791529528198e-06,torus,3,0,7,recompute
1.0,60,3.9502630057868856e-05,-5.225688033405618e-07,0.0010741949207713538,0.0,-0.12324185566125039,torus,3,0,38,recompute
1.0,60,0.0001785189211137202,-1.013183537660704e-06,-0.005631159664050919,0.0,0.11973130264228732,torus,3,0,483,recompute
1.0,60,0.00019084318343831882,-2.397808605595723e-06,-0.000716046207684526,0.0,0.03320387005380836,torus,3,0,482,recompute
1.0,60,0.00040651193384533263,-3.337790313769536e-07,-0.0028795288122448314,0.0,-0.19250959288699968,torus,3,0,352,recompute
1.0,60,6.50467114422484e-05,-2.586844602229614e-07,0.0005654674590958716,0.0,0.03322166766682609,torus,3,0,412,recompute
1.0,60,-0.00023775349056630971,-2.7844101972244553e-06,0.003119621895489407,0.0,0.058282603957303294,torus,3,0,539,recompute
1.0,60,-0.0013068312894210878,2.049031651907285e-06,0.0018569552527698844,0.0,-0.13068270587482952,torus,3,0,452,recompute
1.0,60,8.264358354890458e-05,-1.1382355381191662e-06,-0.00936961784404779,0.0,0.06754868480544914,torus,3,0,336,recompute
1.0,60,0.00018837846845119283,-1.0093735625105182e-08,-0.005055211028436158,0.0,-0.11580564649129492,torus,3,0,210,recompute
