readout,dest,m,pool,p,value,ks,kind,dim,seed,dist
resid,est,30,single,1060,0.0031427251053215838,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,1060,0.005585636321787677,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,1060,0.0024729947573556457,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,585,0.0032209230983342085,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,585,0.005725559834287422,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,585,0.0023483054912534053,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,585,0.0032209230983342085,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,585,0.005725559834287422,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,585,0.0023483054912534053,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,754,0.0032285081212749954,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,754,0.0059941528862493265,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,754,0.002405969607751283,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,754,0.0032285081212749954,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,754,0.0059941528862493265,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,754,0.002405969607751283,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,1024,0.002406370795167685,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,1024,0.005470490982189166,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,1024,0.0019845350523484406,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,1024,0.002406370795167685,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,1024,0.005470490982189166,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,1024,0.0019845350523484406,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,953,0.002826069516797254,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,953,0.00548693219350203,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,953,0.0026354388585244433,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,953,0.002826069516797254,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,953,0.00548693219350203,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,953,0.0026354388585244433,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,797,0.0032739428099633487,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,797,0.006333049343295483,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,797,0.002918619529129425,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,797,0.0032739428099633487,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,797,0.006333049343295483,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,797,0.002918619529129425,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,986,0.005011542435825242,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,986,0.007682263165081926,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,986,0.003573724078455672,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,986,0.005011542435825242,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,986,0.007682263165081926,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,986,0.003573724078455672,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,512,0.00161385485430245,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,512,0.003580670332378327,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,512,0.0018642970107616852,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,512,0.00161385485430245,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,512,0.003580670332378327,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,512,0.0018642970107616852,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,781,0.0012614753285996446,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,781,0.0037403856283984493,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,781,0.0009718876211685792,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,781,0.0012614753285996446,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,781,0.0037403856283984493,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,781,0.0009718876211685792,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,951,0.002020568654813392,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,951,0.004748939005613967,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,951,0.001392913732963512,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,951,0.002020568654813392,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,951,0.004748939005613967,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,951,0.001392913732963512,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,702,0.0034677451746587627,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,702,0.0057002552464015584,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,702,0.0029458601800149056,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,702,0.0034677451746587627,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,702,0.0057002552464015584,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,702,0.0029458601800149056,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,180,0.003056353121456653,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,180,0.005372215742397053,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,180,0.0028549092914653953,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,180,0.003056353121456653,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,180,0.005372215742397053,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,180,0.0028549092914653953,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,1019,0.0018257163753935654,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,1019,0.004853007762409525,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,1019,0.001404023908371806,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,1019,0.0018257163753935654,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,1019,0.004853007762409525,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,1019,0.001404023908371806,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,347,0.0016187574842649738,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,347,0.004285149622373793,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,347,0.0014057834130119728,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,347,0.0016187574842649738,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,347,0.004285149622373793,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,347,0.0014057834130119728,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,1193,0.0029483188554004507,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,1193,0.0058659340784994,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,1193,0.0023161288123362237,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,1193,0.0029483188554004507,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,1193,0.0058659340784994,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,1193,0.0023161288123362237,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,587,0.001895864506527609,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,587,0.004519038226140411,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,587,0.0016754024313220114,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,587,0.001895864506527609,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,587,0.004519038226140411,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,587,0.0016754024313220114,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,747,0.0021215991814334885,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,747,0.004642386454026361,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,747,0.0024123056710407646,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,747,0.0021215991814334885,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,747,0.004642386454026361,-8.956077783870782,hyperbolic,2,0,exact
