config,kind,dim,K_unnorm_r,K_unnorm_bal,K_rw_r,K_rw_bal,neg_u_r,neg_u_bal,static_r,Kun_vs_static,rel_resid,K_unnorm_flatmed,K_unnorm_flatstd,K_rw_flatmed,K_rw_flatstd,neg_u_flatmed,neg_u_flatstd
lam0.0|np8|covall,necklace,3,0.490615287553913,0.7297267025089605,0.5243082895498016,0.7297267025089605,0.5990856177980881,0.7547183019713262,0.7160191786520932,0.7327727997830632,0.7774127696410175,,,,,,
lam0.0|np8|covall,necklace,4,0.30537772905509913,0.6731826624248332,0.3127422832511315,0.6731826624248332,0.3164166704693912,0.6836002868754483,0.6466305149835075,0.6430184724447988,0.8364996290270239,,,,,,
lam0.0|np8|covall,necklace,5,0.019721828830733024,0.5532436438262456,0.0185329364806093,0.5532436438262456,0.024407164188484074,0.548835176528712,0.3370304688273712,0.6406473935753502,0.8332877910767938,,,,,,
lam0.0|np8|covall,torus,3,,,,,,,,0.7237955279922818,0.7852079422301589,0.0003975494610698429,0.0005996788568553888,0.06546593162369886,0.09714860878306346,0.08175486948657357,0.1215784034174604
lam0.1|np16|cov200,dumbbell,3,0.48708393731409605,0.8612612612612613,0.5148390324608729,0.8612612612612613,0.4265892280650206,0.8234234234234235,0.510022899134097,0.725706715264285,0.4612714217354113,,,,,,
lam0.1|np16|cov200,dumbbell,4,0.5071386051503752,0.8482443482443482,0.5297830005595744,0.8482443482443482,0.484845301141318,0.8403078403078403,0.4889091089804851,0.5441066034015447,0.4957076738644741,,,,,,
lam0.1|np16|cov200,necklace,3,0.68059652783012,0.8926151761517616,0.6998570598431755,0.8926151761517616,0.5985172968761261,0.799119241192412,0.7160191786520927,0.7236146773564942,0.43822354777899236,,,,,,
lam0.1|np16|cov200,necklace,4,0.5281646475518756,0.7858090185676392,0.5302639802434147,0.7858090185676392,0.44674606699480923,0.6858974358974359,0.6466305149835085,0.6514675035175206,0.43430716600715646,,,,,,
lam0.1|np16|cov200,necklace,5,0.2327553346055562,0.5981644054269752,0.2329190203677911,0.5981644054269752,0.21012244165710206,0.5869912210694334,0.33703046882737137,0.5666953500236239,0.4177030546992589,,,,,,
lam0.1|np16|cov200,torus,3,,,,,,,,0.49250793841647156,0.6014443623127822,0.00039675315061393063,0.0005767591325173546,0.0641472410681738,0.09334119918919027,0.09730292080033977,0.14052152566447293
lam0.1|np16|covall,dumbbell,3,0.43041295600303864,0.7419230769230769,0.46971986285042033,0.7419230769230769,0.5096578734464522,0.7615384615384615,0.5100228991340974,0.7341367503088428,0.8443059719354045,,,,,,
lam0.1|np16|covall,dumbbell,4,0.3329015772505122,0.7208321410782226,0.35681800151815707,0.7208321410782226,0.35039955279416957,0.7390550980828539,0.4889091089804853,0.6354238065762458,0.8955326147143329,,,,,,
lam0.1|np16|covall,necklace,3,0.5910869535839123,0.7525481630824373,0.6255494563400121,0.7525481630824373,0.6894636262264167,0.7876204077060931,0.7160191786520932,0.7399485728192222,0.8095172212844866,,,,,,
lam0.1|np16|covall,necklace,4,0.37055158138365885,0.7075203663178801,0.37865933334948876,0.7075203663178801,0.3758832991621747,0.7120211846484856,0.6466305149835075,0.6395734825672824,0.8718707281311111,,,,,,
lam0.1|np16|covall,necklace,5,0.032660619262255865,0.551647474632311,0.0314152247432135,0.551647474632311,0.036234142718428855,0.5632577053167636,0.3370304688273712,0.6330051327598862,0.886367732863713,,,,,,
lam0.1|np16|covall,torus,3,,,,,,,,0.5924851701801351,0.8355530807161095,0.0003639929178419932,0.0005255876892097823,0.058860972672701364,0.08519493595724448,0.07795489263684191,0.11202209855649986
lam0.1|np8|cov200,dumbbell,3,0.29373934773074745,0.6936936936936937,0.3181976433404478,0.6936936936936937,0.24900976598470562,0.7207207207207207,0.510022899134097,0.6193279752891794,0.2710687440887431,,,,,,
lam0.1|np8|cov200,dumbbell,4,0.39887011089777175,0.6964886964886965,0.4141343445435041,0.6964886964886965,0.38157518212184044,0.6859066859066859,0.4889091089804851,0.4720994328298735,0.2672236416274707,,,,,,
lam0.1|np8|cov200,necklace,3,0.38415709387238445,0.7964092140921409,0.41101469264545315,0.7964092140921409,0.2735488205148685,0.6869918699186992,0.7160191786520927,0.5305602600049603,0.26576483246417665,,,,,,
lam0.1|np8|cov200,necklace,4,0.4182464974605969,0.6668877099911583,0.42119940613508944,0.6668877099911583,0.3058751870956898,0.603448275862069,0.6466305149835085,0.5499892762548496,0.2461432354130983,,,,,,
lam0.1|np8|cov200,necklace,5,0.14246124084111303,0.63194998669859,0.14364088959316434,0.63194998669859,0.1332416771751178,0.644586326150572,0.33703046882737137,0.5655503485757928,0.2318812912592572,,,,,,
lam0.1|np8|cov200,torus,3,,,,,,,,0.532440542763965,0.35033225025384235,0.0005504007941104106,0.0007790860236951881,0.08812054352630282,0.12609049927800509,0.14946897617976773,0.1975664068140093
lam0.1|np8|covall,dumbbell,3,0.35310055220200515,0.7173076923076923,0.3859776381113929,0.7173076923076923,0.43745043210806517,0.7380769230769231,0.5100228991340974,0.7540619784153482,0.802525400479119,,,,,,
lam0.1|np8|covall,dumbbell,4,0.2697531466916901,0.7278743945993493,0.2904432021636967,0.7278743945993493,0.29029054929364273,0.7174461365635498,0.4889091089804853,0.6626658828463198,0.8536736836282314,,,,,,
lam0.1|np8|covall,necklace,3,0.49104964294648346,0.7297267025089605,0.5247466540408794,0.7297267025089605,0.5995583587946682,0.755152329749104,0.7160191786520932,0.7332094190527538,0.7774130030359262,,,,,,
lam0.1|np8|covall,necklace,4,0.30576796136747714,0.6731826624248332,0.31313825746877405,0.6731826624248332,0.31681205354387193,0.6840094521782305,0.6466305149835075,0.6436115953121188,0.8364999784294758,,,,,,
lam0.1|np8|covall,necklace,5,0.019864036884271203,0.5532436438262456,0.01867398969342236,0.5532436438262456,0.024542420611104017,0.548835176528712,0.3370304688273712,0.641673813927339,0.8332897050998226,,,,,,
lam0.1|np8|covall,torus,3,,,,,,,,0.7242327036779227,0.7852086689674971,0.0003967933902338027,0.0005984715614302299,0.06523486995131728,0.09695353152242128,0.08149350630279009,0.12131914279153205
