anchor,ks,gamma,V,goal_acc,kappa0,frac0,ent0,kappaw,fracw,entw,kind,dim,seed,mode
894,5.431549965527312,0.99,0.6678007476109521,1.0,0.011712620049715503,0.25,5.281321048736572,0.2504464101754541,0.0625,4.021505832672119,dumbbell,3,0,proxy
1380,9.298448521830508,0.99,0.6622322018237983,1.0,0.5344446413219259,0.0,5.10643196105957,0.6009768179189949,0.0,5.287856101989746,dumbbell,3,0,proxy
1044,9.734029362206519,0.99,0.4559243613517161,1.0,0.4351388675471567,0.0,5.132402420043945,0.39760329287846996,0.0,5.375899314880371,dumbbell,3,0,proxy
545,10.187353512545416,0.99,0.58059384114863,1.0,0.4474960306334227,0.0,5.062822341918945,0.7623317216795144,0.0,5.2557573318481445,dumbbell,3,0,proxy
539,10.727248684091858,0.99,0.40532101329727954,1.0,0.564736115106419,0.0,5.082959175109863,0.2985368737227343,0.0,5.336230754852295,dumbbell,3,0,proxy
308,11.290719418418739,0.99,0.46957320977706846,1.0,0.5058837087712185,0.0,5.2476067543029785,0.4681547774398751,0.0,5.414708137512207,dumbbell,3,0,proxy
1211,11.816860442950112,0.99,0.32477754635568257,1.0,0.5040453527046498,0.0,5.170158386230469,0.38256843806442103,0.0,4.940974712371826,dumbbell,3,0,proxy
592,12.353508287602647,0.99,0.2998028214324421,1.0,0.5066326787840767,0.0,5.149140357971191,0.16490698327961786,0.0,4.923642158508301,dumbbell,3,0,proxy
922,13.08481043363165,0.99,0.5715625405539535,1.0,0.5640620003401472,0.0,5.072137355804443,0.6458381456937087,0.0,5.118066787719727,dumbbell,3,0,proxy
623,13.896615576072982,0.99,0.46771346765531285,1.0,0.4960865641787035,0.0,5.1881818771362305,0.5506977391288177,0.0,5.241988658905029,dumbbell,3,0,proxy
31,14.795506979544653,0.99,0.3907897952497881,1.0,0.5516928773770023,0.0,5.138279914855957,0.020352721627167572,0.0,5.12600040435791,dumbbell,3,0,proxy
978,15.885198393084211,0.99,0.6048282823678925,1.0,0.512302774730724,0.0,5.201153755187988,0.6795375027410789,0.0,4.591156005859375,dumbbell,3,0,proxy
1224,17.139955319129093,0.99,0.41490648138931535,1.0,0.5052806511365759,0.0,5.097555637359619,0.058235285771259665,0.0,4.9810285568237305,dumbbell,3,0,proxy
1356,17.86444450248348,0.99,0.19221919052507727,1.0,0.45332387503923216,0.0,5.09396505355835,0.3091644765149172,0.0,4.643479347229004,dumbbell,3,0,proxy
183,18.790907677459302,0.99,0.31640095235067456,1.0,0.5582445656517151,0.0,5.183116912841797,0.22423500200325716,0.0,4.642764091491699,dumbbell,3,0,proxy
770,19.693368211359815,0.99,0.35036094392689604,1.0,0.4946939059784734,0.0,5.06705379486084,0.006497834567561686,0.0,4.428852081298828,dumbbell,3,0,proxy
1450,21.192398490167747,0.99,0.5112984480166831,1.0,0.4312964313687968,0.0,4.975444316864014,0.7736451865945657,0.0,5.6262359619140625,dumbbell,3,0,proxy
1297,22.183995958877667,0.99,0.14817821752565163,1.0,0.4102029863763449,0.0,5.025828838348389,0.36459495476411086,0.0,4.540194511413574,dumbbell,3,0,proxy
329,23.563035656854442,0.99,0.29773393512043345,1.0,0.5258972226305196,0.0,5.224118709564209,0.21753993049117154,0.0,4.502912998199463,dumbbell,3,0,proxy
1154,25.370971992037134,0.99,0.0,1.0,0.5248258847434717,0.0,4.913895606994629,0.5050822744470609,0.0,4.665233612060547,dumbbell,3,0,proxy
1249,26.638318248049746,0.99,0.3186235653840446,1.0,0.5130776187516054,0.0,5.192132949829102,0.30654951683559617,0.125,3.931993007659912,dumbbell,3,0,proxy
1117,27.884008918879832,0.99,0.3748447253920559,1.0,0.012866602667449156,0.25,5.153010845184326,0.05417477800819831,0.0625,4.617837905883789,dumbbell,3,0,proxy
229,29.282661796048142,0.99,0.4824755190388893,1.0,0.20649551581557657,0.3125,5.437863349914551,0.43981197114363746,0.0,4.322105407714844,dumbbell,3,0,proxy
663,30.171477332536107,0.99,0.7327573080386885,1.0,0.2130348288065404,0.125,5.158254623413086,0.48331197421971095,0.0,3.9351463317871094,dumbbell,3,0,proxy
518,31.158070337016014,0.99,0.2888286663493696,1.0,0.41734675467910276,0.0,5.088789939880371,0.14393337628741426,0.0,4.616509437561035,dumbbell,3,0,proxy
1190,32.52797648270132,0.99,0.6007863327022936,1.0,0.38096557491178706,0.0,5.045560836791992,0.7580303357343439,0.0,4.524727821350098,dumbbell,3,0,proxy
170,33.93425705374371,0.99,0.34446103654880356,1.0,0.3975856354697153,0.0,5.0581159591674805,-0.0251108193082987,0.0,5.070980072021484,dumbbell,3,0,proxy
1124,35.17052208313692,0.99,0.0849592417784187,1.0,0.4806489105570547,0.0,4.952242851257324,0.45844780342792757,0.0,4.463495254516602,dumbbell,3,0,proxy
1410,36.16632769128221,0.99,0.3673600939182115,1.0,0.5254645875879533,0.0,5.052696228027344,0.07208037599447968,0.0,5.117400646209717,dumbbell,3,0,proxy
107,37.095283943089456,0.99,0.2964315519095524,1.0,0.39539070113777924,0.0,5.083843231201172,0.1627512113947684,0.0,3.9437265396118164,dumbbell,3,0,proxy
8,38.02496510354766,0.99,0.8782634236595956,1.0,0.05994326899020805,0.0625,5.230481147766113,0.5447777532163174,0.0,3.9210519790649414,dumbbell,3,0,proxy
1100,39.30184026927018,0.99,0.33807702596967226,1.0,0.4086112131782993,0.0625,5.011948108673096,0.170303120492026,0.0,4.651534080505371,dumbbell,3,0,proxy
610,40.26435430885271,0.99,0.7195162356758146,1.0,0.1379174217058739,0.125,5.370110511779785,0.6368028542136195,0.0,3.330005168914795,dumbbell,3,0,proxy
365,41.172919210791385,0.99,0.5463341526163246,1.0,0.44968593060328177,0.1875,5.330501556396484,0.45573565065024213,0.0,4.43251895904541,dumbbell,3,0,proxy
725,41.995526232768704,0.99,0.4915390269637263,1.0,0.4381553874853372,0.0,4.967750072479248,0.7336572950945777,0.0,5.247738838195801,dumbbell,3,0,proxy
1439,42.81210292124083,0.99,0.2947020512443602,1.0,0.42357287068011623,0.0,5.195257186889648,0.2226589956615102,0.0,4.7811689376831055,dumbbell,3,0,proxy
1003,43.6569644178917,0.99,0.3349214659511096,1.0,0.2693230468846303,0.0,5.065152168273926,0.12075564478632143,0.0,4.64674186706543,dumbbell,3,0,proxy
