kind,dim,seed,score,ks
hyperbolic,3,0,0.012633669489359737,-39.245911057546216
hyperbolic,3,0,0.039306291914864414,-39.245911057546216
hyperbolic,3,0,0.01578140862272084,-39.245911057546216
hyperbolic,3,0,0.034095935578223636,-39.245911057546216
hyperbolic,3,0,0.15585792520448719,-39.245911057546216
hyperbolic,3,0,0.05348791193166254,-39.245911057546216
hyperbolic,3,0,0.036301499958652866,-39.245911057546216
hyperbolic,3,0,0.025745571400586822,-39.245911057546216
hyperbolic,3,0,0.003338572904180919,-39.245911057546216
hyperbolic,3,0,0.03990006310134016,-39.245911057546216
hyperbolic,3,0,0.016222505070191608,-39.245911057546216
hyperbolic,3,0,0.02832732199979901,-39.245911057546216
hyperbolic,3,0,0.004753208276286787,-39.245911057546216
hyperbolic,3,0,-0.008848969674277726,-39.245911057546216
hyperbolic,3,0,0.005116957549551271,-39.245911057546216
hyperbolic,3,0,0.06810530774767361,-39.245911057546216
hyperbolic,3,0,-0.005316351061762269,-39.245911057546216
hyperbolic,3,0,-0.02630547351393156,-39.245911057546216
hyperbolic,3,0,0.062229518284815794,-39.245911057546216
hyperbolic,3,0,0.018681695817154013,-39.245911057546216
hyperbolic,3,0,0.01109075967011166,-39.245911057546216
hyperbolic,3,0,0.013421072734785641,-39.245911057546216
hyperbolic,3,0,0.028820438614674083,-39.245911057546216
hyperbolic,3,0,0.012449922983804287,-39.245911057546216
hyperbolic,3,0,0.021510256024766847,-39.245911057546216
hyperbolic,3,0,0.0021735528397329833,-39.245911057546216
hyperbolic,3,0,0.028554451792445115,-39.245911057546216
hyperbolic,3,0,0.10614812736066476,-39.245911057546216
hyperbolic,3,0,0.030520036323418796,-39.245911057546216
hyperbolic,3,0,0.02375176972317335,-39.245911057546216
hyperbolic,3,0,0.026415614227436553,-39.245911057546216
hyperbolic,3,0,0.04532539058371373,-39.245911057546216
hyperbolic,3,0,0.024834699754383724,-39.245911057546216
hyperbolic,3,0,0.06046359780230576,-39.245911057546216
hyperbolic,3,0,0.028929455716125388,-39.245911057546216
torus,2,0,-0.02821162494647317,0.0
torus,2,0,0.002925664568997257,0.0
torus,2,0,0.0005422283004087522,0.0
torus,2,0,0.006277691965372846,0.0
torus,2,0,-0.0009342591507864456,0.0
torus,2,0,-0.01984985626067626,0.0
torus,2,0,0.006173662847410499,0.0
torus,2,0,-1.8723333915268703e-05,0.0
torus,2,0,-0.004172818078043832,0.0
torus,2,0,0.02089727667553249,0.0
torus,2,0,-0.01570043533285271,0.0
torus,2,0,-0.0003581600572519321,0.0
torus,2,0,0.004893022117442546,0.0
torus,2,0,-0.013182148707370323,0.0
torus,2,0,-0.01892839383082453,0.0
torus,2,0,0.019945092090228055,0.0
torus,2,0,0.0074236935156590175,0.0
torus,2,0,-0.0025844670444261537,0.0
torus,2,0,0.006896305303281801,0.0
torus,2,0,-0.024052970964177942,0.0
torus,2,0,0.019673985771214524,0.0
torus,2,0,-0.029296124618991337,0.0
torus,2,0,-0.02318566380213592,0.0
torus,2,0,-0.009631777835379541,0.0
torus,2,0,0.018678471897564768,0.0
torus,2,0,-0.00182625895239669,0.0
torus,2,0,0.002140620811657532,0.0
torus,2,0,-0.024472019153855842,0.0
torus,2,0,6.219723614788245e-05,0.0
torus,2,0,-0.0058127362677373555,0.0
torus,2,0,-0.013577685464160535,0.0
torus,2,0,0.01321286697864199,0.0
torus,2,0,-0.00852613852115074,0.0
torus,2,0,0.016560583804614795,0.0
torus,2,0,-0.0002773246219265023,0.0
torus,2,0,-0.03241204397291869,0.0
torus,2,0,-0.009858595580489463,0.0
torus,2,0,0.020279131138128587,0.0
torus,2,0,-0.007316782418959916,0.0
torus,2,0,0.004101426810789507,0.0
torus,3,0,-0.001961773824810463,0.0
torus,3,0,0.01109482356205839,0.0
torus,3,0,-0.0007168536557370132,0.0
torus,3,0,-0.002270827988876876,0.0
torus,3,0,-0.007106763068350314,0.0
torus,3,0,-0.011867472946393846,0.0
torus,3,0,-0.0070949881233236395,0.0
torus,3,0,0.0026363394786574484,0.0
torus,3,0,0.0011636398969181554,0.0
torus,3,0,0.001537701761286099,0.0
torus,3,0,-0.001989477551728347,0.0
torus,3,0,-0.010499577640220761,0.0
torus,3,0,-0.0010224691361570143,0.0
torus,3,0,0.002370354013034693,0.0
torus,3,0,-0.016102792678567485,0.0
torus,3,0,9.032249376474469e-05,0.0
torus,3,0,-0.003706403774861474,0.0
torus,3,0,-0.002419629282428778,0.0
torus,3,0,-0.022267781109915896,0.0
torus,3,0,-0.004059805089331257,0.0
torus,3,0,-0.0035466339416816706,0.0
torus,3,0,-0.002090722062983906,0.0
torus,3,0,0.00011723986145398962,0.0
torus,3,0,-0.0010582811598545579,0.0
torus,3,0,0.007189889634859736,0.0
torus,3,0,0.02827726962653292,0.0
torus,3,0,-0.0018460604413726676,0.0
torus,3,0,-0.007429321891635816,0.0
torus,3,0,-0.001252798546999636,0.0
torus,3,0,0.00282871470622521,0.0
torus,3,0,-0.00909749706275298,0.0
torus,3,0,-0.006722941752273916,0.0
torus,3,0,-0.012338906521790077,0.0
torus,3,0,0.0032756558042129277,0.0
torus,3,0,-0.00017623449744968989,0.0
torus,3,0,-0.022955249169414653,0.0
torus,3,0,0.00046889448403852896,0.0
torus,3,0,-0.001169682609225564,0.0
torus,3,0,-0.06030137582855748,0.0
torus,3,0,0.008061005664334028,0.0
sphere,2,0,0.014087676879413286,4.926430452997441
sphere,2,0,0.007099890008348209,4.926430452997441
sphere,2,0,-0.0234952683912362,4.926430452997441
sphere,2,0,0.011035362869708087,4.926430452997441
sphere,2,0,0.021765063501827456,4.926430452997441
sphere,2,0,-0.016373867717909055,4.926430452997441
sphere,2,0,0.005336163149359648,4.926430452997441
sphere,2,0,-0.004104804260991569,4.926430452997441
sphere,2,0,0.023743194581699732,4.926430452997441
sphere,2,0,-0.006656188463768149,4.926430452997441
