d,seed,branch,est,ks,integ_sign,integ_mag,v4_m60,ent_cak,sent
5,0,D,diffusion_t4,21.74911536245209,-0.47627326484919774,-4.696797551941846,-170.0995452417075,-4.889091408442349,-5.02186109437608
5,0,D,diffusion_t4,24.40076392053056,0.4926874311902705,0.6102916900947801,-12.338757779866363,40.80427830769607,8.05317555764049
5,0,D,diffusion_t4,26.972586419979983,0.41599160860807183,-0.9675965123527535,-26.57845025578275,28.134081720095974,0.18974688903914447
5,0,D,diffusion_t4,30.417879015943825,-0.11609737783862928,-0.6104855093620608,-38.183031714316314,12.141823431842358,1.1914030276268293
5,0,D,diffusion_t4,32.87920687152628,-0.113105979349796,-2.1171998611131486,-74.92635360399413,7.819927042852863,-3.3870830388662805
5,0,D,diffusion_t4,34.93024350368683,-0.06941682130854915,-1.4285565809109229,-40.84807585397047,21.06214969467569,2.5837230272899947
5,0,D,diffusion_t4,37.50867041004193,-0.17018721747312593,-0.8353622845443588,-102.9191653419308,4.145685250968881,-3.820887210219126
5,0,D,diffusion_t4,39.94204071714431,-0.275462012301967,-0.6761867129069039,-98.79504205065103,1.7246504505595286,-1.7230263913137802
5,0,D,diffusion_t4,41.70666760573813,-0.40322672707757506,-1.1204824659381154,-120.4149332073027,0.31858688915871236,-3.357026318304579
5,0,D,diffusion_t4,43.37483662264934,-0.1377342646468252,-1.616480988125433,-60.25408996369988,17.38657046428452,-1.2638056856224176
5,0,D,diffusion_t4,45.23724507872123,-0.12623613119814908,-1.965147322919572,-45.91294371000266,23.22864645162593,-1.7240083803752666
5,0,D,diffusion_t4,46.655189345072365,-0.48559848020602564,-2.750474127457833,-131.64053381164058,-1.9251469415816032,-4.966469430209968
5,0,D,diffusion_t4,47.81255722327232,-0.4830902977816856,-5.133308161307051,-143.62122011202194,-5.125302929654324,-4.718569989487453
5,0,D,diffusion_t4,48.94985583734614,-0.08072852471330916,-0.4886316743896341,-31.707453218747613,14.32637560863963,0.6820047762597795
5,0,D,diffusion_t4,50.09299982678168,-0.05950392083786493,-1.104345218912773,-47.272146115489946,22.43728047222446,-2.219746994244539
5,0,D,diffusion_t4,51.01762680425846,0.4955390006712084,1.139548654555262,-6.196965040244393,49.52792429762616,14.63118619169153
5,0,D,diffusion_t4,51.73309924448142,-0.4762251205876279,-2.123300409087055,-143.79684910403375,-1.6170300271149642,-4.197977703756348
5,0,D,diffusion_t4,52.21879784472452,-0.17018721747312593,-0.8353622845443588,-95.56412535139528,4.94436195842653,-4.492814864861641
5,0,D,diffusion_t4,52.49937845416367,-0.25520080797090344,-2.403051133861882,-60.23551927809398,14.997832996474411,-3.8425980878208557
5,0,D,diffusion_t4,52.621398144179125,-0.3799526299343427,-2.6238293385379388,-78.6611871364864,0.69490413074524,-6.456862556113888
5,0,D,heatgeo_t2,-18.649853427823356,0.495507249047879,2.6796324647261582,0.896027099274561,0.0,0.8674094024294587
5,0,D,heatgeo_t2,-12.074076382063264,0.4970224518326143,2.916657102239577,4.204002568638339,0.0,2.328560102811986
5,0,D,heatgeo_t2,2.2962247736213577,0.49510194867916124,2.909238328486837,3.194660608804468,0.0,12.206058269044256
5,0,D,heatgeo_t2,16.512424390223224,0.4940052163109565,2.725561339994017,-1.0286078708686939,0.0,4.87262932309497
5,0,D,heatgeo_t2,21.74911536245209,0.49430650365672113,2.693404853459726,-1.2410990483871605,0.0,1.5742169203171938
5,0,D,heatgeo_t2,24.40076392053056,0.48615097191748047,2.9522008086981453,3.3746355411672204,0.0,16.63716022749295
5,0,D,heatgeo_t2,26.972586419979983,0.49621204641652683,2.5725133023955133,-3.4774984204539816,0.0,7.17192632115829
5,0,D,heatgeo_t2,30.417879015943825,0.4940052163109565,2.725561339994017,-1.3837438616672126,0.0,4.496799675981434
5,0,D,heatgeo_t2,32.87920687152628,0.4913496699841515,2.707470094915259,-0.31394535057636275,0.0,5.674995659030811
5,0,D,heatgeo_t2,34.93024350368683,0.49577561813685167,2.9299839116668123,3.87125232070712,0.0,9.355216688113268
5,0,D,heatgeo_t2,37.50867041004193,0.4933378011656836,2.630809351121905,-2.521051297528846,0.0,4.158243585828262
5,0,D,heatgeo_t2,39.94204071714431,0.49346454719041777,2.619071474225799,-2.6625686961086554,0.0,2.845423035187672
5,0,D,heatgeo_t2,41.70666760573813,0.49411934016331804,2.693404853459726,-1.1061311330482149,0.0,2.3878474955398876
5,0,D,heatgeo_t2,43.37483662264934,0.496347425324015,2.7805970527343575,2.0478908165877088,0.0,3.769791803095831
5,0,D,heatgeo_t2,45.23724507872123,0.49570038958960483,3.055030542129508,5.009935599179337,0.0,7.197721448948193
5,0,D,heatgeo_t2,46.655189345072365,0.4940052163109565,2.6676011981220866,-1.0541517807562626,0.0,3.506335386876043
5,0,D,heatgeo_t2,47.81255722327232,0.49151391638966213,2.713176828406842,-0.1231052636768153,0.0,1.98109520301467
5,0,D,heatgeo_t2,48.94985583734614,0.4940052163109565,2.7162827117607415,-1.4717353176422272,0.0,5.799246689334832
5,0,D,heatgeo_t2,50.09299982678168,0.4961329103784903,2.7805970527343575,1.703843734740146,0.0,3.3891545594035333
5,0,D,heatgeo_t2,51.01762680425846,0.47799155214454137,2.9607738233564285,3.7762418010124157,0.0,20.748581168625886
5,0,D,heatgeo_t2,51.73309924448142,0.49526920019593,2.7068704993469725,0.5096659693093871,0.0,3.3627988207219968
5,0,D,heatgeo_t2,52.21879784472452,0.49621204641652683,2.4261353190559296,-3.782661625659798,0.0,3.7447282609096164
5,0,D,heatgeo_t2,52.49937845416367,0.49660390577897506,2.891561419813216,3.688304014829408,0.0,4.437311361096807
5,0,D,heatgeo_t2,52.621398144179125,0.49151391638966213,2.6753136083809683,-0.1677702468071781,0.0,2.3661400748068018
5,1,B,plain,-18.648436104658742,0.28233673322735475,-0.0072719976499076985,0.06850808860075995,10.093708792081879,15.928019422180961
5,1,B,plain,-12.713530228899094,0.230193434121436,-0.22947495839599624,0.6975745682157056,6.522688528145734,17.39508786091565
5,1,B,plain,0.13611110659419884,0.3354752906909443,-0.0805558477595881,1.524522850141589,6.134539888908999,28.1836900476434
5,1,B,plain,14.993673154711674,0.4985945952660634,0.8157597402793166,4.662028481211664,9.810738276051858,71.69412403521389
5,1,B,plain,22.341765314293752,0.35573313047115296,0.21667998987036238,2.381064620315682,7.231035826980946,87.6064962950093
