variant,mani,seed,ks,dH
asym,torus_rev,1,8.468406708314586,0.5715477056638525
asym,torus_rev,1,8.61828264671411,0.5745020719864575
asym,torus_rev,1,8.724665990732344,0.5684041036774836
asym,torus_rev,1,8.825094470305652,0.5492629710299362
asym,torus_rev,1,8.899098248611756,0.5875536907653967
asym,torus_rev,1,8.948447201918071,0.5998500049836295
asym,torus_rev,1,8.985834049085405,0.615458983779436
asym,torus_rev,1,9.015029107308823,0.5763665602234225
asym,flat_null,0,0.0,0.04960358179056179
asym,flat_null,0,0.0,0.061134621540370304
asym,flat_null,0,0.0,0.05698650454316212
asym,flat_null,0,0.0,0.05067507176377006
asym,flat_null,0,0.0,0.08367770723400358
asym,flat_null,0,0.0,0.06249936584455984
asym,flat_null,0,0.0,0.055662222256597005
asym,flat_null,0,0.0,0.054157656367476825
asym,flat_null,0,0.0,0.05894323185962769
asym,flat_null,0,0.0,0.06678851416128229
asym,flat_null,0,0.0,0.05868258024009787
asym,flat_null,0,0.0,0.05089393474779147
asym,flat_null,0,0.0,0.051138283946079
asym,flat_null,0,0.0,0.05727157068280242
asym,flat_null,0,0.0,0.05734224182148662
asym,flat_null,0,0.0,0.06942639409243245
asym,flat_null,0,0.0,0.05875230815917121
asym,flat_null,0,0.0,0.07357605285874502
asym,flat_null,0,0.0,0.07867592496522224
asym,flat_null,0,0.0,0.048640188668450435
asym,flat_null,0,0.0,0.06969856583243583
asym,flat_null,0,0.0,0.05374873518878687
asym,flat_null,0,0.0,0.07993095987401055
asym,flat_null,0,0.0,0.05497184015861034
asym,flat_null,0,0.0,0.06585202467892426
asym,flat_null,0,0.0,0.06815147889572071
asym,flat_null,0,0.0,0.06157430489386595
asym,flat_null,0,0.0,0.06056684618779151
asym,flat_null,0,0.0,0.04308583582460468
asym,flat_null,0,0.0,0.06953503273061834
asym,flat_null,0,0.0,0.05637668725328027
asym,flat_null,0,0.0,0.03785889184814284
asym,flat_null,0,0.0,0.048849414571167316
asym,flat_null,0,0.0,0.04717480486051695
asym,flat_null,0,0.0,0.05093354403381323
asym,flat_null,0,0.0,0.058172699585504084
asym,flat_null,0,0.0,0.05387911821950642
asym,flat_null,0,0.0,0.06851849421890144
asym,flat_null,0,0.0,0.05949103259344479
asym,flat_null,0,0.0,0.067188987573088
asym,flat_null,1,0.0,0.053312037127474454
asym,flat_null,1,0.0,0.06830447164715103
asym,flat_null,1,0.0,0.05727674962761231
asym,flat_null,1,0.0,0.08282956036163736
asym,flat_null,1,0.0,0.08688245893411839
asym,flat_null,1,0.0,0.05842877674043834
asym,flat_null,1,0.0,0.05908573073407286
asym,flat_null,1,0.0,0.052677838383135445
asym,flat_null,1,0.0,0.06375479856431454
asym,flat_null,1,0.0,0.07177292649326983
asym,flat_null,1,0.0,0.06679704075678217
asym,flat_null,1,0.0,0.05823868677970978
asym,flat_null,1,0.0,0.050506729445249476
asym,flat_null,1,0.0,0.054666503159690905
asym,flat_null,1,0.0,0.056602442471296754
asym,flat_null,1,0.0,0.07158789900360318
asym,flat_null,1,0.0,0.05292708592781814
asym,flat_null,1,0.0,0.06693228977579402
asym,flat_null,1,0.0,0.06916918080540935
asym,flat_null,1,0.0,0.060695896049204556
asym,flat_null,1,0.0,0.05894393178231194
asym,flat_null,1,0.0,0.058174074045351354
asym,flat_null,1,0.0,0.05302916546486536
asym,flat_null,1,0.0,0.05666917703593288
asym,flat_null,1,0.0,0.05881078958066599
asym,flat_null,1,0.0,0.0687227243348616
asym,flat_null,1,0.0,0.06506967130180374
asym,flat_null,1,0.0,0.0562203400325787
asym,flat_null,1,0.0,0.06783115334235035
asym,flat_null,1,0.0,0.05408566821613636
asym,flat_null,1,0.0,0.06908703342485545
asym,flat_null,1,0.0,0.05175239024989242
asym,flat_null,1,0.0,0.07017905926755397
asym,flat_null,1,0.0,0.07467966063607001
asym,flat_null,1,0.0,0.0691213663434187
asym,flat_null,1,0.0,0.060765003235646375
asym,flat_null,1,0.0,0.05442260534693588
asym,flat_null,1,0.0,0.06428769732079243
asym,flat_null,1,0.0,0.06544763856038127
asym,flat_null,1,0.0,0.06668246049170978
sym,dumbbell3,0,-100.98038770763571,0.13457368490699562
sym,dumbbell3,0,-35.10373318412146,0.1772687323968345
sym,dumbbell3,0,-3.2698901084480125,0.21494503468596804
sym,dumbbell3,0,9.21237395187421,0.32290335225678746
sym,dumbbell3,0,9.572592024326834,0.3426553201429341
sym,dumbbell3,0,10.084506710193684,0.333203930646663
sym,dumbbell3,0,10.771652356371833,0.3427150989529313
sym,dumbbell3,0,11.949148307862986,0.32263760384690343
sym,dumbbell3,0,12.911744989550959,0.35933123254730326
sym,dumbbell3,0,13.63039744661815,0.35271416271289
sym,dumbbell3,0,14.512584609323081,0.36150704260540856
sym,dumbbell3,0,16.18792184907144,0.32525264209209404
sym,dumbbell3,0,17.36463723140334,0.36562177670561535
sym,dumbbell3,0,18.677811041217137,0.34061768791374014
sym,dumbbell3,0,19.941080272606268,0.33470239039293137
sym,dumbbell3,0,21.15811157942714,0.34493222341537066
sym,dumbbell3,0,22.441566198805248,0.34655625766576037
sym,dumbbell3,0,24.222374429972405,0.32880901215756975
sym,dumbbell3,0,25.355393493804936,0.3545274376159
sym,dumbbell3,0,26.66994041952738,0.2785328947228951
sym,dumbbell3,0,28.03275788542517,0.33186187523046673
sym,dumbbell3,0,29.362790845230446,0.3645300868411514
sym,dumbbell3,0,30.9442907685624,0.36847181631216497
sym,dumbbell3,0,32.490847551427265,0.34776186985055446
sym,dumbbell3,0,33.829051560588866,0.3528554907574728
sym,dumbbell3,0,34.88100112359251,0.3305761198063131
sym,dumbbell3,0,36.210822375595235,0.26359766779431215
sym,dumbbell3,0,37.671841522123,0.23095854332350907
sym,dumbbell3,0,38.75477816406666,0.3448089771973155
sym,dumbbell3,0,40.17035708617723,0.33395502226074925
sym,dumbbell3,0,41.34855413853904,0.3450994213168972
sym,dumbbell3,0,42.152672214680265,0.3249646499223875
sym,dumbbell3,0,43.170516128082774,0.30609449922028986
sym,dumbbell3,0,44.31022148978964,0.3381405555186827
sym,dumbbell3,0,44.863477913583516,0.32613437618880603
sym,dumbbell3,0,45.456158609640035,0.3155522645780442
sym,dumbbell3,0,45.88779143198147,0.34703691715676754
sym,dumbbell3,0,46.334131442996664,0.3299581691582407
