kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,point,config
1.0,120,-0.00411392451282335,-7.914074571975979e-06,-0.003711723151582061,25.374309386931095,-0.11483140109754542,dumbbell,3,0,99,allpairs
1.0,120,-0.0006090073532919023,-5.706953766744978e-06,-0.0016341908004360072,26.65906270423327,0.03473245205680879,dumbbell,3,0,4,allpairs
1.0,120,-0.0008625652837298253,1.3907249088636794e-05,0.000325002168257274,28.095934746903342,-0.18134599333265453,dumbbell,3,0,769,allpairs
1.0,120,-0.004132107891458695,1.979984211579004e-05,-0.00033661672728125484,29.234223271464472,-0.285641241454493,dumbbell,3,0,679,allpairs
1.0,120,-0.0003145717459640096,-1.4248829844613434e-05,-0.0007065717976636908,31.29957588563446,0.054951998289711194,dumbbell,3,0,253,allpairs
1.0,120,0.0003712020788301314,-1.9544795365848227e-05,0.00046632339989801253,32.67450554782089,0.03920174723623395,dumbbell,3,0,973,allpairs
1.0,120,0.0005046440346274991,-1.480578530591951e-06,-0.005160714470105184,34.170121652179205,0.08654102097167277,dumbbell,3,0,161,allpairs
1.0,120,0.0005391638914362591,-1.174788855914007e-05,-0.0043835133762256395,35.12076674663931,-0.09264037599775252,dumbbell,3,0,1123,allpairs
1.0,120,-0.0008249546113916348,-6.294944503437705e-07,0.0029387846918116282,36.66965487982494,0.04338629349310777,dumbbell,3,0,1113,allpairs
1.0,120,-0.0011527155652540032,1.3282757869011638e-05,0.001324511292056229,38.00148624109423,-0.21409530493704143,dumbbell,3,0,85,allpairs
1.0,120,0.00035705378903760085,4.212529057430932e-07,-0.004019758846674982,39.167770217453636,-0.07569651748575558,dumbbell,3,0,695,allpairs
1.0,120,-0.0015953721272462897,7.255796841872571e-06,-0.008737698680612681,40.50296448263839,-0.027014110311533963,dumbbell,3,0,84,allpairs
1.0,120,-0.0018446000026192677,-2.7120553876732365e-06,-0.003598178829725452,41.41889085107839,-0.09444067577134217,dumbbell,3,0,258,allpairs
1.0,120,0.001105345660691583,-2.102925779734477e-05,0.00039806817734906524,42.5316051546919,-0.06061724877793076,dumbbell,3,0,857,allpairs
1.0,120,0.00046498276852337717,-1.6771180744908538e-05,-0.005171561203239984,43.79770662711509,-0.011535890073582925,dumbbell,3,0,355,allpairs
1.0,120,0.00044718996039495385,-1.4133846129323521e-05,0.003733222192440316,44.557683091256614,-0.004535743235042758,dumbbell,3,0,245,allpairs
1.0,120,-0.00010844510370325487,-2.3765367102394444e-06,-0.003875431570719694,45.13023790461044,0.06492254871247731,dumbbell,3,0,558,allpairs
1.0,120,0.0009575576661483852,-4.369886105711392e-06,-0.0010818353621885588,45.722047171020655,-0.05025234133390102,dumbbell,3,0,815,allpairs
1.0,120,-0.003209680178929767,1.0967335724624641e-05,-0.0033175259384798862,46.18814958615783,-0.251138528880298,dumbbell,3,0,997,allpairs
1.0,120,-0.0020690862270816924,1.1342184128200946e-05,-0.0018735138568768631,46.59210676352138,-0.12586813978525802,dumbbell,3,0,47,allpairs
1.0,120,-0.0011134370918177705,6.199523954345902e-06,0.0014142927898175635,46.80349761232324,-0.21789631434359374,dumbbell,3,0,419,allpairs
1.0,120,0.0006278984902107282,-2.4818158588383692e-05,-0.006487358058111391,46.89158444780291,0.08345195951078563,dumbbell,3,0,463,allpairs
1.0,120,0.00263571958176273,7.829962237101048e-06,-0.006663680693843034,-162.58837866467266,-0.5250093866129923,dumbbell,3,0,208,center
1.0,120,-0.004236202139504033,5.4617213903540573e-05,-0.008877148347592833,-76.54376649368484,-0.4676023806563709,dumbbell,3,0,595,center
1.0,120,-0.002271627034948514,-8.665410002587729e-06,0.004330559791383602,-29.818401645150427,-0.45227098086747936,dumbbell,3,0,34,center
1.0,120,0.0005823541181236107,4.306728827785378e-06,-0.0061197197219169126,5.223564145134746,-0.47372109707403515,dumbbell,3,0,593,center
1.0,121,-0.002927220854168174,-2.436700956417089e-05,0.003851049348515098,9.427481819720276,-0.3982993485016337,dumbbell,3,0,781,center
1.0,120,-0.008601678071343904,2.757888144522269e-06,-0.0070054548535705575,9.808983825972199,-0.4514548140962567,dumbbell,3,0,198,center
1.0,120,1.2136301494769519e-05,7.703687102159998e-06,-0.00817772370430566,10.426289623503726,-0.4880088336515258,dumbbell,3,0,744,center
1.0,120,0.002035903102148768,-2.677790587461241e-05,-0.005104993922230643,11.815381734802955,-0.3435561980720153,dumbbell,3,0,156,center
1.0,120,-0.0007964331959804558,3.246991079416025e-05,-0.002442486587476818,12.70083357459393,-0.39894066833443725,dumbbell,3,0,1047,center
1.0,120,-0.0023220099329470914,2.372444790251412e-06,-0.00574950191268962,13.483820822848784,-0.36040845089190654,dumbbell,3,0,949,center
1.0,120,-0.00433611322210938,4.554185160247452e-06,0.0006319659813635188,14.458031237419936,-0.3785365354792402,dumbbell,3,0,767,center
1.0,120,-0.0012218520293879312,3.866861660295484e-05,0.00021017322366101389,16.191747919914384,-0.46839227639319186,dumbbell,3,0,592,center
