regime,kind,true_d,noise,rdhat,dhat_err,ks,iid,integ_sign_A_warped,integ_mag_A_warped,integ_sign_A_aug,integ_mag_A_aug,v4_m60_A,v4_m120_A,v3_defect_A,sent_A,ent_cak_A,frac_A,kappa_A,integ_sign_B_warped,integ_mag_B_warped,integ_sign_B_aug,integ_mag_B_aug,v4_m60_B,v4_m120_B,v3_defect_B,sent_B,ent_cak_B,frac_B,kappa_B,integ_sign_C_warped,integ_mag_C_warped,integ_sign_C_aug,integ_mag_C_aug,v4_m60_C,v4_m120_C,v3_defect_C,sent_C,ent_cak_C,frac_C,kappa_C,integ_sign_D_warped,integ_mag_D_warped,integ_sign_D_aug,integ_mag_D_aug,v4_m60_D,v4_m120_D,v3_defect_D,sent_D,ent_cak_D,frac_D,kappa_D
tier2,dumbbell,3,0.0,3,0,23.930187733098002,tier2-dumbbell-d3-nz0.0-s0-g0,0.4995199679478991,0.34331041647762045,0.498786139713735,0.2795760986712555,43778040.9814022,72.9930034829049,2.2497776043210655,33.20649460852885,-0.7598590064592089,0.2951630096178518,-2.3028807897380843,0.4995199679478991,0.34331041647762045,0.498786139713735,0.2795760986712555,43778040.9814022,72.9930034829049,2.2497776043210655,33.20649460852885,-0.7598590064592089,0.2951630096178518,-2.3028807897380843,0.4995199679478991,0.34331041647762045,0.498786139713735,0.2795760986712555,43778040.9814022,72.9930034829049,2.2497776043210655,33.20649460852885,-0.7598590064592089,0.2951630096178518,-2.3028807897380843,0.4995199679478991,0.34331041647762045,0.498786139713735,0.2795760986712555,43778040.9814022,72.9930034829049,2.2497776043210655,33.20649460852885,-0.7598590064592089,0.2951630096178518,-2.3028807897380843
tier2,dumbbell,3,0.0,3,0,26.1339220942419,tier2-dumbbell-d3-nz0.0-s0-g0,0.4946594658650897,0.15608852274866145,0.48900312162920756,0.13267622127896378,23526658.057947174,23.820796691229575,1.3880410801682586,15.26639456430646,-2.313718979630874,-24.4985297982817,-7.350303370694948,0.4946594658650897,0.15608852274866145,0.48900312162920756,0.13267622127896378,23526658.057947174,23.820796691229575,1.3880410801682586,15.26639456430646,-2.313718979630874,-24.4985297982817,-7.350303370694948,0.4946594658650897,0.15608852274866145,0.48900312162920756,0.13267622127896378,23526658.057947174,23.820796691229575,1.3880410801682586,15.26639456430646,-2.313718979630874,-24.4985297982817,-7.350303370694948,0.4946594658650897,0.15608852274866145,0.48900312162920756,0.13267622127896378,23526658.057947174,23.820796691229575,1.3880410801682586,15.26639456430646,-2.313718979630874,-24.4985297982817,-7.350303370694948
tier2,dumbbell,3,0.0,3,0,28.440484115332307,tier2-dumbbell-d3-nz0.0-s0-g0,0.49970149193115276,0.3686725266365071,0.4993521873496586,0.2948709052427075,47354095.086731926,78.68524306595293,2.9007839773708755,33.08599782809803,-1.0422628320329737,0.2951630096178518,5.02089073817971,0.49970149193115276,0.3686725266365071,0.4993521873496586,0.2948709052427075,47354095.086731926,78.68524306595293,2.9007839773708755,33.08599782809803,-1.0422628320329737,0.2951630096178518,5.02089073817971,0.49970149193115276,0.3686725266365071,0.4993521873496586,0.2948709052427075,47354095.086731926,78.68524306595293,2.9007839773708755,33.08599782809803,-1.0422628320329737,0.2951630096178518,5.02089073817971,0.49970149193115276,0.3686725266365071,0.4993521873496586,0.2948709052427075,47354095.086731926,78.68524306595293,2.9007839773708755,33.08599782809803,-1.0422628320329737,0.2951630096178518,5.02089073817971
tier2,dumbbell,3,0.0,3,0,31.39539994299625,tier2-dumbbell-d3-nz0.0-s0-g0,0.49990996682802025,0.3578212494507469,0.49928409942719054,0.3138982072134605,66966047.26959993,88.38275702337168,3.6836112079227394,25.207484911662384,-1.490350117306096,0.2951630096178518,-2.0407304709161718,0.49990996682802025,0.3578212494507469,0.49928409942719054,0.3138982072134605,66966047.26959993,88.38275702337168,3.6836112079227394,25.207484911662384,-1.490350117306096,0.2951630096178518,-2.0407304709161718,0.49990996682802025,0.3578212494507469,0.49928409942719054,0.3138982072134605,66966047.26959993,88.38275702337168,3.6836112079227394,25.207484911662384,-1.490350117306096,0.2951630096178518,-2.0407304709161718,0.49990996682802025,0.3578212494507469,0.49928409942719054,0.3138982072134605,66966047.26959993,88.38275702337168,3.6836112079227394,25.207484911662384,-1.490350117306096,0.2951630096178518,-2.0407304709161718
tier2,dumbbell,3,0.0,3,0,33.751292532534904,tier2-dumbbell-d3-nz0.0-s0-g0,0.4996958589798476,0.417182530828464,0.4994006728815532,0.314089284620197,58562559.73543918,82.26355241934453,2.95173603602544,27.743680713744844,-1.7817598488190793,0.2951630096178518,-11.158287276183815,0.4996958589798476,0.417182530828464,0.4994006728815532,0.314089284620197,58562559.73543918,82.26355241934453,2.95173603602544,27.743680713744844,-1.7817598488190793,0.2951630096178518,-11.158287276183815,0.4996958589798476,0.417182530828464,0.4994006728815532,0.314089284620197,58562559.73543918,82.26355241934453,2.95173603602544,27.743680713744844,-1.7817598488190793,0.2951630096178518,-11.158287276183815,0.4996958589798476,0.417182530828464,0.4994006728815532,0.314089284620197,58562559.73543918,82.26355241934453,2.95173603602544,27.743680713744844,-1.7817598488190793,0.2951630096178518,-11.158287276183815
tier2,dumbbell,3,0.0,3,0,35.82051730889524,tier2-dumbbell-d3-nz0.0-s0-g0,0.4992464225093597,0.32036830511637926,0.49656606621805655,0.27023623981441036,51595139.35021491,86.59110234015834,1.9398833688870618,30.309373837261095,-0.6711821276117499,0.2951630096178518,5.040403482080983,0.4992464225093597,0.32036830511637926,0.49656606621805655,0.27023623981441036,51595139.35021491,86.59110234015834,1.9398833688870618,30.309373837261095,-0.6711821276117499,0.2951630096178518,5.040403482080983,0.4992464225093597,0.32036830511637926,0.49656606621805655,0.27023623981441036,51595139.35021491,86.59110234015834,1.9398833688870618,30.309373837261095,-0.6711821276117499,0.2951630096178518,5.040403482080983,0.4992464225093597,0.32036830511637926,0.49656606621805655,0.27023623981441036,51595139.35021491,86.59110234015834,1.9398833688870618,30.309373837261095,-0.6711821276117499,0.2951630096178518,5.040403482080983
tier2,dumbbell,3,0.0,3,0,38.28378103440106,tier2-dumbbell-d3-nz0.0-s0-g0,0.4979420372705359,0.23235236593071182,0.49646095807471213,0.132626489276041,50088676.33716563,35.20744445911689,-0.2886018500020669,22.226856628434273,-0.6705040767784882,-10.330705336624813,-5.159294473502534,0.4979420372705359,0.23235236593071182,0.49646095807471213,0.132626489276041,50088676.33716563,35.20744445911689,-0.2886018500020669,22.226856628434273,-0.6705040767784882,-10.330705336624813,-5.159294473502534,0.4979420372705359,0.23235236593071182,0.49646095807471213,0.132626489276041,50088676.33716563,35.20744445911689,-0.2886018500020669,22.226856628434273,-0.6705040767784882,-10.330705336624813,-5.159294473502534,0.4979420372705359,0.23235236593071182,0.49646095807471213,0.132626489276041,50088676.33716563,35.20744445911689,-0.2886018500020669,22.226856628434273,-0.6705040767784882,-10.330705336624813,-5.159294473502534
tier2,dumbbell,3,0.0,3,0,40.39078049155256,tier2-dumbbell-d3-nz0.0-s0-g0,0.4995892618592662,0.4124274607519101,0.49977447544324505,0.32831113571255616,63662731.862877324,88.16508930492705,2.6990560908883565,27.422902345041702,-0.8984269525476519,-3.2467931057963697,4.906948565811339,0.4995892618592662,0.4124274607519101,0.49977447544324505,0.32831113571255616,63662731.862877324,88.16508930492705,2.6990560908883565,27.422902345041702,-0.8984269525476519,-3.2467931057963697,4.906948565811339,0.4995892618592662,0.4124274607519101,0.49977447544324505,0.32831113571255616,63662731.862877324,88.16508930492705,2.6990560908883565,27.422902345041702,-0.8984269525476519,-3.2467931057963697,4.906948565811339,0.4995892618592662,0.4124274607519101,0.49977447544324505,0.32831113571255616,63662731.862877324,88.16508930492705,2.6990560908883565,27.422902345041702,-0.8984269525476519,-3.2467931057963697,4.906948565811339
tier2,dumbbell,3,0.0,3,0,42.152672214680265,tier2-dumbbell-d3-nz0.0-s0-g0,0.4999592154965673,0.4317774691329699,0.49950361177418245,0.37577510904116784,63762247.85842688,83.28547944705329,4.79815731218212,28.90064229388522,-1.0590293774772475,0.2951630096178518,-0.831228039442895,0.4999592154965673,0.4317774691329699,0.49950361177418245,0.37577510904116784,63762247.85842688,83.28547944705329,4.79815731218212,28.90064229388522,-1.0590293774772475,0.2951630096178518,-0.831228039442895,0.4999592154965673,0.4317774691329699,0.49950361177418245,0.37577510904116784,63762247.85842688,83.28547944705329,4.79815731218212,28.90064229388522,-1.0590293774772475,0.2951630096178518,-0.831228039442895,0.4999592154965673,0.4317774691329699,0.49950361177418245,0.37577510904116784,63762247.85842688,83.28547944705329,4.79815731218212,28.90064229388522,-1.0590293774772475,0.2951630096178518,-0.831228039442895
tier2,dumbbell,3,0.0,3,0,44.10480484670454,tier2-dumbbell-d3-nz0.0-s0-g0,0.49990697631737924,0.3658244528631521,0.4997187607922273,0.29603481645183766,57759119.897508666,82.9192078251502,3.356945152546225,27.035609335832497,-1.2203772236754609,0.2951630096178518,-2.784293431184859,0.49990697631737924,0.3658244528631521,0.4997187607922273,0.29603481645183766,57759119.897508666,82.9192078251502,3.356945152546225,27.035609335832497,-1.2203772236754609,0.2951630096178518,-2.784293431184859,0.49990697631737924,0.3658244528631521,0.4997187607922273,0.29603481645183766,57759119.897508666,82.9192078251502,3.356945152546225,27.035609335832497,-1.2203772236754609,0.2951630096178518,-2.784293431184859,0.49990697631737924,0.3658244528631521,0.4997187607922273,0.29603481645183766,57759119.897508666,82.9192078251502,3.356945152546225,27.035609335832497,-1.2203772236754609,0.2951630096178518,-2.784293431184859
