d,seed,corruption,est,chan,field_r
4,0,C05,plain,v4_m60,0.16748585533938534
4,0,C05,plain,v4_m120,0.25664251236284047
4,0,C05,plain,v3_defect,0.30001411584846965
4,0,C05,plain,sent,0.31356583893526185
4,0,C05,plain,ent_cak,0.007711122360952558
4,0,C05,plain,frac,0.06942462619006763
4,0,C05,plain,kappa,0.17446075122603127
4,0,C05,nugget,v4_m60,-0.11298527933055255
4,0,C05,nugget,v4_m120,-0.05660409330155933
4,0,C05,nugget,v3_defect,0.23322860383075608
4,0,C05,nugget,sent,0.12448431467315364
4,0,C05,nugget,ent_cak,-0.07300863653621602
4,0,C05,nugget,frac,-0.014751960887082945
4,0,C05,nugget,kappa,-0.4481917308501713
4,0,C05,pca,v4_m60,0.38921924315974865
4,0,C05,pca,v4_m120,0.29945222714694164
4,0,C05,pca,v3_defect,0.46177128606100654
4,0,C05,pca,sent,0.2689626448548743
4,0,C05,pca,ent_cak,0.018842862825490456
4,0,C05,pca,frac,0.06979514694281111
4,0,C05,pca,kappa,0.051573460936369594
4,0,C05,diffusion_t4,v4_m60,0.35201092481822205
4,0,C05,diffusion_t4,v4_m120,0.37360651633685676
4,0,C05,diffusion_t4,v3_defect,0.3124735416656936
4,0,C05,diffusion_t4,sent,0.2952965546702061
4,0,C05,diffusion_t4,ent_cak,-0.2650785102581186
4,0,C05,diffusion_t4,frac,0.24338834737071702
4,0,C05,diffusion_t4,kappa,0.3768032954014813
4,0,C05,diffusion_t8,v4_m60,-0.19344311354407423
4,0,C05,diffusion_t8,v4_m120,-0.35530962152391604
4,0,C05,diffusion_t8,v3_defect,0.12378256302863783
4,0,C05,diffusion_t8,sent,-0.02006632915618139
4,0,C05,diffusion_t8,ent_cak,-0.31807837437270253
4,0,C05,diffusion_t8,frac,-0.18027250675944925
4,0,C05,diffusion_t8,kappa,0.15182933494173378
4,0,C05,heatgeo_t2,v4_m60,-0.23965554860283306
4,0,C05,heatgeo_t2,v4_m120,-0.2771814277008558
4,0,C05,heatgeo_t2,v3_defect,0.30571834368466905
4,0,C05,heatgeo_t2,sent,0.4088323988978668
4,0,C05,heatgeo_t2,ent_cak,-0.3998755844116869
4,0,C05,heatgeo_t2,frac,
4,0,C05,heatgeo_t2,kappa,-0.2650592531627067
4,0,C05,heatgeo_t8,v4_m60,-0.1902160875289685
4,0,C05,heatgeo_t8,v4_m120,-0.2134810313651636
4,0,C05,heatgeo_t8,v3_defect,
4,0,C05,heatgeo_t8,sent,0.30909771456187557
4,0,C05,heatgeo_t8,ent_cak,
4,0,C05,heatgeo_t8,frac,
4,0,C05,heatgeo_t8,kappa,
4,0,C17,plain,v4_m60,-0.10374969769540672
4,0,C17,plain,v4_m120,-0.09326283335285425
