kind,dim,seed,noise,p,score,ks
dumbbell,3,0,0.15,47,-0.0639099672335709,46.58109716146477
dumbbell,3,0,0.15,858,0.01054969299789886,46.78366100056525
dumbbell,3,0,0.15,463,0.020729972504714794,46.88050407989436
dumbbell,3,1,0.0,139,-0.01087181776502633,-163.05027066742417
dumbbell,3,1,0.0,1123,0.007998016384506906,-76.88003186380682
dumbbell,3,1,0.0,956,-0.005476253022872458,-24.09841975894752
dumbbell,3,1,0.0,1074,0.003254056844630246,2.5730277625487803
dumbbell,3,1,0.0,537,-0.004981687484688746,9.319119850840071
dumbbell,3,1,0.0,1171,0.002641685653265908,9.827566486525761
dumbbell,3,1,0.0,536,-0.008987854275738033,10.438812379393847
dumbbell,3,1,0.0,119,0.038366799295009094,10.919434269402588
dumbbell,3,1,0.0,809,-0.005066098193073958,11.652628213180689
dumbbell,3,1,0.0,681,-0.018076636407283405,12.65772894428148
dumbbell,3,1,0.0,835,-0.010864097489857307,13.627705823524463
dumbbell,3,1,0.0,1316,-0.04240583135106592,15.005789679021255
dumbbell,3,1,0.0,771,-0.002284345960765037,16.609311436561743
dumbbell,3,1,0.0,913,0.010045549332149843,17.86615680810007
dumbbell,3,1,0.0,102,0.007242485894384164,19.4965709239538
dumbbell,3,1,0.0,620,0.012760711225562778,20.91953974494317
dumbbell,3,1,0.0,765,-0.005421553668645034,22.506692039720782
dumbbell,3,1,0.0,487,-0.009394209447798504,23.69355752798412
dumbbell,3,1,0.0,1052,0.004485543454159555,25.14902112794465
dumbbell,3,1,0.0,104,-0.007902391633905718,27.1739472461733
dumbbell,3,1,0.0,758,-0.005566614331422675,28.49430391385923
dumbbell,3,1,0.0,202,-0.00828525186012341,29.870041876865518
dumbbell,3,1,0.0,145,-0.00026043414862834957,30.830767641091178
dumbbell,3,1,0.0,969,0.01390014918447689,32.64198789118873
dumbbell,3,1,0.0,757,-0.0016936292441360468,34.034594406460805
dumbbell,3,1,0.0,960,-0.004777813855556451,35.64456075997031
dumbbell,3,1,0.0,845,0.006746884044933201,37.150282629317665
dumbbell,3,1,0.0,155,0.002080026877900938,38.24810646239497
dumbbell,3,1,0.0,25,0.0034758356918097102,39.44370346794428
dumbbell,3,1,0.0,945,-0.012966873699144621,40.72563108011806
dumbbell,3,1,0.0,146,0.005629579860957645,41.95839889743983
dumbbell,3,1,0.0,163,0.0017707726606545834,43.286215515250674
dumbbell,3,1,0.0,243,0.0008851231272979584,44.126163531638525
dumbbell,3,1,0.0,166,-0.0058593553197832,44.963590884730856
dumbbell,3,1,0.0,628,-0.017476916594036013,45.60179015267164
dumbbell,3,1,0.0,255,0.003060840764763824,46.140655932591855
dumbbell,3,1,0.0,312,-0.002480074997348595,46.585841203189986
dumbbell,3,1,0.0,472,0.013661697615431501,46.8878134227723
dumbbell,3,1,0.0,40,-0.023498058109116458,47.00198547578471
dumbbell,3,1,0.0,1108,-0.0161440063879182,47.04362380862414
dumbbell,3,1,0.15,139,-0.037848141433760356,-163.05027066742417
dumbbell,3,1,0.15,1123,-0.0347831884402946,-76.88003186380682
dumbbell,3,1,0.15,956,-0.02428373830924875,-24.09841975894752
dumbbell,3,1,0.15,1074,-0.010393298098285885,2.5730277625487803
dumbbell,3,1,0.15,537,-0.021730312149677293,9.319119850840071
dumbbell,3,1,0.15,1171,0.0006766508437322377,9.827566486525761
dumbbell,3,1,0.15,536,-0.011988558872749189,10.438812379393847
dumbbell,3,1,0.15,119,-0.026734730133129155,10.919434269402588
dumbbell,3,1,0.15,809,-0.0099718443138157,11.652628213180689
dumbbell,3,1,0.15,681,0.0013896109292405173,12.65772894428148
dumbbell,3,1,0.15,835,-0.024096752906459882,13.627705823524463
dumbbell,3,1,0.15,1316,-0.009269511502428034,15.005789679021255
dumbbell,3,1,0.15,771,-0.007515133302854013,16.609311436561743
dumbbell,3,1,0.15,913,0.019155786764194972,17.86615680810007
dumbbell,3,1,0.15,102,-0.002548625078136881,19.4965709239538
dumbbell,3,1,0.15,620,0.006896581813574221,20.91953974494317
dumbbell,3,1,0.15,765,0.004726840026974849,22.506692039720782
dumbbell,3,1,0.15,487,0.0,23.69355752798412
dumbbell,3,1,0.15,1052,-0.020523733290376014,25.14902112794465
dumbbell,3,1,0.15,104,-0.0012675447503681173,27.1739472461733
dumbbell,3,1,0.15,758,-0.01229495401492059,28.49430391385923
dumbbell,3,1,0.15,202,-0.014228210822940929,29.870041876865518
dumbbell,3,1,0.15,145,-0.013516264260261937,30.830767641091178
dumbbell,3,1,0.15,969,-0.04528144879639508,32.64198789118873
dumbbell,3,1,0.15,757,-0.014384178340756414,34.034594406460805
dumbbell,3,1,0.15,960,-0.011773926466753053,35.64456075997031
dumbbell,3,1,0.15,845,-0.019428829203471523,37.150282629317665
dumbbell,3,1,0.15,155,0.0067098630104448775,38.24810646239497
dumbbell,3,1,0.15,25,-0.0022260894092510364,39.44370346794428
dumbbell,3,1,0.15,945,-0.03488659574415664,40.72563108011806
dumbbell,3,1,0.15,146,0.020000651773546083,41.95839889743983
dumbbell,3,1,0.15,163,-0.0010371947186735252,43.286215515250674
dumbbell,3,1,0.15,243,-0.050208246862813874,44.126163531638525
dumbbell,3,1,0.15,166,-0.0087798038211791,44.963590884730856
dumbbell,3,1,0.15,628,-0.06140494054917417,45.60179015267164
dumbbell,3,1,0.15,255,-0.021450618204681388,46.140655932591855
dumbbell,3,1,0.15,312,-0.09454377473954695,46.585841203189986
dumbbell,3,1,0.15,472,0.01964133426161379,46.8878134227723
dumbbell,3,1,0.15,40,-0.00947342497798398,47.00198547578471
dumbbell,3,1,0.15,1108,-0.11475152931651425,47.04362380862414
dumbbell,4,0,0.0,81,0.0,-177.3815059230889
dumbbell,4,0,0.0,511,-0.002233800144974832,-49.41949171276938
dumbbell,4,0,0.0,636,0.000898461903648673,0.9607611399797991
dumbbell,4,0,0.0,171,0.0033912305778081575,18.99637088969146
dumbbell,4,0,0.0,113,0.0035069614806666795,20.34050608260089
dumbbell,4,0,0.0,442,-0.027837341369477044,22.0061720474397
dumbbell,4,0,0.0,1218,0.0028242322067910178,23.86804459044568
dumbbell,4,0,0.0,502,-0.004189627928721719,26.744696150183415
dumbbell,4,0,0.0,661,0.006164220103012347,29.011383141566515
dumbbell,4,0,0.0,376,-0.00185878649806712,31.0729842788763
dumbbell,4,0,0.0,912,0.0003997451902599987,32.60261432653966
dumbbell,4,0,0.0,876,-0.005877778252795396,35.42290357803252
dumbbell,4,0,0.0,168,0.0046779771190383485,37.95845568422312
dumbbell,4,0,0.0,1095,-0.0011804379945214265,40.15423671793787
dumbbell,4,0,0.0,180,-0.001175275103911775,42.0810034644934
dumbbell,4,0,0.0,96,-0.06067773161986102,43.978954961860566
dumbbell,4,0,0.0,927,-0.0021276233027786653,46.23302046373012
dumbbell,4,0,0.0,472,0.005004834603271658,48.5383975125755
dumbbell,4,0,0.0,395,-0.0011166415339111287,50.162817715792485
dumbbell,4,0,0.0,1121,0.0026016376979639926,52.37608396939409
dumbbell,4,0,0.0,337,-0.00301121155448663,54.32488398758739
dumbbell,4,0,0.0,796,0.004832503145609457,56.699692918688484
dumbbell,4,0,0.0,422,-0.015095982411997503,58.913959910173446
dumbbell,4,0,0.0,1059,0.00422264969259965,60.54188221325416
dumbbell,4,0,0.0,125,-0.0343372958490786,62.59043328421481
dumbbell,4,0,0.0,514,-0.0056189255836542815,63.87569882679924
dumbbell,4,0,0.0,1096,0.0005182990008441614,65.82182058399404
dumbbell,4,0,0.0,1182,0.009447743508256268,67.50635794635168
dumbbell,4,0,0.0,930,-0.00685766290813546,68.90171813287554
dumbbell,4,0,0.0,148,0.004028352112065828,70.56052507340678
dumbbell,4,0,0.0,478,-0.0032615372116624568,71.56342589528676
dumbbell,4,0,0.0,440,0.0,73.03444307715871
dumbbell,4,0,0.0,1143,-0.010710315691309782,74.1782898175756
dumbbell,4,0,0.0,452,-5.5606793901697565e-05,75.23168301297326
dumbbell,4,0,0.0,426,0.013006573845406037,75.83835371459905
dumbbell,4,0,0.0,580,-0.002937273154668192,76.53262176220359
dumbbell,4,0,0.0,793,-0.000910455828552894,76.98932050144231
dumbbell,4,0,0.0,694,-0.007352781260364514,77.43126698604938
dumbbell,4,0,0.0,560,-0.0030386996659645636,77.6681495399273
dumbbell,4,0,0.0,463,-0.000491280972664699,77.77590738741215
dumbbell,4,0,0.15,81,-0.021778886639027967,-177.3815059230889
dumbbell,4,0,0.15,511,-0.0038951195937499544,-49.41949171276938
dumbbell,4,0,0.15,636,2.537814542596939e-05,0.9607611399797991
dumbbell,4,0,0.15,171,0.0,18.99637088969146
dumbbell,4,0,0.15,113,0.0,20.34050608260089
dumbbell,4,0,0.15,442,0.0,22.0061720474397
dumbbell,4,0,0.15,1218,0.0041699881119092695,23.86804459044568
dumbbell,4,0,0.15,502,-0.09727354159794327,26.744696150183415
dumbbell,4,0,0.15,661,-0.002576479326940176,29.011383141566515
dumbbell,4,0,0.15,376,0.0,31.0729842788763
dumbbell,4,0,0.15,912,-0.012648386367759723,32.60261432653966
dumbbell,4,0,0.15,876,-0.014823427993795116,35.42290357803252
dumbbell,4,0,0.15,168,-0.0065833149988550055,37.95845568422312
dumbbell,4,0,0.15,1095,-0.025064069652668382,40.15423671793787
dumbbell,4,0,0.15,180,-0.006271095172904383,42.0810034644934
dumbbell,4,0,0.15,96,-0.033353106435864685,43.978954961860566
dumbbell,4,0,0.15,927,0.0,46.23302046373012
dumbbell,4,0,0.15,472,-0.015543601888085894,48.5383975125755
dumbbell,4,0,0.15,395,-0.01242495893758959,50.162817715792485
dumbbell,4,0,0.15,1121,-0.0062870832473878695,52.37608396939409
dumbbell,4,0,0.15,337,0.007123608197377326,54.32488398758739
dumbbell,4,0,0.15,796,0.001106024333053901,56.699692918688484
dumbbell,4,0,0.15,422,-0.008902477465455895,58.913959910173446
dumbbell,4,0,0.15,1059,0.005490318706367209,60.54188221325416
dumbbell,4,0,0.15,125,-0.016057040453449013,62.59043328421481
dumbbell,4,0,0.15,514,-0.013234974191821382,63.87569882679924
dumbbell,4,0,0.15,1096,0.0,65.82182058399404
dumbbell,4,0,0.15,1182,-0.0029805458466455464,67.50635794635168
dumbbell,4,0,0.15,930,-0.008605966432517046,68.90171813287554
dumbbell,4,0,0.15,148,-0.02454470839773952,70.56052507340678
dumbbell,4,0,0.15,478,0.02009828176387083,71.56342589528676
dumbbell,4,0,0.15,440,-0.006084359532578666,73.03444307715871
dumbbell,4,0,0.15,1143,0.0,74.1782898175756
dumbbell,4,0,0.15,452,0.007883979550272473,75.23168301297326
dumbbell,4,0,0.15,426,0.0,75.83835371459905
dumbbell,4,0,0.15,580,-0.010922601139219883,76.53262176220359
dumbbell,4,0,0.15,793,-0.0015007210726525888,76.98932050144231
dumbbell,4,0,0.15,694,0.013635360382504826,77.43126698604938
dumbbell,4,0,0.15,560,-0.014665246295832622,77.6681495399273
dumbbell,4,0,0.15,463,-0.011439733987084692,77.77590738741215
dumbbell,4,1,0.0,616,-0.006133925840390374,-177.9182959267379
dumbbell,4,1,0.0,1123,0.0029216480973626655,-51.4751683311416
dumbbell,4,1,0.0,956,0.0,4.221161641612121
dumbbell,4,1,0.0,699,0.003189344537807639,19.254588726115706
dumbbell,4,1,0.0,486,-0.010146925300194988,20.989481189786233
dumbbell,4,1,0.0,1001,-0.004078002448855981,22.686793581989374
dumbbell,4,1,0.0,524,0.0037003491953669504,23.877930072819296
dumbbell,4,1,0.0,400,-0.0012818846421711397,25.953113634811892
dumbbell,4,1,0.0,318,0.003001878881639688,28.06790298993672
dumbbell,4,1,0.0,763,0.0,29.9315471514474
dumbbell,4,1,0.0,351,-0.013666967264322118,32.07034291611259
dumbbell,4,1,0.0,1285,-0.000445135045274353,34.81267960323486
dumbbell,4,1,0.0,1239,0.001146160030660981,37.1465891712738
dumbbell,4,1,0.0,885,-0.0021176199285213165,39.634170708636596
dumbbell,4,1,0.0,1339,-0.009355392223202232,41.33425824148026
