v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name,integ_sign,integ_mag,iso
-258.98345002525787,-8.957430877775822,1.5847591093658095,-2.45100838667013,-7.955296005967738,-78.17954149583025,-9.144260722969044,5.0,0.2592982756831228,0.180296528676847,0.3959952328109126,0,2000,4,123,-16.0,4,Saddle,4-Saddle,-0.49335294077396424,-2.9591706866756025,-1.0111551417900366
-51.843893905931964,0.00697559014290639,3.5366494582722243,4.7754138410303755,-0.4532011397315347,0.20412412923193277,-3.25246652725783,5.0,0.2257872281213965,0.2644163201180781,0.5310181114052444,0,2000,4,124,2.0,4,Sphere,4-Sphere,0.36001098247065855,-0.0230726014280777,-1.0111551417900366
0.43649951441084733,2.3676580250466883,0.9363343338610957,-2.5296404936263963,-7.553317960435038,-78.17954149583025,-9.952441790195754,4.0,0.2591020083881943,0.205162368071356,0.4265911022871013,0,2000,4,125,0.0,4,Plane,4-Plane,-0.4914349045221128,-0.9604255026606262,-0.1389627224724735
-254.80146867024015,-9.465058618381462,3.8463939782535816,-2.53291966724628,-9.103587902460353,-78.17954149583025,-11.007464714773267,5.0,0.2886658094584612,0.2004619013964216,0.3858790029260781,0,2000,4,126,-16.0,4,Saddle,4-Saddle,-0.4637551775873733,-2.0090676045606815,-1.0111551417900366
-44.5110105677031,0.31479716006614167,3.6878361735571095,1.9142576912931926,-0.4431161190180869,0.20412412923193277,-3.5510551406968887,5.0,0.238671407799826,0.3111302597729798,0.5466576842800651,0,2000,4,127,2.0,4,Sphere,4-Sphere,0.34226194406504296,-0.2483503741385781,-1.0111551417900366
0.43651844121000605,2.367657493780621,0.19221426883407092,-2.649600619399004,-7.459704418232976,-78.17954149583025,-8.25317653822855,4.0,0.2538789760830846,0.2086485339144303,0.4308449079282689,0,2000,4,128,0.0,4,Plane,4-Plane,-0.49353244843222216,-1.164536346002642,-0.1389627224724735
-232.36687847953945,-7.288429674273922,2.3254512971378007,-2.5900628841835576,-9.13970148285747,-78.17954149583025,-9.615637029217567,5.0,0.2960510209879186,0.2105982075161353,0.3962314997423011,0,2000,4,129,-16.0,4,Saddle,4-Saddle,-0.49488109763338234,-2.2014622519519285,-1.0111551417900366
-54.39768633113637,-0.10895176045059789,2.6006192846259832,3.5626220174912486,-1.1912461106376115,0.20412412923193277,-4.644219876906848,5.0,0.2454118743952497,0.2786401513823449,0.5367859199316042,0,2000,4,130,2.0,4,Sphere,4-Sphere,0.13097849219935032,-0.40548401363458125,-1.0111551417900366
0.43642782201404634,2.3676574228574476,0.9293517871521059,-2.372231105379136,-8.159222657174269,-78.17954149583025,-13.441832019804105,4.0,0.2652943183289088,0.2051626192667442,0.4288468069091817,0,2000,4,131,0.0,4,Plane,4-Plane,-0.49448754249280596,-0.9972237582853879,-0.1389627224724735
-293.82753957163675,-7.8624476765737805,1.5538277492297408,-2.601738547777851,-8.962213487612585,-78.17954149583025,-10.79061270621278,5.0,0.2871677045637891,0.2075184608107946,0.4074070773724791,0,2000,4,132,-16.0,4,Saddle,4-Saddle,-0.4980743678416147,-2.2265383262519065,-1.0111551417900366
-69.70363082568772,-0.3783303530899722,2.852421521000735,4.098894583410644,-0.5055428156999185,0.20412412923193277,-3.6705678218314417,5.0,0.2587556089521652,0.2818462826377937,0.5641875258551665,0,2000,4,133,2.0,4,Sphere,4-Sphere,0.13864890204307667,-0.200285141003166,-1.0111551417900366
0.43643060412368284,2.3676571006549043,1.9918255078374698,-3.3453634852490723,-9.505621743405017,-78.17954149583025,-7.697035783677085,4.0,0.3130389540248248,0.2293848279300249,0.4104114537852097,0,2000,4,134,0.0,4,Plane,4-Plane,-0.49233619405712353,-0.6377780792243842,-0.1389627224724735
-240.35049692061793,-9.970459995803344,4.01880245039914,-2.5529589653197426,-8.87728729105414,-78.17954149583025,-9.811848268400283,5.0,0.2776519712820905,0.1929176152572528,0.3936838523256757,0,2000,4,135,-16.0,4,Saddle,4-Saddle,-0.4579608947797947,-2.0090676045606815,-1.0111551417900366
-58.80984195933721,0.07608810840667012,1.0687878935940365,2.573945384553896,0.8310418575654385,0.20412412923193277,-3.036462084939977,5.0,0.2226165290463837,0.3072637162055531,0.5454056745320299,0,2000,4,136,2.0,4,Sphere,4-Sphere,-0.20418925821790146,-0.19604202051689337,-1.0111551417900366
0.43644274071631073,2.367657885334301,0.3308236308161961,-3.540806203849478,-9.01905785332689,-78.17954149583025,-9.11153189039305,4.0,0.2915400270385251,0.247648974987407,0.4237144989882002,0,2000,4,137,0.0,4,Plane,4-Plane,-0.4976478006673292,-1.1579290961307018,-0.1389627224724735
-273.3809573002331,-6.736939324699465,3.0729514889419933,-2.563743052986454,-8.898138036507062,-78.17954149583025,-11.92012646239627,5.0,0.2827663947677605,0.2038849702665446,0.3938309198261749,0,2000,4,138,-16.0,4,Saddle,4-Saddle,-0.4931877650758716,-1.989995214670958,-1.0111551417900366
-38.479092960608696,0.36241304018554776,5.50231133649225,2.834847822483856,-1.8420884321768969,0.20412412923193277,-3.724446875486735,5.0,0.269292823110082,0.3121139771224218,0.5478517449566197,0,2000,4,139,2.0,4,Sphere,4-Sphere,0.21797235369505696,-0.3995493567347001,-1.0111551417900366
0.436446217868723,2.367657096087528,1.8738556933239685,-3.0413913814476845,-8.226157623143212,-78.17954149583025,-10.273198348647592,4.0,0.2671571706189901,0.2262663650800876,0.4289700291146532,0,2000,4,140,0.0,4,Plane,4-Plane,-0.476877615369667,-0.6510867192842849,-0.1389627224724735
-338.61115088017624,-9.74885841822098,3.5823919082307007,-2.54581047628557,-10.314275808158222,-78.17954149583025,-11.059680327250202,5.0,0.3205598196108706,0.2399931337073873,0.3913326207956685,0,2000,4,141,-16.0,4,Saddle,4-Saddle,-0.4441574153607977,-2.2310805876456046,-1.0111551417900366
-42.42126341455657,0.449495004874977,4.270907313922545,3.910326406144149,-2.847583130816532,0.20412412923193277,-3.628717685330409,5.0,0.2780905134537806,0.2921595118251652,0.5317481288783452,0,2000,4,142,2.0,4,Sphere,4-Sphere,-0.1934485764141885,-0.583161675435344,-1.0111551417900366
0.4364102603425055,2.367656393989718,-0.15213007549664107,-3.338917489432045,-9.552562423494773,-78.17954149583025,-9.9913145145489,4.0,0.3056417060488441,0.2459883455991207,0.4354069684503284,0,2000,4,143,0.0,4,Plane,4-Plane,-0.4968720302175922,-0.7636520102166564,-0.1389627224724735
-221.80734404427628,-10.350161548348579,3.305285653861967,-2.363013192854554,-8.75821988191169,-78.17954149583025,-9.31876836448635,5.0,0.2813913407630996,0.1831899047528971,0.3883278165283169,0,2000,4,144,-16.0,4,Saddle,4-Saddle,-0.4803664292409232,-2.2938041646381984,-1.0111551417900366
-44.18471387356066,0.07614046486344322,4.196127649256142,3.183842923490324,-1.529756875055248,0.20412412923193277,-2.7891732763036132,5.0,0.2674060879242186,0.2974854858781158,0.5488441061251573,0,2000,4,145,2.0,4,Sphere,4-Sphere,0.3108055446350445,-0.46465430875306674,-1.0111551417900366
0.43647013163827536,2.3676578198271265,1.2466152012417733,-3.4740446951776245,-9.36281338646964,-78.17954149583025,-10.234786518191676,4.0,0.3002239948161048,0.2397172939613106,0.4246531953454496,0,2000,4,146,0.0,4,Plane,4-Plane,-0.4948710626375595,-0.7969553188725651,-0.1389627224724735
