kind,dim,seed,branch,ks,integ_sign,integ_mag,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
dumbbell,3,0,A,18.86173140901876,0.4989152662357029,0.38890574713332765,56731596.36241264,76.69975503285978,1.7927430784348752,10.815491113491486,-0.5060724032328447,-3.2467931057963697,-3.7927787891317704
dumbbell,3,0,A,19.292051405337936,0.4971988181360313,0.29769083308891225,52719653.670785956,71.27377725266888,0.6207154465914424,11.225125576374573,-0.5823009642183724,0.2951630096178518,-0.8586279411858666
dumbbell,3,0,A,19.5323352139822,0.4950946366206125,0.22932586557139498,52736714.33852372,68.96611218187513,-0.4222842023534361,10.60894644800125,-0.5397663138703068,0.2951630096178518,-1.0446552204485005
dumbbell,3,0,A,19.59838014117316,0.49949756520292043,0.34288378325602337,50433790.150427625,65.21099787619244,2.339415132388419,9.384683127941333,-1.3063332062304724,-6.788749221210592,4.007688257295186
dumbbell,3,0,B,-22.548062598221478,-0.26820045714880425,-0.006221414420606568,-1.1515409419479763,-1.7889875776266422,-0.1578122054659429,2.474977124758014,2.959046436286058,5.867100743812431,3.3420502930631355
dumbbell,3,0,B,-19.225024550522377,-0.3358194411032054,-0.4579940848242262,-3.184958714186673,-2.9519439078540173,-1.891168828008619,1.8454550522460738,1.5353724219689309,0.4093326100334254,0.48805324536665085
dumbbell,3,0,B,-11.762262800203482,-0.23923679545998489,0.3686488503942328,1.627111012435279,0.9053877338749368,1.04731298228891,3.550947566474738,2.4570431374986343,13.507976131103039,4.5108545033136505
dumbbell,3,0,B,-3.5550526795521264,0.004644399858161896,-0.09950862228056255,1.2460924693513307,1.3098754407959508,-0.8815902470052872,2.8998571024370334,2.4703608827984316,15.691083384614641,5.278188597720583
dumbbell,3,0,B,2.5102588071524714,-0.373042441809085,0.019048094728274362,-0.633957151067368,1.3033073883798751,2.272276968953231,2.242160800725318,1.4563241657463093,9.141761624079834,4.562655946653283
dumbbell,3,0,B,6.159382675542515,0.0392589084305619,0.3063116291557056,0.8238487568705298,2.1363420888881532,1.191167728180309,11.336602246164123,3.890355572901867,16.782637011370444,15.078984311894681
