instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
467,994,necklace,tier2,4,0.15,2,warped(d=4),75.12919690183843,0.7334814478250056,0.0,3.4864625930786133,4.504870414733887
467,89,necklace,tier2,4,0.15,2,warped(d=4),76.01298902226242,0.5475647623647231,0.0,3.7289113998413086,4.714012622833252
467,696,necklace,tier2,4,0.15,2,warped(d=4),76.734811175311,0.6122263819387778,0.0,3.709019184112549,4.631977081298828
467,1454,necklace,tier2,4,0.15,2,warped(d=4),77.19174823353659,0.6862247729464578,0.0,3.6789121627807617,4.691121578216553
467,1230,necklace,tier2,4,0.15,2,warped(d=4),77.6301535865152,0.6025357152529582,0.0,3.5044608116149902,4.498888969421387
467,1197,necklace,tier2,4,0.15,2,warped(d=4),77.93961585670192,0.6136571545146425,0.0,3.631069660186768,4.609188079833984
467,1096,necklace,tier2,4,0.15,2,warped(d=4),78.11664295814099,0.3523096187828569,0.0,3.551254749298096,4.558832168579102
468,1401,necklace,tier2,5,0.0,0,warped(d=5),-60.15587855260094,0.1473188646082023,0.0,3.5295627117156982,4.811087608337402
468,11,necklace,tier2,5,0.0,0,warped(d=5),-21.349776077280744,0.298283473188666,0.0,3.614822387695313,4.879312515258789
468,1263,necklace,tier2,5,0.0,0,warped(d=5),11.125704385405546,0.4635679129031612,0.0,3.626371383666992,4.736020565032959
468,1386,necklace,tier2,5,0.0,0,warped(d=5),31.160815671380945,0.6128174940296155,0.0,3.645770311355591,4.714669227600098
468,347,necklace,tier2,5,0.0,0,warped(d=5),46.51226121609809,0.474393216545513,0.0,3.075846672058105,4.363490104675293
468,172,necklace,tier2,5,0.0,0,warped(d=5),57.3213661093841,0.5888062465673369,0.0,3.2479419708251958,4.505729675292969
468,841,necklace,tier2,5,0.0,0,warped(d=5),67.34280861633508,0.3644519332758305,0.0625,3.131797313690185,4.076730728149414
468,447,necklace,tier2,5,0.0,0,warped(d=5),74.5498904676121,0.7276962746016522,0.0,3.460115909576416,4.5752458572387695
468,114,necklace,tier2,5,0.0,0,warped(d=5),80.7760545255616,0.1393210649813901,0.0,3.2940821647644043,4.3319830894470215
468,768,necklace,tier2,5,0.0,0,warped(d=5),86.31709073738382,0.8689975366822345,0.0,3.245954990386963,4.1978254318237305
468,626,necklace,tier2,5,0.0,0,warped(d=5),91.59693466195426,0.3105935505076503,0.0,2.931757926940918,4.131317138671875
468,886,necklace,tier2,5,0.0,0,warped(d=5),95.94495504582936,0.8429613353506596,0.0,3.309301853179932,4.371057510375977
468,833,necklace,tier2,5,0.0,0,warped(d=5),99.7529888300936,0.5943283108361251,0.0,3.446143627166748,4.3537278175354
468,214,necklace,tier2,5,0.0,0,warped(d=5),101.80263882050804,0.569541239828658,0.0,3.286025047302246,4.369702339172363
468,1182,necklace,tier2,5,0.0,0,warped(d=5),104.05948550312486,0.7743883472312402,0.0,2.388702869415283,3.738999128341675
