v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,manifold,family
4.917181849751011,7.904980767959633,-0.4917740450349346,18.84186574437337,-0.7865425339474897,-0.0,1.2925783487631095,5.0,0.1590378174052332,0.3989240360827714,0.6853699902401406,75,1400,5,-19.58884075304696,2,bumpy_periodic
2.5649014228257934,5.777785474640548,-0.4630805605430084,18.2831343048484,-1.0411355403336846,-0.0,0.6964692877017169,5.0,0.1693927350038619,0.4050230461326875,0.6503040263518144,1260,1400,5,-9.695646110933382,2,bumpy_periodic
-0.9363421292670396,1.7706840889896809,1.5121815660491864,4.3418551893296495,-1.6173938481834735,-1000000000.0,1.2443043521327333,5.0,0.1647520469917712,0.3820037517582464,0.6368390890564697,1344,1400,5,-1.3971246379614792,2,bumpy_periodic
-14.921933334656796,-8.605215128828727,2.679041419817714,-0.5872294525426748,-2.692581599758015,-1000000000.0,1.142191626837734,5.0,0.2085092935707763,0.3302042555398386,0.586563802661211,796,1400,5,6.558010084777276,2,bumpy_periodic
0.5327103983305197,3.480867472227468,0.6966256207818198,20.87590284502048,-1.7195377711976998,-0.0,0.5136554205545251,5.0,0.184968067108271,0.3376562260028337,0.6177537850250532,949,1400,5,15.40823980849176,2,bumpy_periodic
5.70424820546593,7.837427650744671,-0.0582495516560746,20.354354722625004,-0.8004715921947726,-0.0,0.9594954955862792,5.0,0.165787897699505,0.3794065169134218,0.6853623436053304,131,1400,5,21.74080035160592,2,bumpy_periodic
6.462932351770222,8.066606998769903,0.8663799313213337,16.580173790546606,0.8449339630038986,-0.0,1.330454125206143,5.0,0.0969460760552129,0.4287842218810931,0.7028466600635436,581,1400,5,36.58122066793288,2,bumpy_periodic
0.0669760644694944,2.403532742095394,2.106654860300864,12.296479675261084,-1.0657472278893467,-0.0,0.5215685492082915,5.0,0.1695861340304925,0.371967254988926,0.6413076518597344,506,1400,5,50.79674106741863,2,bumpy_periodic
1.2311548042164562,3.48541966454869,1.643265977432737,2.968798162276144,-0.0096468686760849,-1000000000.0,1.2464042406151137,5.0,0.1428403689553539,0.4160694939770443,0.6639349179491785,1087,1400,5,65.82340997903253,2,bumpy_periodic
5.274265684106976,6.178791538878986,1.280036184967814,8.294480720697761,-1.632151953159782,-500000000.0,1.6203796576015157,6.0,0.1818414397459516,0.3719328619805881,0.682831588776189,1297,1400,5,73.90789343090309,2,bumpy_periodic
