inst_id,dim,noise,ks,dhat,dhat_err,sigma_rel,integ_oracle,v4_m60_oracle,ent_cak_oracle,sent_oracle,integ_est,v4_m60_est,ent_cak_est,sent_est
573,4,0.05,-30.168952843180918,4,0,0.238,-0.3747372011497806,-13677268.03567383,-1.9207360688738089,5.138733162004667,-0.49330685589916595,-1.8929923934723918,-4.22728857978555,-5.948808362467036
574,4,0.05,-17.091759926410464,4,0,0.229,-0.20816288309172254,-7245162.9320207,-1.0064918501664342,15.595859629737504,-0.4840096108355367,-0.9929126913311801,-3.8475478346438976,-5.222902381123631
575,4,0.05,-31.281217972295916,4,0,0.244,-0.253877807898499,-10285042.795951819,-2.0942897255008215,2.5424924663660975,-0.48775969963778026,-1.4182997331129128,-4.299375877184906,-6.129032504901051
576,4,0.05,1.5495180423592503,4,0,0.229,-0.04078884524389742,-7783505.28624527,0.5683343718304552,20.79044231636527,-0.49511166523463385,-1.0682458859901494,-3.1934275560872063,-4.862308229906148
577,4,0.05,-4.587718319365236,4,0,0.226,-0.17264313451858343,-5059427.223336576,-0.24868981719682623,17.925839025840386,-0.4932476792045104,-0.6870507201835908,-3.5327869613658516,-5.061161391832079
578,4,0.05,-22.058825574097966,4,0,0.233,-0.17852491426092448,-6393065.249626852,-0.664709054976221,3.995232308000225,-0.49777160488976635,-0.8736739948539295,-3.7055848332200183,-6.028187158559293
579,4,0.05,-12.708320135998806,4,0,0.244,-0.22781469465136317,-8084672.466394786,-0.5508940831468432,9.555102146468776,-0.49427606971659344,-1.1103898592983168,-3.658310613349236,-5.642235742203312
580,4,0.05,1.430710029764047,4,0,0.237,-0.012865525342060036,-5216519.922430071,0.15182967470899156,24.266208583856475,-0.48508251584665085,-0.7090335621194799,-3.3664270684751836,-4.6210297552593245
581,4,0.05,-27.984450651921833,4,0,0.236,-0.18638378696576402,-6408293.415412648,-0.571279491839002,5.1500193659092695,-0.4917019505771516,-0.8758049555120274,-3.6667779026450025,-5.948024904129194
582,4,0.05,-20.161306901824567,4,0,0.234,-0.20816288309172254,-9421913.592011629,-0.8993606825586615,15.477451177903038,-0.488719870447408,-1.2975173353951526,-3.803049801642617,-5.231121981765687
583,4,0.05,28.472607937392368,4,0,0.207,0.25260701475997027,-2740590.6122618997,0.19840658582445347,78.64906935312416,-0.4951006134886674,-0.3625632106395016,-3.347080869099278,-0.845915813892235
584,4,0.05,-18.85016105524571,4,0,0.247,-0.16016858131489498,-8672432.655742653,-0.2486121437021024,5.6398802819951195,-0.49309347721800856,-1.1926383623363386,-3.532754698880445,-5.91402005871489
600,4,0.1,-26.415311732361605,4,0,0.359,-0.2027010108387613,-17505305.44700264,-0.8814802440715784,7.869479035415976,-0.49643862014078166,-2.9173378082442354,-3.949685210701807,-6.449197467132931
601,4,0.1,-25.490568830187783,4,0,0.351,-0.23293351215608366,-18629970.374578338,-0.28865283023594096,7.396740947013772,-0.4983642107061405,-3.1265770628602763,-3.6936187363183706,-6.487125611066099
602,4,0.1,29.480145418186098,4,0,0.332,0.25910681491686605,-9925541.892625615,1.826233316951061,36.52061624085676,-0.4897797716691623,-1.4615233657799689,-2.7500897673902664,-4.200762633795955
603,4,0.1,-9.190322083736802,4,0,0.345,-0.06802497957091463,-11324536.829164332,-0.1031995942161346,23.100008313302084,-0.49835686295170156,-1.7122669292276613,-3.587334514778993,-5.283594395695875
604,4,0.1,-3.1032668576189137,4,0,0.342,-0.10921901128564188,-9615002.38635362,0.7740681573245335,9.196569732500118,-0.4946736330599034,-1.4058649925005224,-3.2066590257376975,-6.405382989490243
605,4,0.1,-15.198491523550626,4,0,0.353,-0.44309644910542473,-20145040.95886062,-1.0214168121790015,7.292366885392623,-0.49897755728642856,-3.408449673958107,-4.010129553855142,-6.495499623080735
606,4,0.1,-27.860036231503933,4,0,0.348,-0.15121358654428035,-12190546.51382051,-1.1400824937543392,5.82416844884619,-0.49369246071552086,-1.8674828979488558,-4.037272295082735,-6.6774826770397855
607,4,0.1,-12.183740340828578,4,0,0.339,-0.17050045461261765,-7341498.072910508,-0.5972185554044294,7.511907202757689,-0.49385277759904855,-0.9983820501556129,-3.801705679472728,-6.541308731836264
608,4,0.1,5.924945353387931,4,0,0.359,0.08908490983516781,-12829582.338211488,1.662155826681234,11.187536143913617,-0.4965606250518646,-2.0474388773836827,-2.850984466520642,-6.182987168709721
609,4,0.1,-0.08424882648408039,4,0,0.363,-0.2665344696977623,-14300506.008497605,-0.0818121974419456,8.37082786033897,-0.4955103759228054,-2.3210981378633275,-3.6042757836095705,-6.4089738615912815
610,4,0.1,4.907010535399368,4,0,0.365,-0.026512641334454023,-17058095.33313655,1.351465731431852,19.238527405028034,-0.4916493404184046,-2.8341362176302187,-2.9851842613675466,-5.537049887903135
611,4,0.1,-3.3189630707114124,4,0,0.341,-0.20827052879829278,-14092154.189870877,0.025808313182632527,19.46014431590436,-0.4855118219505753,-2.2083103538023092,-3.531353717407869,-5.577274113235794
612,4,0.1,2.082313981868797,4,0,0.338,0.25744689517900654,-12482305.544932637,0.8818478986133101,25.980861815887693,-0.4687420471711702,-1.9197752238311063,-3.1598898316669093,-5.051154875011008
613,4,0.1,-22.6348913684337,4,0,0.338,-0.27177384755831446,-23867992.204011425,-0.7225563901771553,20.381567112988705,-0.4968615899878822,-3.9604456870563767,-3.856093910960424,-5.502929800652677
614,4,0.1,-12.13766082906188,4,0,0.347,-0.3178232941239181,-19943454.56746283,-1.3770216057566014,13.844350220337311,-0.4918043972378195,-3.2570460347978445,-4.140088011465865,-6.030380280094662
630,4,0.2,-3.558579726048665,4,0,0.444,0.07115289910017497,-16369939.234116264,1.0921527692723094,18.09534442288644,-0.4956384752654003,-2.7061076237903916,-3.0971921652404424,-5.628768346289176
631,4,0.2,9.496456875600702,4,0,0.456,0.22609083247921125,-16238908.479517387,2.1185264449733987,11.581868431944468,-0.49498601358804833,-1.5842092478793315,-2.605894665809507,-6.095694723266601
632,4,0.2,-24.04856054825175,4,0,0.462,-0.24949666803117676,-20892324.346162464,-0.5407576920844439,7.324373551703175,-0.49747219207980636,-2.1872666821980307,-3.759159914116562,-6.452433771918822
633,4,0.2,-15.94121826097334,4,0,0.462,-0.3278247529496969,-30368096.858599372,-0.8327634281762767,2.4228976182048974,-0.49516567547204227,-3.415275358684047,-3.885795523695918,-6.863132530388928
634,4,0.2,-5.665571274105821,4,0,0.468,-0.1604310011891421,-27699873.231463917,0.742233675509021,2.474780695857283,-0.48697724542420306,-3.069488061592775,-3.20275853620269,-6.858785204018963
635,4,0.2,-39.185391024226476,4,0,0.461,-0.3128151192926291,-25717935.747512177,0.18872846838096718,14.173710628190596,-0.49848550653736695,-2.8126397230165585,-3.4427999485671554,-5.878522102898559
636,4,0.2,-29.21622157395343,4,0,0.464,0.20999299191471632,-22128654.58294084,1.7945114617029012,6.922853083140487,-0.49631683690566153,-2.3474883692186075,-2.7464118880684567,-6.486077507025634
637,4,0.2,-24.996193418222923,4,0,0.455,-0.04519066271863137,-35643479.1921078,1.1042309977029845,9.899332967511997,-0.4980761080877736,-4.098936270638906,-3.0457693202521154,-6.236675773811339
638,4,0.2,-22.997619759109075,4,0,0.442,-0.305447344515436,-24496285.810135636,-0.0503932688232441,8.419226957907913,-0.49632449036653487,-4.2179807680727075,-3.590704659716629,-6.405090764409426
639,4,0.2,-57.772627160556176,4,0,0.451,0.06905124251501848,-29771053.29442387,0.990917019914622,3.3837650805335713,-0.49620249837242153,-3.3379017539372717,-3.094910768098805,-6.7826206439312795
640,4,0.2,32.54341939091398,4,0,0.451,0.3902624233448603,-26033859.459819283,3.0174184974471854,56.85095099850133,-0.470896829362059,-2.853581721076517,-2.21606758729192,-2.3025605205457143
641,4,0.2,-16.067167115072312,4,0,0.448,0.137968208290975,-23098500.61873627,1.4969909074851726,23.362251293128793,-0.4973686826794363,-3.95792861885864,-2.9223259692300405,-5.206200318118821
642,4,0.2,-15.484538294325528,4,0,0.46,-0.2497727114373608,-30527125.809066,0.0700356010824808,1.8326927932007342,-0.4947700545981155,-3.4358846473440665,-3.494274086727025,-6.912586285168311
643,4,0.2,6.224275918490596,4,0,0.438,0.42753259658561826,-19642600.712217007,1.9508293698491055,48.66534343409211,-0.4941775904736631,-3.3149727457467635,-2.7262945235092246,-3.1761135867527774
644,4,0.2,53.488467626860555,4,0,0.464,0.261629756841091,-20024632.119819995,4.4711944615805015,33.340532680654164,-0.47564167837550536,-2.0748184801047955,-1.5856011866184034,-4.2725180895021335
660,5,0.01,1.9053751696081136,5,0,0.117,0.19472801530321582,-1955583.0427078737,1.2247511502522312,107.6200781958149,-0.4974088875544683,-0.3323274029258783,-2.486690873713564,-3.3318342714323848
661,5,0.01,2.5245450099361193,5,0,0.141,-0.3085531209054005,-2025317.575569763,1.3683145158052135,146.75182822053657,-0.4937517582623216,-0.342419510293116,-2.432941850618578,-2.831182973708935
662,5,0.01,-1.454894501301056,5,0,0.163,-0.45666153410856486,-6799569.458880394,0.4768977290698453,80.83238009354892,-0.49439277892998273,-0.9521155554782054,-2.5825903746891976,-3.480105477218444
663,5,0.01,2.1789181931808583,5,0,0.196,-0.44095638610028265,-18630065.030640233,2.9231535034201177,255.07498388152027,-0.4979738756879278,-2.4395346691976396,-1.74041827631647,-1.3655158534253138
664,5,0.01,-20.746348774718008,5,0,0.181,-0.0428159504651518,-11123808.091961535,0.18750926711625576,252.1103266759518,-0.49439277892998273,-1.495791444295778,-2.68221809587998,-1.4014946165332571
665,5,0.01,-44.1232350861954,5,0,0.159,-0.4775997530830093,-7448140.260349574,-0.6314957832493544,51.054475337585,-0.49154777844149494,-1.0336587673288047,-2.964176838328923,-3.8414869479171063
666,5,0.01,-37.704304298321674,5,0,0.158,-0.27243645639709,-8839819.00791862,-0.849486248909532,41.79700286492227,-0.49684817905046347,-1.2086311137309766,-3.0392243823409717,-3.953834644793033
667,5,0.01,-13.523752961153999,5,0,0.16,-0.49364130666727185,-9794250.640338281,-0.6630348121584724,78.85714766828933,-0.4969576719509775,-1.328629455659122,-2.9750347749500783,-3.5040766869009867
668,5,0.01,-28.422403514508375,5,0,0.173,-0.49653082758893546,-6478036.44338318,-1.3875277847289549,18.47954517663811,-0.4987588955397786,-0.9116900001799111,-3.224455858944467,-4.236812820101298
669,5,0.01,-18.319930087521648,5,0,0.132,-0.18752539657731848,-4375468.534636935,-0.5520444096163641,65.28982124231212,-0.49778099208012866,-0.6825375957630014,-3.151909505323315,-3.873407241293167
670,5,0.01,-44.4013504262728,5,0,0.172,-0.18163651245576073,-19147879.05301376,0.43930453133825353,127.58435693742572,-0.49708891118543524,-2.50463815278026,-2.595532579077684,-2.9127284811413032
671,5,0.01,-19.616145636909778,5,0,0.134,0.1784452286012952,-1864382.6432164207,0.3572723612559201,28.692744399560667,-0.4973856054190506,-0.31912871662470815,-2.811468279736172,-4.341629950541618
672,5,0.01,4.810311591502766,5,0,0.151,-0.10971305416201999,-4628694.126128472,0.7267139788001714,146.6601845822297,-0.4982182354590547,-0.6791767386846738,-2.4965861729009062,-2.6812262748723144
673,5,0.01,-29.827358750792463,5,0,0.149,-0.18606069207936388,-2879738.3606580785,-0.8873177361411413,25.42189616141364,-0.4958329111329231,-0.4660728273231257,-3.2774332676083557,-4.383477156814025
674,5,0.01,-25.221601856909402,5,0,0.172,-0.2042786388564054,-9391222.853781631,-0.8217154251447678,113.45825178173179,-0.4962378906294175,-1.2779577632141008,-3.0296637251240366,-3.0841613841022215
690,5,0.05,19.46385767445848,5,0,0.193,-0.07125044967696598,-8138963.138683109,0.7173924166638893,190.04102864747063,-0.4956241608131383,-1.1205142288938121,-2.4997953056607503,-2.154760986030718
691,5,0.05,-16.171144702457998,5,0,0.178,-0.30794507057685144,-6008985.633496908,0.6914309775772249,46.61485496946747,-0.4969622324203256,-0.8527173953808511,-2.508733046293452,-3.895365706383238
692,5,0.05,-29.278471998111137,5,0,0.205,0.054647120212504285,-11915394.45147303,1.5090143685528996,120.72878665868964,-0.4960669780498202,-1.5953156505435335,-2.2272637383035496,-2.995926949606802
693,5,0.05,-16.703636368602854,5,0,0.182,-0.3909061166098616,-4027879.325537931,0.07118360305681172,32.47691213093071,-0.49854536310683745,-0.6036377713791,-2.7222655143154313,-4.066942270198419
694,5,0.05,54.88132514320018,5,0,0.19,0.2795349489571216,-7445999.265966187,4.803806936050626,170.97367719591375,-0.4891768423145794,-1.0333895853702892,-1.09296600894636,-2.386160326124042
695,5,0.05,-28.646174109828085,5,0,0.2,-0.4931087031570141,-6991665.547890553,-0.5092169204945551,35.08125229070183,-0.4968148086881238,-0.9762673243311105,-2.922079913096241,-4.035336276262624
696,5,0.05,-11.136468161274195,5,0,0.192,-0.4619910124851945,-9769211.224574916,0.7197591564437252,71.62327733782077,-0.497742760077968,-1.325481311494164,-2.4989805085215524,-3.591866164377389
697,5,0.05,-19.744678644401198,5,0,0.191,-0.37743600347813416,-5917144.658121994,1.1816288283592138,43.70627743868019,-0.49718797847647594,-0.8411704554097673,-2.339972707763227,-3.9306638925494917
698,5,0.05,-14.507889827778769,5,0,0.181,-0.06386643266424125,-4585206.751107029,1.6869560429897785,87.25609824612691,-0.4972908009314652,-0.673709177970921,-2.1660037854728746,-3.4021479200176676
699,5,0.05,-33.03765356029634,5,0,0.164,-0.4628059643730621,-2991048.366192461,0.011982798120233317,75.75741654540101,-0.4953500447317812,-0.47327956471970645,-2.742646566305808,-3.5416946926384605
700,5,0.05,-62.894655678803616,5,0,0.174,0.121011506565052,-3178006.317840992,1.4743775761435602,119.12160211044201,-0.49504184441864674,-0.49678532819825977,-2.2391881414874404,-3.0154315695755245
701,5,0.05,-12.478273660639108,5,0,0.204,-0.39325098407395365,-10663903.09803807,0.08220146332881238,141.31166914152473,-0.4957011349811454,-1.4379687204455867,-2.7184723972578686,-2.7461352868345936
702,5,0.05,-8.094765280509788,5,0,0.19,-0.26646034208792213,-8532944.53134202,0.08071114425243106,159.53999884213226,-0.49439277892998273,-1.170048540481699,-2.7189854691765785,-2.5249182250711617
703,5,0.05,6.3932786146544505,5,0,0.174,-0.4872440075508131,-3390287.07890809,-0.21856431254934675,211.22120762713442,-0.4940806813745069,-0.5234748662290948,-2.822016984559778,-1.8977205967871185
704,5,0.05,-31.099208931298193,5,0,0.202,-0.1192663898116012,-6790414.07245293,-0.8565945458592098,52.65339575824364,-0.49684817905046347,-0.9509644712583522,-3.041671554636173,-3.822082620517879
