kind,dim,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
torus,5,0.0,0.47907960072807365,0.011648888714051262,-0.197783972484519,1.5619147880762174,1.3147064434015392,-0.04128900554602745,-161.6459851103012,-2.029742910207051,-0.0,-1.132959553301595
torus,5,0.0,0.3016101370945701,-0.2725733857326132,-0.8552483550699705,-0.48056910457420177,0.5154106142422541,-1.1646161843220058,-164.90701116231835,0.9664432370885537,-0.0,-0.5366719664766901
torus,5,0.0,0.48652468831521556,-0.004457558419104545,-0.4093685519537737,0.3018691574673758,1.0892847278866653,-0.017732690312614097,-164.70361606030247,0.3049090217112223,-0.0,-0.11074708426302564
torus,5,0.0,0.48369029520436035,0.22175086254518572,-0.1852260236229677,1.983300641693438,0.4975238498047151,0.675666537506265,-162.3126577505389,-1.789153012843936,-0.0,-2.1458905716214187
torus,5,0.0,-0.3289960351699519,-0.6394943655994152,-0.8552483550699705,-1.425612250148145,-0.8016684845421824,-0.26109410406649125,-164.07677395649569,0.23038818446838166,-0.0,-0.5714912646919346
torus,5,0.0,0.48998909221202835,-0.004832194910090514,-0.32424936617179817,1.1383881115257373,1.0996179776439436,0.0715196968191032,-164.89178008846707,-0.3256440661923004,-0.0,0.3451694766461255
torus,5,0.0,0.46576288258784027,0.08010041043519053,-0.32424936617179817,1.2777526128396466,0.6313172477369243,0.07672321930515384,-163.87902496976577,-1.183126293123962,-0.0,-1.1653638924869156
torus,5,0.0,0.4320704536536507,0.28187896578208166,-0.32424936617179817,1.4174757039071806,-0.4965010625944604,0.7281508346089343,-161.4040460630318,-1.77150639101174,-0.0,-1.4752280857322486
sphere,5,49.40470160189035,0.4942753732255536,1.0285817534367323,0.022765043589042522,7.752063962978158,10.574240379516498,0.619685004856826,2332.5627379651596,0.753963121537747,-0.0,-2.119263595890453
sphere,5,49.40470160189035,0.4921684948663525,1.3524064543402108,0.022765043589042522,8.13171647590979,10.9346597088642,-0.49336164476877437,2330.915605084668,2.9819175443301353,-0.0,-0.9893588458442518
sphere,5,49.40470160189035,0.4871211688069502,0.8906185633795277,0.022765043589042522,8.1768260299036,11.091371912393884,-0.046310686633972434,2331.848592167211,1.782573471736127,-0.0,-0.4670230986205584
sphere,5,49.40470160189035,0.4768100763733103,1.1663304484938513,0.022765043589042522,7.965430720751529,10.769135669329696,0.26519225605105823,2331.808139733052,1.3586072918096077,-0.0,-1.0107604209411873
sphere,5,49.40470160189035,0.49370197756396295,0.8279704463264892,0.022765043589042522,7.320171019981874,10.470682908628032,0.7397679125563096,2335.2637931771424,0.3689833335685131,-0.0,-0.6626797166230219
sphere,5,49.40470160189035,0.4957595778336733,0.8941400064713737,0.022765043589042522,7.903788293274548,10.755340017072134,1.0188437954232996,2331.321753835863,2.04196663185339,-0.0,-0.5980705835574099
sphere,5,49.40470160189035,0.4900915063368041,1.3209313399597848,0.022765043589042522,7.761222776976677,10.59512926631462,1.317935368672219,2330.340016983191,1.4242329137598524,-0.0,-0.44736050238363995
sphere,5,49.40470160189035,0.49269133216380046,1.15333164861621,0.022765043589042522,7.997100294777092,10.738454126832673,0.2364027493161694,2333.1432260416063,2.0544331872786925,-0.0,-1.4037374442082915
hyperbolic,5,-69.62272001623198,-0.3694495845739093,-0.9159375568292147,-0.9286293301593072,-3.099674852654243,-0.700358045556987,0.5604137372128171,2509.0308994963075,4.157381851529253,-0.0,2.924044792776178
hyperbolic,5,-69.62272001623198,-0.301303178162611,-0.7987412377903818,-0.8677513252384321,-2.863970599401479,-0.3805832078115287,1.219925694489144,2507.392093340119,2.9111024654760667,-0.0,2.7153196468788123
hyperbolic,5,-69.62272001623198,0.16762679842124972,-0.6643334306404778,-0.8552483550699705,-2.7188530065740877,-0.4439347938481543,-0.14848455559201632,2506.9327035913298,0.8309136827864316,-0.0,2.778720869267727
hyperbolic,5,-69.62272001623198,-0.18051486426796132,-0.8831499846053729,-0.9286293301593072,-3.3195764124128893,-0.5026603867030935,0.8952265950713736,2507.984486614132,2.0632873526847058,-0.0,3.0057926616496493
hyperbolic,5,-69.62272001623198,-0.28759191585852395,-1.5449723295643791,-0.8561808890049508,-2.8356256627811764,-0.3730302707076441,0.9640058522262178,2508.5770271815177,-0.3317666701911254,-0.0,2.4919691058081863
hyperbolic,5,-69.62272001623198,-0.11044326609016658,-0.8942933188749527,-0.9286293301593072,-3.2902870132536406,-0.7145029572427122,1.0110660547539887,2506.8658805452515,-0.14128339125064565,-0.0,2.8671892955327802
hyperbolic,5,-69.62272001623198,-0.32561719088483554,-0.8988507463563823,-0.8552483550699705,-2.419145851630704,-0.31334721344941197,1.1338796758162506,2507.364815303503,-1.3867514383690185,-0.0,2.4810367910655495
hyperbolic,5,-69.62272001623198,0.33472014906928005,0.1757289082996747,-0.8552483550699705,-2.526568661046348,-0.08741328671167539,1.786316851597122,2507.7828972766606,-0.6994223328227551,-124999999.99999999,2.633962516719916
hyperbolic,5,-163.78126086560843,-0.42764968808866416,-1.8490555165246618,-1.3833031703567538,-9.05357008825774,-5.830739006525654,2.2188836879357847,1314.9183611145593,2.6500225038101353,-0.0,2.2823052520344405
hyperbolic,5,-163.78126086560843,-0.23862634746696082,-2.4977487590126826,-1.3833031703567538,-7.818142073430193,-6.467668297625262,3.576169445096917,1315.3798909862644,1.0196218895070943,-0.0,2.337283971556297
hyperbolic,5,-163.78126086560843,-0.15464807845357154,-2.3331804427214773,-1.3833031703567538,-9.863593549267799,-7.0035770718017725,3.1267796368177514,1315.816687340074,1.799780886611878,-0.0,2.404101417443289
hyperbolic,5,-163.78126086560843,-0.3176811416181302,-2.153304382992452,-1.3833031703567538,-9.247142126980362,-6.000536991629564,-0.547453343639566,1314.010892220589,3.9386483357723723,-0.0,2.3556070790435535
hyperbolic,5,-163.78126086560843,-0.33588134970105044,-1.801001274823971,-1.3833031703567538,-7.8817124113715025,-5.893986709034496,3.7122286988658915,1318.2407177571404,0.18282665901388137,-0.0,2.0469143776172953
hyperbolic,5,-163.78126086560843,-0.4648536108176878,-2.2579416178968432,-1.3833031703567538,-7.699375643615367,-5.3354470925853485,3.9361078935403553,1316.0341794030207,1.5804207564098063,-0.0,2.249777388664328
hyperbolic,5,-163.78126086560843,-0.48276378829265076,-2.3753633037266604,-1.3833031703567538,-8.171682182530724,-5.348305081218803,4.095348298786603,1316.2711110788657,-0.5768951288708107,-0.0,2.542792544686795
hyperbolic,5,-163.78126086560843,-0.3233538610196625,-2.2181902185525573,-1.3833031703567538,-10.669964899340938,-6.835448355720594,-0.03872371338105771,1314.9283489533707,2.9851626317694775,-0.0,2.614484913356029
torus,6,0.0,0.3606574877737101,0.004460275127828216,-0.4093685519537737,0.5273316633627632,-0.05744435210028328,1.599560829025561,-552.3452173424062,-1.4587445700934771,-0.0,0.8752990668503241
