readout,dest,m,pool,dist,sign,monotone,triad_gap,null_med,null_iqr,field_r_dumbbell,field_r_necklace
resid_n,est,120,jitter,exact,-1.0,True,0.12414646015720812,0.005577594331368458,0.05185321745825623,0.7941711435521462,0.939921948898374
resid_n,est,120,jitter,graph,-1.0,True,0.12218583881814214,0.027569257395395196,0.07497979704100215,0.8660770058019706,0.8019645957154525
resid_n,est,120,single,exact,-1.0,True,0.08223322706339267,2.880398893830838e-16,0.0021544498516622114,0.9364145023484577,0.9478497645141192
resid_n,est,120,single,graph,-1.0,True,0.0880287595542642,0.028097037981364238,0.037197009957806684,0.7703938412668656,0.887574084116785
resid_n,true,30,jitter,exact,-1.0,True,0.039348573118530863,4.001925030550964e-17,6.724798678113369e-17,0.9755005999167299,0.976432779264929
resid_n,true,30,jitter,graph,-1.0,False,0.017963872783084894,0.02108818204198737,0.028244551994002207,0.8548478291700359,0.9015169367612941
resid_n,true,30,single,exact,-1.0,True,0.02655174619210452,6.956406132493979e-17,1.3301016623466589e-16,0.9682455121450344,0.9711209484815644
resid_n,true,30,single,graph,-1.0,False,0.009331399285028309,0.018476673930480032,0.03605478467494104,0.6914210782385162,0.7733270503561018
resid_n,true,60,jitter,exact,-1.0,True,0.07121278681768187,1.286674698488931e-16,0.0014661424063818578,0.9455301846097585,0.9910698359388334
resid_n,true,60,jitter,graph,-1.0,True,0.04424035785481506,0.026300469872995315,0.03248869532527567,0.9298621478756256,0.950706792608009
resid_n,true,60,single,exact,-1.0,True,0.04826997640562475,7.421735838885949e-17,1.4727978603254784e-16,0.9733819015529016,0.9731887463560158
resid_n,true,60,single,graph,-1.0,True,0.023126766324510287,0.026217993921712576,0.033556980327761866,0.8848748990303748,0.9335468476352803
resid_n,true,120,jitter,exact,-1.0,True,0.12102987121231809,0.015075998058561878,0.053168954170232326,0.8694251763892771,0.9909267017346338
resid_n,true,120,jitter,graph,-1.0,True,0.09271246135866926,0.04982699358108773,0.08802795906478145,0.8618814373365349,0.9447696260001779
resid_n,true,120,single,exact,-1.0,True,0.08223322706339267,2.880398893830838e-16,0.002154449851662191,0.9364145023484577,0.9926251812631629
resid_n,true,120,single,graph,-1.0,True,0.054382052637808626,0.028097037981364238,0.037197009957806684,0.9333234125550576,0.9455131102897916
