v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,kind,dim,seed,branch,estimator,integ_sign,integ_mag
-0.8482774745562973,-0.163686644744702,0.4451190873619858,0.05377487928583502,1.305959230023512,0.822491332135689,3.290794739258956,4.0,0.2030660090701747,0.1586141593710673,0.4741306198580106,1323,1400,3,13.292811739534624,dumbbell,3,0,B,diffdist_t8,-0.38619708164849476,-0.6226207788617035
-3.7281363634514895,-2.167292691046041,-0.08532945942327204,0.23555661758571786,2.1587516795195354,0.822491332135689,3.1197824184699146,4.0,0.1617235867935596,0.1371337717091428,0.5045958205911908,185,1400,3,14.409416562572522,dumbbell,3,0,B,diffdist_t8,0.40496771009855415,0.08131664354885085
0.26051689350411306,-0.017623918394390276,0.1529471078534999,-0.40775738440450465,0.9495364541962824,0.822491332135689,2.2813227978422357,3.0,0.2269013971507356,0.2357623317801018,0.4820858518836688,1222,1400,3,15.33757314504347,dumbbell,3,0,B,diffdist_t8,-0.24974782274960317,-0.48872658678338443
-1.0852392171960874,-1.0538791608758296,0.5035133663180855,0.05688407170063123,1.1854108774641126,0.822491332135689,3.3263844580621815,4.0,0.2034420980859439,0.152005929730791,0.4858225354779437,190,1400,3,16.176736933411025,dumbbell,3,0,B,diffdist_t8,-0.34509410157099746,-0.6230797609930723
-0.036855948200604324,-0.4022679119978849,0.3061247087209095,-0.23187739341025826,1.1468841661431286,0.822491332135689,3.552494716926462,3.0,0.2245993423983266,0.2137570573922489,0.4867437780306017,975,1400,3,17.079064983670342,dumbbell,3,0,B,diffdist_t8,-0.11691351354686091,-0.3947621292521977
-1.024307871907465,-0.7492458000071308,0.5527316498379011,-0.16493303971797768,1.2015625409706017,0.822491332135689,3.361059039369139,4.0,0.2362967868521694,0.2057723281001831,0.4897091451065496,1375,1400,3,17.851715608550524,dumbbell,3,0,B,diffdist_t8,0.049704297957714805,-0.4683672891177986
-0.1204520847705995,-1.033110832058989,0.7065173453657541,-0.05648734396969871,1.0389713814989723,0.822491332135689,3.3677373628406704,4.0,0.2217231488221758,0.1976032805917235,0.5030330470983818,327,1400,3,18.427504263358863,dumbbell,3,0,B,diffdist_t8,-0.010146622680290651,-0.11272185525527902
-1.4392722666558415,-0.21647226921622922,-0.0570526412237325,-0.10231446565680691,1.4890036469119023,0.822491332135689,2.460442442351687,4.0,0.2110107995571339,0.1890737682638162,0.4936683881937611,281,1400,3,18.86173140901876,dumbbell,3,0,B,diffdist_t8,-0.04958231061524199,-0.42360211076457616
-0.24669318617447628,-0.5947855248492583,1.5010900483950702,-0.09946053836488973,0.5684310835639488,0.822491332135689,3.308688914174697,4.0,0.2182616596594462,0.1929212095580028,0.4576268321924093,1261,1400,3,19.292051405337936,dumbbell,3,0,B,diffdist_t8,-0.45541359168734086,-0.4992864604487575
-0.3517098523015489,-0.6060908855761641,1.2386675145134367,-0.12017611797315601,0.592623033276605,0.822491332135689,3.316563368033727,4.0,0.2152312324435814,0.1954078405327965,0.4521570506601037,630,1400,3,19.5323352139822,dumbbell,3,0,B,diffdist_t8,-0.4510730080048445,-0.47298757326862995
0.028717995241960285,-0.41641900232759377,0.698676837890337,-0.22134068536444873,0.9570418090546264,0.822491332135689,2.705550567648692,3.0,0.2134883209555413,0.204660664392841,0.4943094617489447,356,1400,3,19.59838014117316,dumbbell,3,0,B,diffdist_t8,0.08238341543843297,-0.09640297471556011
-1.2274979620875124,0.07128074481916694,-2.18522368511457,-1.2126040640818339,1.9310970267154492,0.3481553104568503,-0.46054625386997605,2.0,0.2125989157723906,0.1592458367418612,0.521244847901474,208,1400,3,-22.54806259822148,dumbbell,3,0,B,fb_potential,0.053123555572612724,-0.48672087931333086
0.009705677247315175,0.21994270815904832,-1.471338148530699,-1.583900877000242,0.2792023836588356,0.3481553104568503,0.24566138548258135,3.0,0.2505251751416887,0.1731133262817437,0.4869683746755976,362,1400,3,-19.225024550522377,dumbbell,3,0,B,fb_potential,-0.35555951786015566,-1.3770188488078714
-2.3545208844972803,-0.5054857233063341,-2.7955809129473685,-1.7859608815152745,0.24546145110126613,-3.307475449340077,0.9772929965977528,1.0,0.2611249311996799,0.2049601458514195,0.5216331402587605,1088,1400,3,-11.762262800203482,dumbbell,3,0,B,fb_potential,-0.27301417997531835,-0.6623847680720446
-0.5463800002121795,-0.183465039504287,-0.2689936480034713,-1.515523399443594,0.017452188632961347,0.3481553104568503,-0.6049196069826893,2.0,0.2369056164781344,0.1561507441172668,0.4519314640842873,915,1400,3,-3.5550526795521264,dumbbell,3,0,B,fb_potential,-0.48586454939561696,-1.2721118675881642
-0.8232208975475102,-1.1057801635781668,-0.8879210803193328,-1.6490226647214734,-0.42826938442787876,0.3481553104568503,-1.6598099912843298,3.0,0.2315279131807948,0.15282141724761,0.4597610384719533,361,1400,3,2.5102588071524714,dumbbell,3,0,B,fb_potential,-0.4807244638674866,-1.5333774395847861
0.6243579672536055,1.474389622352888,-1.828227564593,-1.6097373439383797,-1.0923217689636193,0.0870388276142126,2.0274098514321683,3.0,0.2429862021516476,0.1631924153565206,0.4571077300148529,405,1400,3,6.159382675542515,dumbbell,3,0,B,fb_potential,-0.48962977579739825,-2.154087628927542
-3.2624166550403353,-1.3532304839675826,-3.9370638642005362,-0.4705053612909742,2.275962551370505,0.609271793299488,1.464131710215934,3.0,0.2025420768280885,0.1591049530318016,0.49596739597933,919,1400,3,6.605360713324066,dumbbell,3,0,B,fb_potential,0.2579947947761022,-0.4071253571550256
2.056376315963941,3.24262819312983,-1.824797111604701,-1.234156350007884,1.214071129420748,0.0870388276142126,2.0892543157546397,2.0,0.2292437330321205,0.1599237196168774,0.5096535400008285,1107,1400,3,7.3857094587224115,dumbbell,3,0,B,fb_potential,-0.08065011196933819,-0.8431240399563567
-2.40875706059703,-0.09999816303817954,-3.514363522725275,-0.6708744188297635,0.24207368244911517,0.609271793299488,1.435553594703088,3.0,0.2282944937840753,0.1493244501451222,0.4460793453767825,661,1400,3,8.355744883799076,dumbbell,3,0,B,fb_potential,-0.4584967591430119,-1.4187044683067094
-1.3205369182529445,0.9450641449380566,-1.7512185239905713,-0.38158880335405737,2.6277900960079745,0.609271793299488,1.9781439904189948,2.0,0.2052064196480106,0.1550368913096255,0.5309906607440268,397,1400,3,9.17866914521766,dumbbell,3,0,B,fb_potential,0.2704742478448725,-0.072222510078743
-0.1617650571745761,1.0797234269177804,-1.704378298413282,-1.6151666506132312,-0.9439126376423277,0.3481553104568503,0.7726442330315277,3.0,0.2402920712817404,0.1642929493617156,0.4351727836115975,460,1400,3,10.291751725325792,dumbbell,3,0,B,fb_potential,-0.4945589245814635,-1.9026021084428717
-0.7139152518900785,1.2434930834023183,0.8039378383521486,-0.6652568092075043,1.5193432734705337,0.609271793299488,1.7206360099283433,3.0,0.2233553019250926,0.1555278013023414,0.5014987634377442,964,1400,3,11.41168825762969,dumbbell,3,0,B,fb_potential,-0.25975301599422684,-0.565058317968574
-1.5855063392574764,0.906828103234309,-0.9116825730590141,-1.1225917902248852,0.33044782360073,0.609271793299488,2.102377786347183,3.0,0.2276732315372523,0.1567127670016153,0.4647708321131421,319,1400,3,12.373259461365768,dumbbell,3,0,B,fb_potential,-0.4452845801744203,-1.4634566389671233
0.5522607672694883,1.7233251447572506,1.6400690637314073,-0.5628850739674751,1.6731914829030767,0.609271793299488,1.9182844107661179,3.0,0.2210288793495536,0.15747227850642,0.479862436816887,1323,1400,3,13.292811739534624,dumbbell,3,0,B,fb_potential,-0.4182383692650572,-0.1877422213809973
0.6737588261453703,1.1712983536305515,1.060609331546088,-0.3692980831698772,3.0853937237084232,0.609271793299488,3.517466812184645,3.0,0.181251054628887,0.130008933344658,0.4940934583128247,185,1400,3,14.409416562572522,dumbbell,3,0,B,fb_potential,0.3212000155043119,0.30737632347119254
-2.1769387758240293,-0.9657007554451154,-2.217908344953039,-1.6702663591134888,-0.2473780786261872,0.3481553104568503,-0.025691638120324108,3.0,0.2431924518165944,0.1861856969061999,0.4779259440989687,1222,1400,3,15.33757314504347,dumbbell,3,0,B,fb_potential,-0.48874754327008724,-1.2986733038725886
-0.4803349398294086,1.0997602200951477,-1.0759542483607571,-0.767191132041217,1.7862745789029486,0.609271793299488,1.9493333333866678,3.0,0.2250784731949066,0.1593944671023233,0.5219553992166739,190,1400,3,16.176736933411025,dumbbell,3,0,B,fb_potential,-0.13774677270695473,-0.730501835018443
3.1596504942533583,1.0484428459858204,-0.16216716439255674,-0.9227927848894507,3.1512469734348216,0.0870388276142126,0.2321086767648133,3.0,0.2274596283381209,0.1900416091322679,0.5872988200677123,975,1400,3,17.079064983670342,dumbbell,3,0,B,fb_potential,0.1182593121335388,0.393223659640509
1.6927364853058597,1.140106156846104,-0.34211897339381636,-1.2114569518539284,1.2545658429701743,0.609271793299488,1.0019237737211637,3.0,0.2143489268097451,0.1390695498626372,0.4832943048747651,1375,1400,3,17.851715608550524,dumbbell,3,0,B,fb_potential,-0.36128134285033475,-0.9504386701077449
2.1202796381061737,2.0899056578551782,-0.684985831181177,-0.5051887772120738,2.0654360399740916,0.609271793299488,0.9433182533224413,3.0,0.2150063247784672,0.1374597330524232,0.5188082545376211,327,1400,3,18.427504263358863,dumbbell,3,0,B,fb_potential,0.03887219507974082,-0.05886516293037222
