v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,branch,estimator,rep,n_bucket
-0.06353424677051628,-0.11509113444337013,0.04702671983539032,-6.976712422166058,-4.784445285797119,-0.125,0.10706029406891795,10.0,0.26861716666796137,0.2467473317668262,0.5948241161622057,470,1400,3,B,diffdist_t4,2,1400
-0.15865609992109503,-0.24691186431602988,0.015330651343491729,-7.1425723507913395,-5.341802597045898,-1.0,-0.1318769095263085,3.0,0.2786325965070662,0.22963058510453924,0.49233415560401667,97,1400,3,B,diffdist_t4,3,1400
-0.04156984926658817,-0.06896126947465965,0.061609821316661026,-6.910467051637893,-4.7301812171936035,-0.0,0.142187632219258,3.0,0.278192452294164,0.24802850327055403,0.5989748776891652,1341,1400,3,B,diffdist_t4,3,1400
-0.04333530921595827,-0.07657834096428716,0.035435764379126024,-6.952616758158128,-4.500517845153809,-0.0,0.09138226449758324,8.0,0.20677354175272988,0.22134254922375113,0.5880420611103784,1371,1400,3,B,diffdist_t4,3,1400
-0.043260596647148666,-0.06886200513809909,0.011784504039255374,-7.122651610409988,-5.842377662658691,-1.0,0.10404804339027501,3.0,0.27489975366635916,0.20193934942179695,0.42378920887652144,1269,1400,3,B,diffdist_t8,0,1400
-0.01360321098796821,-0.026341570194573713,0.031221534333963484,-6.849422414791659,-4.810609340667725,-0.0,0.16388189611196552,3.0,0.18110683678893214,0.11575044385421418,0.4742621559897359,358,1400,3,B,diffdist_t8,0,1400
-0.02647237732643873,-0.0484796180642944,0.008059422648050443,-6.964587135158211,-4.9640703201293945,-0.0,0.16465565479243865,3.0,0.21000415355636137,0.1624025364492892,0.47674655943963007,25,1400,3,B,diffdist_t8,0,1400
-0.0475333179001858,-0.06691283253146137,-0.014149911361453854,-7.123518091095224,-5.4940996170043945,-1.0,0.05789656642380278,3.0,0.24849854044958797,0.20786173698660607,0.45583541801884614,317,1400,3,B,diffdist_t8,1,1400
-0.02815624279671907,-0.04260054047401291,0.01791610542009557,-7.068119626691264,-5.622369766235352,-0.8125,0.24612990316174294,3.0,0.26822179511107136,0.2344516472682182,0.4277911088602328,363,1400,3,B,diffdist_t8,1,1400
-0.007722617608820955,-0.013229796151294037,0.06926711646974093,-6.655569377665104,-4.578658580780029,-0.0,0.38921615371363993,3.0,0.18767356832817994,0.1365416990480961,0.5281705607932671,459,1400,3,B,diffdist_t8,1,1400
-0.04320566254873247,-0.08293330886912287,-0.0018846799043464634,-7.117924455616135,-5.695000648498535,-1.0,0.08559927966754192,3.0,0.2566019290283471,0.18395194009116528,0.43493551258547125,1330,1400,3,B,diffdist_t8,2,1400
-0.008924093590102053,-0.016872551351320778,0.06690970629937053,-6.830234256049337,-5.199080944061279,-0.0,0.3078583355217488,3.0,0.2536031619585141,0.18125303166993426,0.4022866092488961,1027,1400,3,B,diffdist_t8,2,1400
-0.018767368893942905,-0.031191931021622495,0.031064480876317063,-6.926922344636341,-5.14305305480957,-0.0625,0.07827213617290198,3.0,0.24867735278968917,0.1852681793383109,0.5002571260495772,470,1400,3,B,diffdist_t8,2,1400
-0.0532731152664857,-0.07671422916426153,-0.024269322040824902,-7.123821844743256,-5.617390155792236,-1.0,0.04234443719338263,3.0,0.27424978895732904,0.22201885902208868,0.4676086884070664,97,1400,3,B,diffdist_t8,3,1400
